feature,VIF
delta_vv__p10,143.57417
delta_vv__p90,51.79032
pre_vh__min,50.74778
pre_vv__max,50.270317
post_vh__p50,38.73787
pre_vv__p10,37.539135
delta_vv__mean,37.162212
pre_vh__p90,32.493076
pre_vv__mean,24.244812
delta_vh__p90,18.058834
post_vv__min,14.6840105
delta_vh__p10,14.5674
delta_vh__max,13.552287
delta_vh__max_abs_delta,11.698068
pre_vh__p50,10.02492
delta_vh__mean,9.964397
post_vv__std,8.994645
pre_vv__p90,8.575976
delta_vv__p50,8.150729
delta_vv__min,7.6965213
delta_vv__max_abs_delta,7.476744
post_vh__p10,7.104002
post_vv__max,6.9289374
pre_vv__p50,6.2502365
pre_vh__max,6.214656
delta_vh__std,6.113112
post_vh__max,6.017916
post_vv__max_abs_delta,5.4824834
post_vv__p50,4.685457
pre_vh__p10,4.298549
post_vv__mean,4.075703
pre_vv__std,3.9319284
delta_vv__std,3.5363815
pre_vv__min,3.2035916
delta_vh__min,2.4399803
post_vh__mean,2.263889
delta_vv__max,1.9998584
pre_vh__max_abs_delta,1.9520253
post_vh__min,1.7323205
post_vh__p90,1.7265029
post_vv__p10,1.5618142
delta_vh__p50,1.3077657
post_vh__std,1.2459421
post_vh__max_abs_delta,1.1053596
pre_vv__max_abs_delta,0.925819
pre_vh__std,0.8222269
pre_vh__mean,0.6419751
post_vv__p90,0.30860424
