timestep,best_auc,best_feature,n_obs
-4,0.5378085230319729,s1__vh__roll3__mean,62550
-3,0.5409418502783069,s1__vh__roll3__mean,62550
-2,0.5390162603787193,s1__vh__roll3__mean,62550
-1,0.5383463337000943,s1__vh__roll3__mean,62550
0,0.5346638739667511,s1__vh__roll3__mean,63243
1,0.5361252716034544,s1__vh__roll3__mean,63243
2,0.5416900550166032,s1__vh__roll3__mean,53433
3,0.548031230315365,s1__vh__roll3__mean,48044
4,0.5729263554041394,s1__vh__roll3__mean,36261
5,0.5783847786578868,s1__vh__roll3__mean,36261
6,0.5988105577719611,s1__vh__roll3__mean,31150
7,0.6066347409920577,s1__vh__roll3__mean,26148
8,0.5417360302197154,s1__vv__roll3__max_abs_delta,3533
9,0.5334996486627965,s1__vv__roll3__max_abs_delta,3533
10,0.5377306289014542,s1__vv__roll3__max_abs_delta,3533
11,0.5445640196120043,s1__vv__roll3__max_abs_delta,3533
12,0.5443325457720851,s1__vv__roll3__max_abs_delta,3533
13,0.534765877376242,s1__vv__roll3__std,3533
14,0.5343052876642128,s1__vv__roll3__min,3533
15,0.5402253588434012,s1__vv__roll3__min,3533
16,0.5411182426537513,s1__vv__roll3__std,3533
17,0.5343689527950565,s1__vv__roll3__std,3533
18,0.5338553194628891,s1__vv__roll3__max_abs_delta,1650
19,0.5330114726280065,s1__vv__roll3__std,1650
20,0.5439353696325808,s1__vv__roll3__std,1650
21,0.5312430832226649,s1__vv__roll3__max_abs_delta,1650
22,0.5605545143415905,s1__vv__roll3__max_abs_delta,1366
23,0.5506980660582356,s1__vv__roll3__std,1366
24,0.5550338168187745,s1__vv__roll3__min,1366
25,0.5706656073446328,s1__vv__roll3__min,1366
26,0.5777311495002173,s1__vv__roll3__min,1366
27,0.5733274934810951,s1__vv__roll3__min,1366
28,0.5706044926119078,s1__vv__roll3__min,1366
29,0.5796223109517602,s1__vv__roll3__min,1366
30,0.5789975825727944,s1__vv__roll3__min,1366
31,0.5914615927857453,s1__vv__roll3__min,1366
32,0.5857202031725337,s1__vv__roll3__min,1366
33,0.6062004291612342,s1__vv__roll3__min,1366
34,0.6008223326814428,s1__vv__roll3__min,1366
35,0.5863313504997827,s1__vv__roll3__min,1366
36,0.5821925249891351,s1__vv__roll3__min,1366
37,0.5907451923076923,s1__vv__roll3__min,1366
38,0.5972539113428944,s1__vh__roll3__p10,1366
39,0.5874416014776184,s1__vh__roll3__p10,1366
40,0.592045578009561,s1__vv__roll3__max_abs_delta,1366
41,0.5849155258583225,s1__vv__roll3__min,1366
42,0.5890577466318991,s1__vv__roll3__min,1366
43,0.5924190569317689,s1__vh__roll3__p10,1366
44,0.5887250108648413,s1__vh__roll3__p10,1366
45,0.5685843111690568,s1__vv__roll3__min,1366
46,0.5698100010864842,s1__vv__roll3__min,1366
47,0.5656508039982616,s1__vv__roll3__min,1366
48,0.5574953824424164,s1__vv__roll3__min,1366
49,0.5504094687092568,s1__vv__roll3__max_abs_delta,1366
