timestep,best_auc,best_feature,n_obs
-4,0.5120447316156699,s1__coh_vv__roll3__max_abs_delta,43838
-3,0.5150184245934402,s1__coh_vv__roll3__max,43838
-2,0.5278767792645724,s1__coh_vv__roll3__p50,51800
-1,0.5130912787035089,s1__coh_vv__roll7__p10,51800
0,0.5344911130135306,s1__coh_vv__roll7__mean,52848
1,0.5290903009375401,s1__coh_vv__roll7__p10,17287
2,0.5368295337169839,s1__coh_vv__roll7__mean,15625
3,0.5551589936550096,s1__coh_vv__roll7__mean,1650
4,0.5571971373764202,s1__coh_vv__roll7__mean,1650
5,0.5643329459938026,s1__coh_vv__roll3__max,1650
6,0.581873370273794,s1__coh_vv__roll7__mean,1650
7,0.5834785856573705,s1__coh_vv__roll3__min,1650
8,0.5829938070404173,s1__coh_vv__roll7__mean,1366
9,0.5707572794437201,s1__coh_vv__roll7__p10,1366
10,0.566268741851369,s1__coh_vv__roll3__p90,1366
11,0.548389287266406,s1__coh_vv__roll7__mean,1366
12,0.5403764667535854,s1__coh_vv__roll7__mean,1366
13,0.5299801716644936,s1__coh_vv__roll7__mean,1366
14,0.5378571816601477,s1__coh_vv__roll3__p50,1366
15,0.5517234354628423,s1__coh_vv__roll3__max,1366
16,0.5621129400260756,s1__coh_vv__roll3__max_abs_delta,1366
17,0.5464675684485005,s1__coh_vv__roll3__std,1366
18,0.5418737777053455,s1__coh_vv__roll3__max_abs_delta,1366
19,0.5346282866145153,s1__coh_vv__roll3__min,1366
20,0.5311719089526293,s1__coh_vv__roll3__min,1366
21,0.5161886136462408,s1__coh_vv__roll3__min,1366
22,0.5339186766623207,s1__coh_vv__roll3__max,1366
23,0.5191492829204694,s1__coh_vv__roll7__p10,1366
24,0.5277291123424599,s1__coh_vv__roll3__p10,1366
25,0.5581031345067362,s1__coh_vv__roll3__min,1366
26,0.5449193285528031,s1__coh_vv__roll3__min,1366
27,0.5617156942633638,s1__coh_vv__roll3__max_abs_delta,1366
28,0.5258515319426337,s1__coh_vv__roll3__p50,1366
29,0.5246224467622773,s1__coh_vv__roll7__mean,1366
30,0.5540729574098218,s1__coh_vv__roll3__p50,1366
31,0.5744513255106476,s1__coh_vv__roll3__p10,1366
32,0.5972776781833985,s1__coh_vv__roll3__p10,1366
33,0.5723734245980009,s1__coh_vv__roll7__mean,1366
34,0.5790213494132985,s1__coh_vv__roll7__mean,1366
35,0.5870511462407649,s1__coh_vv__roll7__mean,1366
36,0.5919912538026946,s1__coh_vv__roll7__mean,1366
37,0.6030258583224686,s1__coh_vv__roll3__p50,1366
38,0.6067199043893958,s1__coh_vv__roll3__mean,1366
39,0.6115547588005215,s1__coh_vv__roll3__p10,1366
40,0.5921270643198608,s1__coh_vv__roll7__mean,1366
41,0.5887997066492829,s1__coh_vv__roll7__mean,1366
42,0.5717385104302477,s1__coh_vv__roll3__max,1366
43,0.5703023142112125,s1__coh_vv__roll3__p10,1366
44,0.543296392872664,s1__coh_vv__roll3__std,1366
45,0.5508338765754021,s1__coh_vv__roll7__p10,1366
46,0.5298647327249022,s1__coh_vv__roll3__p90,1366
47,0.5327812635810517,s1__coh_vv__roll3__p50,1366
48,0.5277460886571056,s1__coh_vv__roll3__p50,1366
49,0.5561848109517602,s1__coh_vv__roll3__p50,1366
50,0.5302265639602948,s1__coh_vv__roll3__max_abs_delta,1186
51,0.5480624501962637,s1__coh_vv__roll3__min,1186
52,0.5566459089612293,s1__coh_vv__roll3__min,1186
53,0.5427894027486744,s1__coh_vv__roll3__mean,1186
54,0.5247272476856635,s1__coh_vv__roll3__p10,1186
55,0.5101476650040826,s1__coh_vv__roll3__max_abs_delta,1186
56,0.5310972070556523,s1__coh_vv__roll3__min,1186
