timestep,best_auc,best_feature,n_obs
-4,0.5270854811538573,s1__coh_vh__mean,43838
-3,0.525693594469294,s1__coh_vh__mean,51800
-2,0.5324468895704819,s1__coh_vh__mean,51800
-1,0.5340178879161485,s1__coh_vh__mean,54610
0,0.5507885795557332,s1__coh_vh__mean,57959
1,0.5524078609726334,s1__coh_vv__p90,57266
2,0.551839401128652,s1__coh_vh__mean,44886
3,0.5193344110210679,s1__coh_vv__p50,17287
4,0.5233298923692401,s1__coh_vh__mean,15625
5,0.5779797476759627,s1__coh_vh__p10,1650
6,0.5508106463036742,s1__coh_vh__mean,1650
7,0.5828399365500959,s1__coh_vv__mean,1650
8,0.552134056367124,s1__coh_vh__p10,1650
9,0.6104517116718311,s1__coh_vh__mean,1650
10,0.5849087353324642,s1__coh_vh__mean,1366
11,0.5685096153846153,s1__coh_vh__mean,1366
12,0.5865554378531074,s1__coh_vh__p10,1366
13,0.548667698826597,s1__coh_vv__max,1366
14,0.5279328281182095,s1__coh_vv__p90,1366
15,0.5610332464146024,s1__coh_vv__mean,1366
16,0.5233797805302043,s1__coh_vv__p10,1366
17,0.5532682800956106,s1__coh_vv__p90,1366
18,0.5385158626684051,s1__coh_vv__std,1366
19,0.5296202737940026,s1__coh_vh__mean,1366
20,0.5592473381138635,s1__coh_vv__max_abs_delta,1366
21,0.5492788461538463,s1__coh_vh__mean,1366
22,0.5880052151238592,s1__coh_vh__mean,1366
23,0.5525994132985659,s1__coh_vv__p50,1366
24,0.5374735169491525,s1__coh_vh__p10,1366
25,0.5574105008691873,s1__coh_vv__p10,1366
26,0.5543445784441547,s1__coh_vh__mean,1366
27,0.5424068339852238,s1__coh_vh__mean,1366
28,0.5290159169926119,s1__coh_vv__min,1366
29,0.543255649717514,s1__coh_vh__mean,1366
30,0.5558928183398523,s1__coh_vh__p10,1366
31,0.5511598218166014,s1__coh_vv__p10,1366
32,0.5724854682746632,s1__coh_vv__p90,1366
33,0.5981129128639722,s1__coh_vv__min,1366
34,0.5728827140373751,s1__coh_vh__p10,1366
35,0.6401021295089092,s1__coh_vh__mean,1366
36,0.6110386788352891,s1__coh_vv__p10,1366
37,0.5890305845284659,s1__coh_vh__mean,1366
38,0.5766921990438939,s1__coh_vh__mean,1366
39,0.6667753150803999,s1__coh_vh__mean,1366
40,0.6090151021295089,s1__coh_vh__p10,1366
41,0.5867184104737071,s1__coh_vv__min,1366
42,0.5743630486744893,s1__coh_vh__p10,1366
43,0.5965273250760539,s1__coh_vh__mean,1366
44,0.5668255649717515,s1__coh_vh__mean,1366
45,0.5659835397653193,s1__coh_vh__p10,1366
46,0.5487423946110387,s1__coh_vv__p90,1366
47,0.5183819534984788,s1__coh_vh__p10,1366
48,0.518005079313342,s1__coh_vh__p10,1366
49,0.5604967948717949,s1__coh_vv__p50,1366
50,0.5337489135158626,s1__coh_vh__p10,1366
51,0.5763526727509779,s1__coh_vh__mean,1366
52,0.5346338872000709,s1__coh_vh__p10,1186
53,0.5633601904593257,s1__coh_vv__max_abs_delta,1186
54,0.5784562563330677,s1__coh_vv__max,1186
55,0.5976645121939221,s1__coh_vh__mean,1186
56,0.5553915926374091,s1__coh_vh__mean,1186
57,0.5623960885006247,s1__coh_vv__std,1186
58,0.5290558687247292,s1__coh_vh__mean,1186
