timestep,best_auc,best_feature,n_obs
-7,0.601864106684909,s2__ndvi__p10,6164
-6,0.5714664503075374,s2__ndvi__p10,23265
-5,0.6220722942455661,s2__ndvi__p10,31016
-4,0.6176485811984427,s2__ndvi__p10,39428
-3,0.6007151306276413,s2__ndvi__p10,62043
-2,0.6034230224670879,s2__ndvi__p10,62043
-1,0.6109379144186824,s2__ndvi__p10,62043
0,0.6509530592868593,s2__ndvi__p10,62043
1,0.6523580160387197,s2__ndvi__min,62043
2,0.6378909417252394,s2__ndvi__p10,62043
3,0.6475162242170698,s2__ndvi__p10,62043
4,0.6302705467065656,s2__ndvi__p10,56158
5,0.6523660049627792,s2__ndvi__min,55710
6,0.658818233414258,s2__ndvi__min,46741
7,0.7003843693871951,s2__ndvi__p10,43788
8,0.7493952026739568,s2__ndvi__p10,30566
9,0.7602575807879592,s2__ndvi__p10,1650
10,0.7618507451674782,s2__ndvi__p50,1650
11,0.7649540725984949,s2__ndvi__p50,1650
12,0.7636744687915007,s2__ndvi__p50,1650
13,0.8014144665362886,s2__ndvi__min,1366
14,0.7953641079965232,s2__ndvi__min,1366
15,0.7827541014776185,s2__ndvi__min,1366
16,0.7328607127335941,s2__ndvi__min,1366
17,0.741535609517601,s2__ndvi__min,1366
18,0.7793927911777488,s2__ndvi__min,1366
19,0.6748356692742286,s2__ndvi__p10,1366
20,0.719592025206432,s2__ndvi__p10,1366
21,0.8247741935483871,s2__bsi__mean,180
22,0.7927741935483872,s2__bsi__mean,180
23,0.7969032258064516,s2__bsi__mean,180
24,0.791741935483871,s2__bsi__mean,180
25,0.7950967741935484,s2__ndvi__p10,180
26,0.7860645161290323,s2__ndvi__mean,180
27,0.720258064516129,s2__ndvi__p50,180
28,0.7834838709677419,s2__ndvi__p50,180
29,0.7512258064516129,s2__ndvi__p50,180
30,0.7855483870967742,s2__bsi__mean,180
31,0.7811612903225807,s2__bsi__mean,180
32,0.7569032258064516,s2__bsi__mean,180
33,0.8023225806451613,s2__bsi__mean,180
34,0.8139354838709678,s2__bsi__mean,180
35,0.8100645161290323,s2__bsi__mean,180
36,0.8252903225806452,s2__bsi__mean,180
37,0.824258064516129,s2__bsi__mean,180
38,0.8258064516129032,s2__bsi__mean,180
39,0.8314838709677419,s2__bsi__mean,180
40,0.8270967741935483,s2__bsi__mean,180
41,0.8407741935483872,s2__bsi__mean,180
42,0.8283870967741935,s2__bsi__mean,180
43,0.8263225806451613,s2__bsi__mean,180
44,0.8387096774193548,s2__bsi__mean,180
45,0.8374193548387097,s2__bsi__mean,180
46,0.7796129032258065,s2__ndvi__p50,180
47,0.7710967741935484,s2__ndvi__p50,180
48,0.7914838709677419,s2__ndvi__p50,180
49,0.7832258064516129,s2__ndvi__p50,180
50,0.7398709677419355,s2__ndvi__p10,180
51,0.7336774193548388,s2__ndvi__p10,180
52,0.7313548387096774,s2__bsi__mean,180
53,0.7375483870967742,s2__ndvi__p10,180
54,0.7723870967741935,s2__ndvi__p10,180
55,0.7739354838709678,s2__ndvi__p10,180
56,0.7726451612903226,s2__ndvi__p10,180
57,0.7821935483870968,s2__ndvi__p10,180
58,0.7976774193548387,s2__ndvi__p10,180
59,0.7865806451612903,s2__ndvi__p10,180
60,0.816516129032258,s2__ndvi__p10,180
61,0.7914838709677419,s2__ndvi__p10,180
62,0.7958709677419356,s2__ndvi__min,180
63,0.8193548387096774,s2__ndvi__p10,180
64,0.8149677419354839,s2__ndvi__p10,180
65,0.8121290322580645,s2__ndvi__min,180
66,0.8116129032258064,s2__ndvi__p50,180
67,0.8087741935483871,s2__ndvi__mean,180
68,0.7936774193548387,s2__ndvi__min,180
69,0.7698064516129032,s2__ndvi__p50,180
70,0.7538064516129033,s2__ndvi__p50,180
71,0.7654193548387097,s2__ndvi__p50,180
72,0.7592258064516129,s2__ndvi__p50,180
73,0.7703225806451612,s2__ndvi__p10,180
