timestep,best_auc,best_feature,n_obs
-7,0.6280851849155838,s2__b02__p50,6164
-6,0.5425778270047166,s2__b02__p50,23265
-5,0.5835044765301618,s2__b02__p50,31016
-4,0.5688400678174782,s2__b02__std,39428
-3,0.5640442958899414,s2__b02__p90,62043
-2,0.5530885434126334,s2__b02__std,62043
-1,0.5518949854681473,s2__b02__p90,62043
0,0.6351793562494071,s2__b02__p90,62043
1,0.6418265731337686,s2__b02__p90,62043
2,0.6582558457851068,s2__b02__p50,55710
3,0.6607642128088274,s2__b02__p90,48589
4,0.6399772690769149,s2__b02__p90,48589
5,0.6714746604369416,s2__b02__p90,32815
6,0.6945548568941076,s2__b02__p90,26549
7,0.6672839395157594,s2__b02__std,26406
8,0.703068392895267,s2__b02__p90,24265
9,0.7551947522816168,s2__b02__p50,1366
10,0.7525668187744459,s2__b02__p50,1366
11,0.74004169382877,s2__b02__p50,1366
12,0.7371081866579748,s2__b02__p50,1366
13,0.7151578118209474,s2__b02__p90,1366
14,0.7415695621468926,s2__b02__p90,1366
15,0.7345142057800957,s2__b02__p50,1366
16,0.7638628585397653,s2__b02__p50,1366
17,0.7661886136462407,s2__b02__p50,1366
18,0.6025806451612903,s2__b02__p50,180
19,0.5929032258064516,s2__b02__p50,180
20,0.6086451612903226,s2__b02__p50,180
21,0.5993548387096773,s2__b02__p50,180
22,0.5739354838709677,s2__b02__p90,180
23,0.614967741935484,s2__b02__p50,180
24,0.5883870967741934,s2__b02__p50,180
25,0.5739354838709677,s2__b02__p90,180
26,0.6224516129032258,s2__b02__std,180
27,0.5465806451612902,s2__b02__max_abs_delta,180
28,0.5811612903225807,s2__b02__p50,180
29,0.5907096774193548,s2__b02__p50,180
30,0.6274838709677419,s2__b02__p50,180
31,0.6175483870967743,s2__b02__p50,180
32,0.6161290322580645,s2__b02__p90,180
33,0.6170322580645161,s2__b02__p50,180
34,0.6170322580645161,s2__b02__p50,180
35,0.6219354838709678,s2__b02__p50,180
36,0.6341935483870969,s2__b02__p50,180
37,0.620774193548387,s2__b02__p50,180
38,0.6232258064516129,s2__b02__p50,180
39,0.6535483870967742,s2__b02__p50,180
40,0.6180645161290322,s2__b02__p50,180
41,0.5819354838709677,s2__b02__p50,180
42,0.5892903225806452,s2__b02__max,180
43,0.5730322580645162,s2__b02__max,180
44,0.6363870967741935,s2__b02__p50,180
45,0.5828387096774194,s2__b02__p50,180
46,0.6379354838709678,s2__b02__std,180
47,0.6206451612903224,s2__b02__std,180
48,0.7015483870967743,s2__b02__p50,180
49,0.5921290322580646,s2__b02__p50,180
50,0.607225806451613,s2__b02__p90,180
51,0.5714838709677419,s2__b02__p90,180
52,0.6180645161290322,s2__b02__p90,180
53,0.6218064516129033,s2__b02__p90,180
54,0.6450322580645161,s2__b02__p50,180
55,0.6553548387096774,s2__b02__p50,180
56,0.6809032258064516,s2__b02__p50,180
57,0.6485161290322581,s2__b02__p50,180
58,0.6290322580645161,s2__b02__p50,180
59,0.6104516129032259,s2__b02__p50,180
60,0.6258064516129033,s2__b02__p50,180
61,0.6682580645161291,s2__b02__p50,180
62,0.6070967741935485,s2__b02__p50,180
63,0.639483870967742,s2__b02__p50,180
64,0.628516129032258,s2__b02__p50,180
65,0.6409032258064516,s2__b02__p50,180
66,0.6363870967741936,s2__b02__p50,180
67,0.6664516129032259,s2__b02__p50,180
68,0.6312258064516129,s2__b02__std,180
69,0.5997419354838709,s2__b03__p10,180
70,0.6239999999999999,s2__b02__p50,180
71,0.6338064516129032,s2__b02__std,180
72,0.6316129032258065,s2__b02__p50,180
73,0.6254193548387098,s2__b02__p50,180
