city,n,n_dam,ratio,area_all_median,area_damaged_median,area_undamaged_median,area_ratio_d_vs_u,npx_dam,npx_und,auc_pre,auc_delta
Avdiivka,12523,89,0.007106923261199393,64.48655605659536,742.575612440543,63.88250291984998,11.624084506710915,16.0,3.0,0.4924278843981616,0.4921337470834772
Borodyanka,5240,62,0.01183206106870229,62.673970478887725,123.82521688426169,62.1489685594052,1.9923937557532132,5.0,3.0,0.4118323178708929,0.4233247984649696
Bucha,17215,158,0.009178042404879466,86.59219262047728,305.74377534860025,85.74866701356127,3.5655805040123414,9.0,4.0,0.4142961091737829,0.4532310874261504
Chernihiv,51375,333,0.006481751824817518,67.34381256847723,156.68291855310355,66.54689280939601,2.35447384450955,6.0,3.0,0.42834823774050296,0.41769231909704463
Dmytrivka,13649,144,0.01055022345959411,84.56922537355291,320.76987161590944,83.27338491583593,3.8520095218911807,9.0,4.0,0.39041687235180383,0.4225189230326216
Hostomel,19145,511,0.026691042047531994,82.27072741665522,143.50985366548846,80.64781844096026,1.7794635544983466,5.0,4.0,0.4618175811024059,0.47248338422264113
Irpin,17365,249,0.014339188021883099,83.00090351553418,217.20006901245628,81.43949872900626,2.6670113692030406,6.0,4.0,0.4545353651108289,0.4433033606733548
Kharkiv,170104,238,0.0013991440530498988,83.20236786168513,489.66214901682156,83.09371718531997,5.892890167914276,11.0,4.0,0.3885228564245449,0.39485519579595457
Kramatorsk,10414,19,0.0018244670635682734,81.58659979173783,1422.2004407887798,81.37623597265934,17.476852102948193,31.0,3.0,0.36777296777296775,0.45962887015518594
Lysychansk,41600,1071,0.02574519230769231,62.361729068600624,242.55605122383412,61.44682618670113,3.9474138255220454,7.0,3.0,0.4347788660234505,0.427672693428659
Makariv,5554,53,0.009542671948145481,75.03559834726363,152.64561279950303,74.23352789963387,2.056289349549503,6.0,3.0,0.3979568037372278,0.3722976611456579
Mariupol,28973,3055,0.10544299865391916,96.6093222412106,210.9038019238166,89.02401920420346,2.369066279068406,6.0,4.0,0.529522108566246,0.5261898630567083
Moschun,1248,73,0.058493589743589744,49.54074792028351,88.79158612422395,48.05206744680837,1.847820309136803,3.0,2.0,0.34790440104925674,0.3593238122996211
Mykolaiv,113042,84,0.0007430866403637586,60.0578398542408,132.45105105775087,60.014877411811334,2.2069702841996244,4.0,2.0,0.5940593490711676,0.36668480446588236
Okhtyrka,26456,35,0.0013229513153915936,64.58999267408842,173.94956230775276,64.53862785623787,2.695278286598093,7.0,3.0,0.3461245654160381,0.323151497456028
Rubizhne,13609,431,0.03167021823793078,64.22129763323346,101.54823422720793,63.44781293277582,1.6005001517514912,4.0,3.0,0.4107371175822462,0.4297620938222637
Sievierodonetsk,9065,534,0.05890788747931605,126.42806344656012,696.5263133038942,114.38345843118798,6.089397215795131,15.0,4.0,0.5623739725179419,0.5460196498603682
Trostianets,8737,18,0.002060203731257869,53.70087292280565,153.34452126073546,53.61256474130612,2.860234760277944,4.0,2.0,0.611012348510915,0.6171005849294644
Volnovakha,13463,163,0.01210725692639085,68.57562170177121,88.52550507330842,68.12396645499466,1.2994766699586087,4.0,3.0,0.3952721527745745,0.3760517090271691
