city,n,n_dam,ratio,area_all_median,area_damaged_median,area_undamaged_median,area_ratio_d_vs_u,auc_pre,auc_post,auc_both,post_minus_pre
Avdiivka,12523,89,0.007106923261199393,64.48655605659536,742.575612440543,63.88250291984998,11.624084506710915,0.578789039838211,0.5910366284544191,0.578789039838211,0.012247588616208116
Bucha,17215,158,0.009178042404879466,86.59219262047728,305.74377534860025,85.74866701356127,3.5655805040123414,0.5225236975353673,0.4994274595307024,0.5225236975353673,-0.023096238004664926
Chernihiv,51375,333,0.006481751824817518,67.34381256847723,156.68291855310355,66.54689280939601,2.35447384450955,0.46086147273404826,0.4081717488029937,0.46086147273404826,-0.05268972393105459
Dmytrivka,13649,144,0.01055022345959411,84.56922537355291,320.76987161590944,83.27338491583593,3.8520095218911807,0.5112034123164261,0.5027777777777778,0.5112034123164261,-0.008425634538648308
Hostomel,19145,511,0.026691042047531994,82.27072741665522,143.50985366548846,80.64781844096026,1.7794635544983466,0.5254381601966147,0.5207970532160663,0.5254381601966147,-0.004641106980548426
Irpin,17365,249,0.014339188021883099,83.00090351553418,217.20006901245628,81.43949872900626,2.6670113692030406,0.47218577511729554,0.5016297956490604,0.47218577511729554,0.02944402053176487
Kharkiv,170104,238,0.0013991440530498988,83.20236786168513,489.66214901682156,83.09371718531997,5.892890167914276,0.4757480117545941,0.4560894365870398,0.4757480117545941,-0.01965857516755426
Kramatorsk,10414,19,0.0018244670635682734,81.58659979173783,1422.2004407887798,81.37623597265934,17.476852102948193,0.526371484266221,0.5042657147920305,0.526371484266221,-0.022105769474190518
Lysychansk,41600,1071,0.02574519230769231,62.361729068600624,242.55605122383412,61.44682618670113,3.9474138255220454,0.5169863614390626,0.5076185030008944,0.5169863614390626,-0.00936785843816823
Makariv,5554,53,0.009542671948145481,75.03559834726363,152.64561279950303,74.23352789963387,2.056289349549503,0.398142018775317,0.4886075602034622,0.398142018775317,0.09046554142814517
Mariupol,28973,3055,0.10544299865391916,96.6093222412106,210.9038019238166,89.02401920420346,2.369066279068406,0.6221295565303592,0.6139618479482502,0.6221295565303592,-0.008167708582109023
Moschun,1248,73,0.058493589743589744,49.54074792028351,88.79158612422395,48.05206744680837,1.847820309136803,0.3675080151559312,0.3827105800058292,0.3675080151559312,0.015202564849898015
Okhtyrka,26456,35,0.0013229513153915936,64.58999267408842,173.94956230775276,64.53862785623787,2.695278286598093,0.3666747770983038,0.3932959172087139,0.3666747770983038,0.026621140110410058
Rubizhne,13609,431,0.03167021823793078,64.22129763323346,101.54823422720793,63.44781293277582,1.6005001517514912,0.4618575253207993,0.4601606100866275,0.4618575253207993,-0.0016969152341718141
Sievierodonetsk,9065,534,0.05890788747931605,126.42806344656012,696.5263133038942,114.38345843118798,6.089397215795131,0.6511168564789266,0.6453594886593375,0.6511168564789266,-0.005757367819589132
Trostianets,8737,18,0.002060203731257869,53.70087292280565,153.34452126073546,53.61256474130612,2.860234760277944,0.3615380204151852,0.2857775483936741,0.3615380204151852,-0.0757604720215111
Volnovakha,13463,163,0.01210725692639085,68.57562170177121,88.52550507330842,68.12396645499466,1.2994766699586087,0.47226325014991466,0.44598713040269383,0.47226325014991466,-0.026276119747220827
