experiment,parquet,cv_method,auc,f1,n_features,n_cities,n_buildings,leakage_delta,leakage_inflation
D1_pre_only,prepost_single_card,GroupKFold,0.40533522260274635,0.028768671974598897,4,21,598595,,
D1_post_only,prepost_single_card,GroupKFold,0.44911832468584856,0.028769363994996633,4,21,598595,,
D1_delta_only,prepost_single_card,GroupKFold,0.4947185131665759,0.028767288033674083,4,21,598595,,
D1_pre+post,prepost_single_card,GroupKFold,0.48021125678830273,0.028863499699338546,8,21,598595,,
D1_pre+post+delta,prepost_single_card,GroupKFold,0.5078956815708293,0.029006421819756115,12,21,598595,,
D1_pre_baseline_mean,block_stats,GroupKFold,0.39778794071218254,0.028768671974598897,14,21,598595,,
D1_post_block_mean,block_stats,GroupKFold,0.39778794071218254,0.028768671974598897,14,21,598595,,
D1_pre_baseline_all,block_stats,GroupKFold,0.44068106548918445,0.028763828763828762,42,21,598595,,
D1_post_block_all,block_stats,GroupKFold,0.44068106514317495,0.028763828763828762,42,21,598595,,
D1_pre+post_mean,block_stats,GroupKFold,0.4198806606747905,0.028768671974598897,28,21,598595,,
D1_pre+post_all,block_stats,GroupKFold,0.43524801839424476,0.028756912719403702,84,21,598595,,
D1i_allblocks_random,block_stats,StratifiedKFold,0.7196602063802726,0.03280808467838498,750,21,598595,,
D1i_allblocks_groupkfold,block_stats,GroupKFold,0.6178829601233143,0.02989579590370104,750,21,598595,0.10177724625695828,
D1j_dynamic_random,block_stats_unpivoted,StratifiedKFold,0.3384068829380744,0.014752212078122409,42,21,6684300,,
D1j_dynamic_groupkfold,block_stats_unpivoted,GroupKFold,0.32412275924962297,0.012467217200945012,42,21,6684300,0.014284123688451444,
D1c_pre_composite,composite_prepost_bands,GroupKFold,0.4957477477638691,0.01204911156867231,135,19,480313,,
D1c_post_composite,composite_prepost_bands,GroupKFold,0.5022936105501572,0.013582602060282336,45,19,480313,,
D1d_pre_only,prepost_single_card,GroupKFold,0.40533522260274635,0.028768671974598897,4,21,598595,,
D1d_post_only,prepost_single_card,GroupKFold,0.44911832468584856,0.028769363994996633,4,21,598595,,
D1d_delta_only,prepost_single_card,GroupKFold,0.4947185131665759,0.028767288033674083,4,21,598595,,
D1d_pre+post+delta,prepost_single_card,GroupKFold,0.5078956815708293,0.029006421819756115,12,21,598595,,
D1e_zonal_mean,block_stats,GroupKFold,0.621639305088643,0.02881678012171361,260,21,598595,,
D1e_zonal_std,block_stats,GroupKFold,0.6296559679799762,0.028897704050967664,260,21,598595,,
D1e_zonal_max,block_stats,GroupKFold,0.6371691429007024,0.029116417623600635,260,21,598595,,
D1f_roll3_assess,rolling_stats_roll3,GroupKFold,0.2940463430434439,0.02286818519862326,30,21,598595,,
D2_sar-only,fusion_composite_blockstats,GroupKFold,0.6050585595868031,0.012546379527980722,750,19,480313,,
D2_ms-only,fusion_composite_blockstats,GroupKFold,0.5052737883342413,0.012053707659444614,135,19,480313,,
D2_coh-only,fusion_composite_blockstats,GroupKFold,0.5131790847064491,0.03832503510787693,30,19,480313,,
D2_sar_+_ms,fusion_composite_blockstats,GroupKFold,0.5665994164738162,0.012167125803489439,885,19,480313,,
D2_sar_+_ms_+_coh,fusion_composite_blockstats,GroupKFold,0.5557846090026363,0.012167125803489439,915,19,480313,,
D2_all_features,fusion_composite_blockstats,GroupKFold,0.5534696639426184,0.012240838497437075,915,19,480313,,
D3_leaky,fusion_composite_cohdrop,GroupKFold,0.5849206766040487,0.013379204892966361,151,19,480313,,2.941270560441467e-10
D3_clean,fusion_composite_cohdrop,GroupKFold,0.5849206763099216,0.013379204892966361,151,19,480313,,
D6_ms_only,composite_prepost_bands,GroupKFold,0.4957477477638691,0.01204911156867231,135,19,480313,,
D6_sar_only,rolling_stats_roll7,GroupKFold,0.5882386501050916,0.02955167940031714,99,21,598595,,
D6_fusion,fusion_composite_cohdrop,GroupKFold,0.5849206763099216,0.013379204892966361,151,19,480313,,
