file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_D1_blk_post_block_all__20260422_120607_06ea54.parquet,D1_blk_post_block_all,feat_set=post_block_all,598595,599,6733,33653,557610
oof_D1_blk_post_block_all__20260422_144554_06ea54.parquet,D1_blk_post_block_all,feat_set=post_block_all,598595,599,6733,33653,557610
oof_D1_blk_post_block_all__20260422_205106_06ea54.parquet,D1_blk_post_block_all,feat_set=post_block_all,598595,599,6733,33653,557610
oof_D1_blk_post_block_all__20260423_002242_06ea54.parquet,D1_blk_post_block_all,feat_set=post_block_all,598595,599,6733,33653,557610
oof_D1_blk_post_block_all__20260423_211335_06ea54.parquet,D1_blk_post_block_all,feat_set=post_block_all,598595,598,6734,33650,557613
oof_D1_blk_post_block_mean__20260422_120607_06ea54.parquet,D1_blk_post_block_mean,feat_set=post_block_mean,598595,598,6734,33642,557621
oof_D1_blk_post_block_mean__20260422_144554_06ea54.parquet,D1_blk_post_block_mean,feat_set=post_block_mean,598595,598,6734,33642,557621
oof_D1_blk_post_block_mean__20260422_205106_06ea54.parquet,D1_blk_post_block_mean,feat_set=post_block_mean,598595,598,6734,33642,557621
oof_D1_blk_post_block_mean__20260423_002242_06ea54.parquet,D1_blk_post_block_mean,feat_set=post_block_mean,598595,598,6734,33642,557621
oof_D1_blk_post_block_mean__20260423_211335_06ea54.parquet,D1_blk_post_block_mean,feat_set=post_block_mean,598595,598,6734,33643,557620
oof_D1_blk_pre+post_all__20260422_120607_06ea54.parquet,D1_blk_pre+post_all,feat_set=pre+post_all,598595,598,6734,33653,557610
oof_D1_blk_pre+post_all__20260422_205106_06ea54.parquet,D1_blk_pre+post_all,feat_set=pre+post_all,598595,598,6734,33653,557610
oof_D1_blk_pre+post_all__20260423_002242_06ea54.parquet,D1_blk_pre+post_all,feat_set=pre+post_all,598595,598,6734,33653,557610
oof_D1_blk_pre+post_all__20260423_211335_06ea54.parquet,D1_blk_pre+post_all,feat_set=pre+post_all,598595,598,6734,33660,557603
oof_D1_blk_pre+post_mean__20260422_120607_06ea54.parquet,D1_blk_pre+post_mean,feat_set=pre+post_mean,598595,598,6734,33644,557619
oof_D1_blk_pre+post_mean__20260422_144554_06ea54.parquet,D1_blk_pre+post_mean,feat_set=pre+post_mean,598595,598,6734,33644,557619
oof_D1_blk_pre+post_mean__20260422_205106_06ea54.parquet,D1_blk_pre+post_mean,feat_set=pre+post_mean,598595,598,6734,33644,557619
oof_D1_blk_pre+post_mean__20260423_002242_06ea54.parquet,D1_blk_pre+post_mean,feat_set=pre+post_mean,598595,598,6734,33644,557619
oof_D1_blk_pre+post_mean__20260423_211335_06ea54.parquet,D1_blk_pre+post_mean,feat_set=pre+post_mean,598595,598,6734,33643,557620
oof_D1_blk_pre_baseline_all__20260422_120607_06ea54.parquet,D1_blk_pre_baseline_all,feat_set=pre_baseline_all,598595,599,6733,33653,557610
oof_D1_blk_pre_baseline_all__20260422_144554_06ea54.parquet,D1_blk_pre_baseline_all,feat_set=pre_baseline_all,598595,599,6733,33653,557610
oof_D1_blk_pre_baseline_all__20260422_205106_06ea54.parquet,D1_blk_pre_baseline_all,feat_set=pre_baseline_all,598595,599,6733,33653,557610
oof_D1_blk_pre_baseline_all__20260423_002242_06ea54.parquet,D1_blk_pre_baseline_all,feat_set=pre_baseline_all,598595,599,6733,33653,557610
