city,n,n_dam,ratio,area_all_median,area_damaged_median,area_undamaged_median,area_ratio_d_vs_u,npx_dam,npx_und,auc_pre,auc_delta
Avdiivka,1186,93,0.07841483979763912,,,,,,,0.5171275664295764,0.5517516158545583
Borodyanka,507,68,0.1341222879684418,,,,,,,0.4796328554200724,0.5645350395283398
Bucha,1662,194,0.11672683513838748,,,,,,,0.5712923818084779,0.4761317031377286
Chernihiv,2810,358,0.12740213523131672,,,,,,,0.5156502045986858,0.5141703956182161
Chornobaivka,142,13,0.09154929577464789,,,,,,,0.5805008944543828,0.827072152653548
Dmytrivka,3136,361,0.11511479591836735,,,,,,,0.6319418032991441,0.6454862618851538
Hostomel,4497,618,0.13742494996664442,,,,,,,0.4981019696965905,0.5246827369346686
Irpin,2749,308,0.11204074208803201,,,,,,,0.558607154827966,0.504744436227435
Kharkiv,1883,263,0.13967073818374934,,,,,,,0.581453316434305,0.49733605595456043
Kherson,142,13,0.09154929577464789,,,,,,,0.3580799045915325,0.5697674418604651
Kramatorsk,180,25,0.1388888888888889,,,,,,,0.5683870967741935,0.48606451612903234
Lysychansk,7962,1117,0.14029138407435318,,,,,,,0.49002114214676823,0.5101796853593413
Makariv,448,61,0.13616071428571427,,,,,,,0.4997246579404414,0.4643537933663744
Mariupol,22615,3311,0.14640725182401063,,,,,,,0.5191645478289287,0.5127648604539766
Moschun,962,85,0.08835758835758836,,,,,,,0.537863035750218,0.5957408276879737
Mykolaiv,693,99,0.14285714285714285,,,,,,,0.4952810937659422,0.5322671156004488
Okhtyrka,258,38,0.14728682170542637,,,,,,,0.5035287081339713,0.38145933014354066
Rubizhne,5002,463,0.09256297481007597,,,,,,,0.5327133644245672,0.5210724715056504
Sievierodonetsk,4418,568,0.12856496152105024,,,,,,,0.522023276019755,0.5215184287543442
Trostianets,143,17,0.11888111888111888,,,,,,,0.6370214752567693,0.6323529411764706
Volnovakha,1848,174,0.09415584415584416,,,,,,,0.548938120545462,0.4632582155756053
