city,n,n_dam,ratio,area_all_median,area_damaged_median,area_undamaged_median,area_ratio_d_vs_u,auc_pre,auc_post,auc_both,post_minus_pre
Avdiivka,1186,93,0.07841483979763912,,,,,0.7969778354927249,0.7161211620379935,0.7969778354927249,-0.08085667345473146
Bucha,1662,194,0.11672683513838748,,,,,0.6994402932666648,0.7040173179021882,0.6994402932666648,0.004577024635523452
Chernihiv,2810,358,0.12740213523131672,,,,,0.6627180411384618,0.5464339907224295,0.6627180411384618,-0.11628405041603229
Chornobaivka,142,13,0.09154929577464789,,,,,0.6249254621347644,0.5313059033989267,0.6249254621347644,-0.09361955873583772
Dmytrivka,3136,361,0.11511479591836735,,,,,0.5721863691946795,0.49889196675900277,0.5721863691946795,-0.0732944024356767
Hostomel,4497,618,0.13742494996664442,,,,,0.6852517205331838,0.6955772139584904,0.6852517205331838,0.010325493425306531
Irpin,2749,308,0.11204074208803201,,,,,0.5436762131764179,0.5001642662949505,0.5436762131764179,-0.04351194688146742
Kharkiv,1883,263,0.13967073818374934,,,,,0.8039524949537623,0.7655705769140496,0.8039524949537623,-0.03838191803971269
Kherson,142,13,0.09154929577464789,,,,,0.6186642814549792,0.5313059033989267,0.6186642814549792,-0.08735837805605251
Kramatorsk,180,25,0.1388888888888889,,,,,0.7734193548387097,0.7927741935483872,0.7734193548387097,0.01935483870967747
Lysychansk,7962,1117,0.14029138407435318,,,,,0.7193933583708318,0.6845771537948944,0.7193933583708318,-0.03481620457593748
Makariv,448,61,0.13616071428571427,,,,,0.6217011903249037,0.5048290761214894,0.6217011903249037,-0.11687211420341426
Mariupol,22615,3311,0.14640725182401063,,,,,0.7996938585080335,0.7630878804692642,0.7996938585080335,-0.036605978038769305
Moschun,962,85,0.08835758835758836,,,,,0.6651821047689315,0.5952578979140117,0.6651821047689315,-0.06992420685491973
Okhtyrka,258,38,0.14728682170542637,,,,,0.6081937799043062,0.5729066985645934,0.6081937799043062,-0.03528708133971281
Rubizhne,5002,463,0.09256297481007597,,,,,0.7623340694542189,0.7509120618665114,0.7623340694542189,-0.011422007587707506
Sievierodonetsk,4418,568,0.12856496152105024,,,,,0.7575034296689226,0.7179474574721052,0.7575034296689226,-0.03955597219681739
Trostianets,143,17,0.11888111888111888,,,,,0.3632119514472456,0.40056022408963576,0.3632119514472456,0.03734827264239016
Volnovakha,1848,174,0.09415584415584416,,,,,0.6646033315480849,0.605398316373474,0.6646033315480849,-0.059205015174610964
