experiment,parquet,cv_method,auc,f1,n_features,n_cities,n_buildings,leakage_delta,leakage_inflation
D1_pre_only,prepost_single_card,GroupKFold,0.5053539140732551,0.029837837837837836,2,21,63243,,
D1_post_only,prepost_single_card,GroupKFold,0.5057814019795374,0.026860175457597748,2,21,63243,,
D1_delta_only,prepost_single_card,GroupKFold,0.5122693833403169,0.028086218158066622,2,21,63243,,
D1_pre+post,prepost_single_card,GroupKFold,0.5033692067493242,0.004792140888942135,4,21,63243,,
D1_pre+post+delta,prepost_single_card,GroupKFold,0.5144501233080188,0.007881538094100788,6,21,63243,,
D1_pre_baseline_mean,block_stats,GroupKFold,0.4985494717637809,0.026971625849606214,2,21,63243,,
D1_post_block_mean,block_stats,GroupKFold,0.4985494717637809,0.026971625849606214,2,21,63243,,
D1_pre_baseline_all,block_stats,GroupKFold,0.5236957255521997,0.0012113870381586917,16,21,63243,,
D1_post_block_all,block_stats,GroupKFold,0.5223519855094371,0.0014512032893941227,22,21,63243,,
D1_pre+post_mean,block_stats,GroupKFold,0.5003283129521207,0.03231560172070087,4,21,63243,,
D1_pre+post_all,block_stats,GroupKFold,0.5256366517893432,0.0009674688595960818,38,21,63243,,
D1i_allblocks_random,block_stats,StratifiedKFold,0.6320555579411695,0.04544421722335833,312,21,63243,,
D1i_allblocks_groupkfold,block_stats,GroupKFold,0.5217038404406857,0.0014540167211922936,312,21,63243,0.11035171750048378,
D1j_dynamic_random,block_stats_unpivoted,StratifiedKFold,0.601905688202274,0.1740319822991049,24,21,293116,,
D1j_dynamic_groupkfold,block_stats_unpivoted,GroupKFold,0.5846232923671831,0.17208348311518049,24,21,293116,0.017282395835090836,
D1c_pre_composite,composite_prepost_bands,GroupKFold,0.6431124825994636,0.0271438866202258,48,19,62043,,
D1c_post_composite,composite_prepost_bands,GroupKFold,0.6232245145784708,0.045577990317629,15,19,62043,,
D1d_pre_only,prepost_single_card,GroupKFold,0.5053539140732551,0.029837837837837836,2,21,63243,,
D1d_post_only,prepost_single_card,GroupKFold,0.5057814019795374,0.026860175457597748,2,21,63243,,
D1d_delta_only,prepost_single_card,GroupKFold,0.5122693833403169,0.028086218158066622,2,21,63243,,
D1d_pre+post+delta,prepost_single_card,GroupKFold,0.5144501233080188,0.007881538094100788,6,21,63243,,
D1e_zonal_mean,block_stats,GroupKFold,0.512099886793138,0.003141614306428226,38,21,63243,,
D1e_zonal_std,block_stats,GroupKFold,0.5031760569061261,0.0007259528130671506,38,21,63243,,
D1e_zonal_max,block_stats,GroupKFold,0.5235484436567773,0.006032818532818533,44,21,63243,,
D1e_zonal_min,block_stats,GroupKFold,0.5201937479223442,0.0065107306486616836,44,21,63243,,
D1e_zonal_median,block_stats,GroupKFold,0.516596950957854,0.002176278563656148,38,21,63243,,
D1f_roll3_assess,rolling_stats_roll3,GroupKFold,0.4781416623943893,0.17080256203843058,12,21,63243,,
D1f_roll7_assess,rolling_stats_roll7,GroupKFold,0.4781416623943893,0.17080256203843058,2,21,63243,,
D2_sar-only,fusion_composite_blockstats,GroupKFold,0.5328670137110815,0.03550157655027444,312,19,62043,,
D2_ms-only,fusion_composite_blockstats,GroupKFold,0.6459132625801728,0.026404224675948152,60,19,62043,,
D2_coh-only,fusion_composite_blockstats,GroupKFold,0.491374857736223,0.031069209342189843,12,19,62043,,
D2_sar_+_ms,fusion_composite_blockstats,GroupKFold,0.6554483379976344,0.008084272415482607,372,19,62043,,
D2_sar_+_ms_+_coh,fusion_composite_blockstats,GroupKFold,0.6468040785371274,0.007836414840210604,384,19,62043,,
D2_all_features,fusion_composite_blockstats,GroupKFold,0.6464426980404432,0.008561643835616438,393,19,62043,,
D3_leaky,fusion_composite_cohdrop,GroupKFold,0.6173435878248582,0.01943690152922681,86,11,51293,,-0.0015305040976015816
D3_clean,fusion_composite_cohdrop,GroupKFold,0.6188740919224598,0.019646924829157177,75,11,51293,,
D6_ms_only,composite_prepost_bands,GroupKFold,0.6463633509520549,0.025024061597690085,69,19,62043,,
D6_sar_only,rolling_stats_roll7,GroupKFold,0.5196565702810728,0.000726920281075842,38,21,63243,,
D6_fusion,fusion_composite_cohdrop,GroupKFold,0.6188741001172104,0.019646924829157177,75,11,51293,,
