scenario,sensor,parquet,auc,f1,n_features,n_buildings,n_cities
PREPOST_MS,CARD,composite_prepost_bands,,,0,,
PREPOST_MS,COH,composite_prepost_bands,,,0,,
PREPOST_MS,MS,composite_prepost_bands,0.535611046342655,0.012595693328807934,135,480313.0,19.0
PREPOST_MS,SAR_ALL,composite_prepost_bands,,,0,,
PREPOST_MS,ALL,composite_prepost_bands,0.5356110488427355,0.012595693328807934,135,480313.0,19.0
PREPOST_SAR,CARD,prepost_single_card,,,0,,
PREPOST_SAR,COH,prepost_single_card,,,0,,
PREPOST_SAR,MS,prepost_single_card,,,0,,
PREPOST_SAR,SAR_ALL,prepost_single_card,,,0,,
PREPOST_SAR,ALL,prepost_single_card,0.5404828304754692,0.02941600576784427,12,598595.0,21.0
ROLLING_SAR,CARD,rolling_stats_roll7,0.48599037295843783,0.028834370569719107,42,598595.0,21.0
ROLLING_SAR,COH,rolling_stats_roll7,0.5737354511502737,0.03631352351828753,15,598595.0,21.0
ROLLING_SAR,MS,rolling_stats_roll7,,,0,,
ROLLING_SAR,SAR_ALL,rolling_stats_roll7,0.6705605087962279,0.030701439279641737,57,598595.0,21.0
ROLLING_SAR,ALL,rolling_stats_roll7,0.64656881442912,0.030557750796273677,57,598595.0,21.0
FUSION_MS_COH,CARD,fusion_composite_cohdrop,,,0,,
FUSION_MS_COH,COH,fusion_composite_cohdrop,0.7017172315962816,0.07047972669396337,16,480313.0,19.0
FUSION_MS_COH,MS,fusion_composite_cohdrop,0.5394142201613449,0.012750867662592424,135,480313.0,19.0
FUSION_MS_COH,SAR_ALL,fusion_composite_cohdrop,0.7017172315962816,0.07047972669396337,16,480313.0,19.0
FUSION_MS_COH,ALL,fusion_composite_cohdrop,0.6567387181669163,0.016063951275218882,151,480313.0,19.0
