tier,sensor,auc,f1,n_features,n_buildings
PREPOST,CARD,0.44312671420182526,0.0003059507419305492,96,368288.0
PREPOST,COH,0.5450521032292888,0.031214657317349015,18,79138.0
PREPOST,MS,0.6237418910500675,0.0018882769472856019,192,310131.0
PREPOST,SAR_ALL,0.5147437746987604,0.014044524129687734,114,368288.0
PREPOST,ALL,0.6142656112901457,0.0009296560272699101,306,368288.0
PREPOST_COH,CARD,0.44312671205323045,0.0003059507419305492,96,368288.0
PREPOST_COH,COH,0.5450521032292888,0.031214657317349015,18,79138.0
PREPOST_COH,MS,0.623741883236705,0.0018882769472856019,192,310131.0
PREPOST_COH,SAR_ALL,0.5147438000521788,0.014044524129687734,114,368288.0
PREPOST_COH,ALL,0.6142656119347241,0.0009296560272699101,306,368288.0
FULL_TEMPORAL,CARD,0.4620629067496454,0.007951700780444706,124,368288.0
FULL_TEMPORAL,COH,0.5450521048589916,0.031214657317349015,18,79138.0
FULL_TEMPORAL,MS,0.6237418868829407,0.0018882769472856019,192,310131.0
FULL_TEMPORAL,SAR_ALL,0.48501044561053464,0.006320541760722348,142,368288.0
FULL_TEMPORAL,ALL,0.648498078726762,0.0006213109661385523,334,368288.0
POST_ONLY,CARD,0.2885596725449079,0.030594315245478038,48,368288.0
POST_ONLY,COH,,,0,
POST_ONLY,MS,0.5086399864245846,0.009430355549891679,64,310131.0
POST_ONLY,SAR_ALL,0.2885596725449079,0.030594315245478038,48,368288.0
POST_ONLY,ALL,0.44000543144134063,0.010448305187705018,112,368288.0
