parquet,pq_id,classifier,auc,f1,n_features,n_buildings,n_cities
composite_prepost_bands,A9,RF_200,0.5356110522251971,0.012595693328807934,135,480313,19
composite_prepost_bands,A9,ExtraTrees,0.5647998707883138,0.013446139900287053,135,480313,19
composite_prepost_bands,A9,GBM,0.6170034475303188,0.002696508022111366,135,480313,19
composite_prepost_bands,A9,LightGBM,0.7104707759919224,0.061633788014800864,135,480313,19
composite_prepost_bands,A9,XGBoost,0.6273553165793578,0.044101433296582136,135,480313,19
rolling_stats_roll7,A17,RF_200,0.6465688189272442,0.030557750796273677,57,598595,21
rolling_stats_roll7,A17,ExtraTrees,0.6996373265718304,0.03511443117476329,57,598595,21
rolling_stats_roll7,A17,GBM,0.7989497237763689,0.008483563096500531,57,598595,21
rolling_stats_roll7,A17,LightGBM,0.7943860402372268,0.0722187011450543,57,598595,21
rolling_stats_roll7,A17,XGBoost,0.7443661757821636,0.06981432360742705,57,598595,21
fusion_composite_cohdrop,F7,RF_200,0.6567387343439073,0.016063951275218882,151,480313,19
fusion_composite_cohdrop,F7,ExtraTrees,0.7201487833628313,0.025098925946862635,151,480313,19
fusion_composite_cohdrop,F7,GBM,0.798507187093856,0.007029419422025514,151,480313,19
fusion_composite_cohdrop,F7,LightGBM,0.8220932086502869,0.1087972677674708,151,480313,19
fusion_composite_cohdrop,F7,XGBoost,0.7551786404203917,0.0940833052655215,151,480313,19
