tier,classifier,auc,f1,n_features
PREPOST,RF_200,0.6222476957037956,0.00044483985765124553,264
PREPOST,ExtraTrees,0.6857505004605331,0.008859357696566999,264
PREPOST,GBM,0.6713306079062905,0.04630561707267969,264
PREPOST,LightGBM,0.6851115603380248,0.23185582075012176,264
PREPOST,XGBoost,0.6594622726243979,0.06243705941591138,264
PREPOST_COH,RF_200,0.6222476936624076,0.00044483985765124553,264
PREPOST_COH,ExtraTrees,0.6857504963777572,0.008859357696566999,264
PREPOST_COH,GBM,0.6713306079062905,0.04630561707267969,264
PREPOST_COH,LightGBM,0.6851115603380248,0.23185582075012176,264
PREPOST_COH,XGBoost,0.6594622726243979,0.06243705941591138,264
FULL_TEMPORAL,RF_200,0.6288368059069861,0.0004450378282153983,272
FULL_TEMPORAL,ExtraTrees,0.6815222206583376,0.012381162944948043,272
FULL_TEMPORAL,GBM,0.6357710351896814,0.06072800438997622,272
FULL_TEMPORAL,LightGBM,0.686246518933493,0.21707193515704154,272
FULL_TEMPORAL,XGBoost,0.6203699127970532,0.052202283849918436,272
POST_ONLY,RF_200,0.7037505648214106,0.03484320557491289,70
POST_ONLY,ExtraTrees,0.7351443854471547,0.1309119936140491,70
POST_ONLY,GBM,0.7022455413863185,0.05269658295594895,70
POST_ONLY,LightGBM,0.7254956593928287,0.2912326827788452,70
POST_ONLY,XGBoost,0.6688533428637297,0.14290843806104128,70
