city,n_bldg,n_dam,has_card,has_coh,has_ms,max_tier
Avdiivka,12523,89,True,True,True,FULL
Borodyanka,5240,62,True,True,False,MINIMAL
Bucha,17215,158,True,True,True,FULL
Chernihiv,51375,333,True,True,True,FULL
Dmytrivka,13649,144,True,True,True,FULL
Hostomel,19145,511,True,True,True,FULL
Irpin,17365,249,True,True,True,FULL
Kharkiv,170104,238,True,False,True,PREPOST
Kherson,9909,6,True,True,True,FULL
Kramatorsk,10414,19,True,True,True,FULL
Lysychansk,41600,1071,True,True,True,FULL
Makariv,5554,53,True,False,True,PREPOST
Mariupol,28973,3055,True,True,True,FULL
Moschun,1248,73,True,True,True,FULL
Mykolaiv,113042,84,True,True,False,MINIMAL
Okhtyrka,26456,35,True,True,True,FULL
Rubizhne,13609,431,True,True,True,FULL
Sievierodonetsk,9065,534,True,True,True,FULL
Trostianets,8737,18,True,False,True,PREPOST
Volnovakha,13463,163,True,True,True,FULL
