tier,sensor,auc,f1,n_features,n_buildings
T1,CARD,0.5789987230792072,0.018832391713747645,54,59007.0
T1,COH,0.5600380338199381,0.059096459096459095,18,32504.0
T1,MS,0.6313274257091788,0.010170240990493035,192,59007.0
T1,SAR_ALL,0.6082547696354591,0.037465125548027105,72,59007.0
T1,ALL,0.6222476957037955,0.00044483985765124553,264,59007.0
T2,CARD,0.5789987251205951,0.018832391713747645,54,59007.0
T2,COH,0.5600380338199381,0.059096459096459095,18,32504.0
T2,MS,0.6313274257091788,0.010170240990493035,192,59007.0
T2,SAR_ALL,0.6082547696354591,0.037465125548027105,72,59007.0
T2,ALL,0.6222476936624076,0.00044483985765124553,264,59007.0
T3,CARD,0.577952581188426,0.019983347210657785,62,59007.0
T3,COH,0.5600380338199381,0.059096459096459095,18,32504.0
T3,MS,0.6313274257091788,0.010170240990493035,192,59007.0
T3,SAR_ALL,0.610096140306256,0.038292780215396886,80,59007.0
T3,ALL,0.6312037870097196,0.0008898776418242492,272,59007.0
T4,CARD,0.3660370322789399,0.06348018370471169,6,59007.0
T4,COH,,,0,
T4,MS,0.7039232744031736,0.03229325769146847,64,59007.0
T4,SAR_ALL,0.3660370322789399,0.06348018370471169,6,59007.0
T4,ALL,0.7037505648214107,0.03484320557491289,70,59007.0
