tier,classifier,auc,f1,n_features
T1,RF_200,0.6222476957037956,0.00044483985765124553,264
T1,ExtraTrees,0.6857505025019208,0.008859357696566999,264
T1,GBM,0.6713306079062905,0.04630561707267969,264
T1,LightGBM,0.6851115603380248,0.23185582075012176,264
T1,XGBoost,0.6594622726243979,0.06243705941591138,264
T2,RF_200,0.6222476936624076,0.00044483985765124553,264
T2,ExtraTrees,0.6857504963777572,0.008859357696566999,264
T2,GBM,0.6713306079062905,0.04630561707267969,264
T2,LightGBM,0.6851115603380248,0.23185582075012176,264
T2,XGBoost,0.6594622726243979,0.06243705941591138,264
T3,RF_200,0.6312037870097196,0.0008898776418242492,272
T3,ExtraTrees,0.6853957603198629,0.00841266327208324,272
T3,GBM,0.660193391617462,0.049053688682889146,272
T3,LightGBM,0.6936650409570594,0.23481294358234092,272
T3,XGBoost,0.6612099211353879,0.0766798418972332,272
T4,RF_200,0.7037505627800227,0.03484320557491289,70
T4,ExtraTrees,0.7351443834057668,0.1309119936140491,70
T4,GBM,0.7022455413863185,0.05269658295594895,70
T4,LightGBM,0.7254956593928287,0.2912326827788452,70
T4,XGBoost,0.6688533428637297,0.14290843806104128,70
