tier,sensor,auc,f1,n_features,n_buildings
T1,CARD,0.4641078157875403,0.0,96,59007.0
T1,COH,0.5956521102223935,0.05787781350482315,18,50759.0
T1,MS,0.6428589564844772,0.01757083241818581,150,59007.0
T1,SAR_ALL,0.4975480461259924,0.0,114,59007.0
T1,ALL,0.48774498706376573,0.0,264,59007.0
T2,CARD,0.4641078157875403,0.0,96,59007.0
T2,COH,0.5956521102223935,0.05787781350482315,18,50759.0
T2,MS,0.6428589564844772,0.01757083241818581,150,59007.0
T2,SAR_ALL,0.4975480461259924,0.0,114,59007.0
T2,ALL,0.48774498706376573,0.0,264,59007.0
T3,CARD,0.42311519941407916,0.0,112,59007.0
T3,COH,0.5956521102223935,0.05787781350482315,18,50759.0
T3,MS,0.6428589564844772,0.01757083241818581,150,59007.0
T3,SAR_ALL,0.43740629468164316,0.0,130,59007.0
T3,ALL,0.49626431322187103,0.0,280,59007.0
T4,CARD,0.5991047852655494,0.011461318051575931,48,59007.0
T4,COH,,,0,
T4,MS,0.6997519411577942,0.04106951871657754,52,59007.0
T4,SAR_ALL,0.5991047852655497,0.011461318051575931,48,59007.0
T4,ALL,0.6275444869253637,0.02024202420242024,100,59007.0
