tier,classifier,auc,f1,n_features
T1,RF_200,0.48774498706376573,0.0,264
T1,ExtraTrees,0.6295357893717524,0.005327413984461709,264
T1,GBM,0.5732086039339293,0.15130990415335463,264
T1,LightGBM,0.49642813868349966,0.12329917688560389,264
T1,XGBoost,0.6143764081340619,0.05622157916494419,264
T2,RF_200,0.48774498706376573,0.0,264
T2,ExtraTrees,0.6295357914131402,0.005327413984461709,264
T2,GBM,0.5732086039339293,0.15130990415335463,264
T2,LightGBM,0.49642813868349966,0.12329917688560389,264
T2,XGBoost,0.6143764081340619,0.05622157916494419,264
T3,RF_200,0.49626431322187103,0.0,280
T3,ExtraTrees,0.6412197281261632,0.003111111111111111,280
T3,GBM,0.584233070286349,0.15239973399986242,280
T3,LightGBM,0.4774251486136514,0.09447983014861996,280
T3,XGBoost,0.6011017729772354,0.044967430132380755,280
T4,RF_200,0.6275444869253638,0.02024202420242024,100
T4,ExtraTrees,0.733423475034859,0.08220338983050847,100
T4,GBM,0.682841426759971,0.18853591160220995,100
T4,LightGBM,0.46920082137936725,0.16099870856650883,100
T4,XGBoost,0.5636429337876406,0.09568812758417011,100
