file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_ABL_FUSION_MS_COH_ALL__20260422_135115_5eca93.parquet,ABL_FUSION_MS_COH_ALL,scenario=FUSION_MS_COH;sensor=ALL;parquet=F7,598595,652,6680,33720,557543
oof_ABL_FUSION_MS_COH_ALL__20260423_221659_5eca93.parquet,ABL_FUSION_MS_COH_ALL,scenario=FUSION_MS_COH;sensor=ALL;parquet=F7,480313,211,6975,18873,454254
oof_ABL_FUSION_MS_COH_COH__20260422_135115_5eca93.parquet,ABL_FUSION_MS_COH_COH,scenario=FUSION_MS_COH;sensor=COH;parquet=F7,598595,4263,3069,143880,447383
oof_ABL_FUSION_MS_COH_COH__20260422_144623_5eca93.parquet,ABL_FUSION_MS_COH_COH,scenario=FUSION_MS_COH;sensor=COH;parquet=F7,598595,4263,3069,143880,447383
oof_ABL_FUSION_MS_COH_COH__20260423_221659_5eca93.parquet,ABL_FUSION_MS_COH_COH,scenario=FUSION_MS_COH;sensor=COH;parquet=F7,480313,4157,3029,106620,366507
oof_ABL_FUSION_MS_COH_MS__20260422_135115_5eca93.parquet,ABL_FUSION_MS_COH_MS,scenario=FUSION_MS_COH;sensor=MS;parquet=F7,598595,610,6722,34061,557202
oof_ABL_FUSION_MS_COH_MS__20260422_144623_5eca93.parquet,ABL_FUSION_MS_COH_MS,scenario=FUSION_MS_COH;sensor=MS;parquet=F7,598595,610,6722,34061,557202
oof_ABL_FUSION_MS_COH_MS__20260423_221659_5eca93.parquet,ABL_FUSION_MS_COH_MS,scenario=FUSION_MS_COH;sensor=MS;parquet=F7,480313,169,7017,19153,453974
oof_ABL_FUSION_MS_COH_SAR_ALL__20260422_135115_5eca93.parquet,ABL_FUSION_MS_COH_SAR_ALL,scenario=FUSION_MS_COH;sensor=SAR_ALL;parquet=F7,598595,4263,3069,143880,447383
oof_ABL_FUSION_MS_COH_SAR_ALL__20260422_144623_5eca93.parquet,ABL_FUSION_MS_COH_SAR_ALL,scenario=FUSION_MS_COH;sensor=SAR_ALL;parquet=F7,598595,4263,3069,143880,447383
oof_ABL_FUSION_MS_COH_SAR_ALL__20260423_221659_5eca93.parquet,ABL_FUSION_MS_COH_SAR_ALL,scenario=FUSION_MS_COH;sensor=SAR_ALL;parquet=F7,480313,4157,3029,106620,366507
oof_ABL_PREPOST_MS_ALL__20260422_135115_5eca93.parquet,ABL_PREPOST_MS_ALL,scenario=PREPOST_MS;sensor=ALL;parquet=A9,480313,165,7021,19163,453964
oof_ABL_PREPOST_MS_ALL__20260422_144623_5eca93.parquet,ABL_PREPOST_MS_ALL,scenario=PREPOST_MS;sensor=ALL;parquet=A9,480313,165,7021,19163,453964
oof_ABL_PREPOST_MS_ALL__20260423_221659_5eca93.parquet,ABL_PREPOST_MS_ALL,scenario=PREPOST_MS;sensor=ALL;parquet=A9,480313,167,7019,19164,453963
oof_ABL_PREPOST_MS_MS__20260422_135115_5eca93.parquet,ABL_PREPOST_MS_MS,scenario=PREPOST_MS;sensor=MS;parquet=A9,480313,165,7021,19163,453964
oof_ABL_PREPOST_MS_MS__20260422_144623_5eca93.parquet,ABL_PREPOST_MS_MS,scenario=PREPOST_MS;sensor=MS;parquet=A9,480313,165,7021,19163,453964
oof_ABL_PREPOST_MS_MS__20260423_221659_5eca93.parquet,ABL_PREPOST_MS_MS,scenario=PREPOST_MS;sensor=MS;parquet=A9,480313,167,7019,19164,453963
oof_ABL_PREPOST_SAR_ALL__20260422_135115_5eca93.parquet,ABL_PREPOST_SAR_ALL,scenario=PREPOST_SAR;sensor=ALL;parquet=A13,598595,612,6720,33666,557597
oof_ABL_PREPOST_SAR_ALL__20260422_144623_5eca93.parquet,ABL_PREPOST_SAR_ALL,scenario=PREPOST_SAR;sensor=ALL;parquet=A13,598595,612,6720,33666,557597
oof_ABL_PREPOST_SAR_ALL__20260423_221659_5eca93.parquet,ABL_PREPOST_SAR_ALL,scenario=PREPOST_SAR;sensor=ALL;parquet=A13,598595,612,6720,33666,557597
oof_ABL_ROLLING_SAR_ALL__20260422_135115_5eca93.parquet,ABL_ROLLING_SAR_ALL,scenario=ROLLING_SAR;sensor=ALL;parquet=A17,598595,647,6685,33767,557496
oof_ABL_ROLLING_SAR_ALL__20260422_144623_5eca93.parquet,ABL_ROLLING_SAR_ALL,scenario=ROLLING_SAR;sensor=ALL;parquet=A17,598595,647,6685,33767,557496
oof_ABL_ROLLING_SAR_ALL__20260423_221659_5eca93.parquet,ABL_ROLLING_SAR_ALL,scenario=ROLLING_SAR;sensor=ALL;parquet=A17,598595,638,6694,33787,557476
oof_ABL_ROLLING_SAR_CARD__20260422_135115_5eca93.parquet,ABL_ROLLING_SAR_CARD,scenario=ROLLING_SAR;sensor=CARD;parquet=A17,598595,599,6733,33683,557580
oof_ABL_ROLLING_SAR_CARD__20260422_144623_5eca93.parquet,ABL_ROLLING_SAR_CARD,scenario=ROLLING_SAR;sensor=CARD;parquet=A17,598595,599,6733,33683,557580
oof_ABL_ROLLING_SAR_CARD__20260423_221659_5eca93.parquet,ABL_ROLLING_SAR_CARD,scenario=ROLLING_SAR;sensor=CARD;parquet=A17,598595,600,6732,33685,557578
oof_ABL_ROLLING_SAR_COH__20260422_135115_5eca93.parquet,ABL_ROLLING_SAR_COH,scenario=ROLLING_SAR;sensor=COH;parquet=A17,598595,1812,5520,90436,500827
oof_ABL_ROLLING_SAR_COH__20260422_144623_5eca93.parquet,ABL_ROLLING_SAR_COH,scenario=ROLLING_SAR;sensor=COH;parquet=A17,598595,1812,5520,90436,500827
oof_ABL_ROLLING_SAR_COH__20260423_221659_5eca93.parquet,ABL_ROLLING_SAR_COH,scenario=ROLLING_SAR;sensor=COH;parquet=A17,598595,1805,5527,90275,500988
oof_ABL_ROLLING_SAR_SAR_ALL__20260422_135115_5eca93.parquet,ABL_ROLLING_SAR_SAR_ALL,scenario=ROLLING_SAR;sensor=SAR_ALL;parquet=A17,598595,642,6690,33783,557480
oof_ABL_ROLLING_SAR_SAR_ALL__20260422_144623_5eca93.parquet,ABL_ROLLING_SAR_SAR_ALL,scenario=ROLLING_SAR;sensor=SAR_ALL;parquet=A17,598595,642,6690,33783,557480
oof_ABL_ROLLING_SAR_SAR_ALL__20260423_221659_5eca93.parquet,ABL_ROLLING_SAR_SAR_ALL,scenario=ROLLING_SAR;sensor=SAR_ALL;parquet=A17,598595,641,6691,33784,557479
oof_CLF_A17_ExtraTrees__20260423_221659_5eca93.parquet,CLF_A17_ExtraTrees,classifier=ExtraTrees;parquet=A17,598595,738,6594,33964,557299
oof_CLF_A17_GBM__20260423_221659_5eca93.parquet,CLF_A17_GBM,classifier=GBM;parquet=A17,598595,32,7300,180,591083
oof_CLF_A17_LightGBM__20260423_221659_5eca93.parquet,CLF_A17_LightGBM,classifier=LightGBM;parquet=A17,598595,4273,3059,106730,484533
oof_CLF_A17_RF_200__20260423_221659_5eca93.parquet,CLF_A17_RF_200,classifier=RF_200;parquet=A17,598595,638,6694,33787,557476
oof_CLF_A17_XGBoost__20260423_221659_5eca93.parquet,CLF_A17_XGBoost,classifier=XGBoost;parquet=A17,598595,329,7003,1764,589499
oof_CLF_A9_ExtraTrees__20260422_135115_5eca93.parquet,CLF_A9_ExtraTrees,classifier=ExtraTrees;parquet=A9,480313,174,7012,19140,453987
oof_CLF_A9_ExtraTrees__20260423_221659_5eca93.parquet,CLF_A9_ExtraTrees,classifier=ExtraTrees;parquet=A9,480313,178,7008,19112,454015
oof_CLF_A9_GBM__20260423_221659_5eca93.parquet,CLF_A9_GBM,classifier=GBM;parquet=A9,480313,10,7176,221,472906
oof_CLF_A9_LightGBM__20260423_221659_5eca93.parquet,CLF_A9_LightGBM,classifier=LightGBM;parquet=A9,480313,2815,4371,81345,391782
oof_CLF_A9_RF_200__20260422_135115_5eca93.parquet,CLF_A9_RF_200,classifier=RF_200;parquet=A9,480313,165,7021,19163,453964
oof_CLF_A9_RF_200__20260423_221659_5eca93.parquet,CLF_A9_RF_200,classifier=RF_200;parquet=A9,480313,167,7019,19164,453963
