cell,experiment,scenario,sensor,parquet,auc,f1,n_features,n_buildings,n_cities
ablation,PREPOST_MS_MS,PREPOST_MS,MS,composite_prepost_bands,0.535611046342655,0.012595693328807934,135.0,480313.0,19.0
ablation,PREPOST_MS_ALL,PREPOST_MS,ALL,composite_prepost_bands,0.5356110488427355,0.012595693328807934,135.0,480313.0,19.0
ablation,PREPOST_SAR_ALL,PREPOST_SAR,ALL,prepost_single_card,0.5404828304754692,0.02941600576784427,12.0,598595.0,21.0
ablation,ROLLING_SAR_CARD,ROLLING_SAR,CARD,rolling_stats_roll7,0.48599037295843783,0.028834370569719107,42.0,598595.0,21.0
ablation,ROLLING_SAR_COH,ROLLING_SAR,COH,rolling_stats_roll7,0.5737354511502737,0.03631352351828753,15.0,598595.0,21.0
ablation,ROLLING_SAR_SAR_ALL,ROLLING_SAR,SAR_ALL,rolling_stats_roll7,0.6705605087962279,0.030701439279641737,57.0,598595.0,21.0
ablation,ROLLING_SAR_ALL,ROLLING_SAR,ALL,rolling_stats_roll7,0.64656881442912,0.030557750796273677,57.0,598595.0,21.0
ablation,FUSION_MS_COH_COH,FUSION_MS_COH,COH,fusion_composite_cohdrop,0.7017172315962816,0.07047972669396337,16.0,480313.0,19.0
ablation,FUSION_MS_COH_MS,FUSION_MS_COH,MS,fusion_composite_cohdrop,0.5394142201613449,0.012750867662592424,135.0,480313.0,19.0
ablation,FUSION_MS_COH_SAR_ALL,FUSION_MS_COH,SAR_ALL,fusion_composite_cohdrop,0.7017172315962816,0.07047972669396337,16.0,480313.0,19.0
ablation,FUSION_MS_COH_ALL,FUSION_MS_COH,ALL,fusion_composite_cohdrop,0.6567387181669163,0.016063951275218882,151.0,480313.0,19.0
classifiers,A9_RF_200,,,composite_prepost_bands,0.5356110522251971,0.012595693328807934,,,
classifiers,A9_ExtraTrees,,,composite_prepost_bands,0.5647998707883138,0.013446139900287053,,,
classifiers,A9_GBM,,,composite_prepost_bands,0.6170034475303188,0.002696508022111366,,,
classifiers,A9_LightGBM,,,composite_prepost_bands,0.7104707759919224,0.061633788014800864,,,
classifiers,A9_XGBoost,,,composite_prepost_bands,0.6273553165793578,0.044101433296582136,,,
classifiers,A17_RF_200,,,rolling_stats_roll7,0.6465688189272442,0.030557750796273677,,,
classifiers,A17_ExtraTrees,,,rolling_stats_roll7,0.6996373265718304,0.03511443117476329,,,
classifiers,A17_GBM,,,rolling_stats_roll7,0.7989497237763689,0.008483563096500531,,,
classifiers,A17_LightGBM,,,rolling_stats_roll7,0.7943860402372268,0.0722187011450543,,,
classifiers,A17_XGBoost,,,rolling_stats_roll7,0.7443661757821636,0.06981432360742705,,,
classifiers,F7_RF_200,,,fusion_composite_cohdrop,0.6567387343439073,0.016063951275218882,,,
classifiers,F7_ExtraTrees,,,fusion_composite_cohdrop,0.7201487833628313,0.025098925946862635,,,
classifiers,F7_GBM,,,fusion_composite_cohdrop,0.798507187093856,0.007029419422025514,,,
classifiers,F7_LightGBM,,,fusion_composite_cohdrop,0.8220932086502869,0.1087972677674708,,,
classifiers,F7_XGBoost,,,fusion_composite_cohdrop,0.7551786404203917,0.0940833052655215,,,
