dataset,feature,d
xBD,delta_b_mean,0.10066857963986249
xBD,delta_g_mean,-0.011994855561271896
xBD,delta_r_mean,0.15067979524970346
xBD,post_b_mean,-0.032009330160694786
xBD,post_b_std,-0.2828027348725196
xBD,post_g_mean,-0.0557267697221009
xBD,post_g_std,-0.26810513119028334
xBD,post_r_mean,-0.0076509779022064205
xBD,post_r_std,-0.35918572501852264
xBD,pre_b_mean,-0.10326005439276283
xBD,pre_b_std,-0.14611925170910958
xBD,pre_g_mean,-0.04852360699881386
xBD,pre_g_std,-0.16770899012655582
xBD,pre_r_mean,-0.12233321878345059
xBD,pre_r_std,-0.1879451099394262
BDA,area_px,0.7526291324328848
BDA,delta_b_mean,-0.008178753778338432
BDA,delta_b_std,-0.01057121530175209
BDA,delta_g_mean,-0.008526737801730633
BDA,delta_g_std,-0.011167380027472973
BDA,delta_r_mean,-0.009304909035563469
BDA,delta_r_std,-0.012076256796717644
BDA,delta_vh_mean,-0.42165231704711914
BDA,delta_vh_std,0.4366937577724457
BDA,delta_vv_mean,-0.42684733867645264
BDA,delta_vv_std,0.38901761174201965
BDA,post_b_mean,-0.01171870157122612
BDA,post_b_std,-0.014225756749510765
BDA,post_g_mean,-0.009486943483352661
BDA,post_g_std,-0.013944271020591259
BDA,post_r_mean,-0.009903808124363422
BDA,post_r_std,-0.00540510518476367
BDA,post_vh_mean,0.09576743841171265
BDA,post_vh_std,0.45245030522346497
BDA,post_vv_mean,0.0619712732732296
BDA,post_vv_std,0.3377847373485565
BDA,pre_b_mean,0.008662336505949497
BDA,pre_b_std,0.013210736215114594
BDA,pre_g_mean,0.013906104490160942
BDA,pre_g_std,0.018671629950404167
BDA,pre_r_mean,0.012918821536004543
BDA,pre_r_std,0.01549441646784544
BDA,pre_vh_mean,0.42036381363868713
BDA,pre_vh_std,0.6400598287582397
BDA,pre_vv_mean,0.4163559377193451
BDA,pre_vv_std,0.6194334030151367
COH_DROP,s1__coh__date_first_drop_max,-0.3325024277261168
COH_DROP,s1__coh__date_first_drop_mean,-0.3535276158881696
COH_DROP,s1__coh__date_first_drop_std,-0.34493254183288363
COH_DROP,s1__coh__date_worst_drop_max,-0.25021637004333663
COH_DROP,s1__coh__date_worst_drop_mean,-0.2687650125830926
COH_DROP,s1__coh__date_worst_drop_std,-0.22420813511827847
COH_DROP,s1__coh__drop_count_max,-0.4382727638903991
COH_DROP,s1__coh__drop_count_mean,-0.47538430597217285
COH_DROP,s1__coh__drop_count_std,-0.44095297622647733
COH_DROP,s1__coh__lu_transition_mode,0.07551374622577679
COH_DROP,s1__coh__max_drop_max,0.164609548935526
COH_DROP,s1__coh__max_drop_mean,-0.17999080207169332
COH_DROP,s1__coh__max_drop_std,0.4854490009034698
COH_DROP,s1__coh__running_min_max,0.44856785862663673
COH_DROP,s1__coh__running_min_mean,0.26974286198287345
COH_DROP,s1__coh__running_min_std,0.4368296195417796
COH_DROP,s1__coh__scenes_observed_max,-0.3580275288458462
COH_DROP,s1__coh__scenes_observed_mean,-0.3580210661247025
COH_DROP,s1__coh__scenes_observed_std,0.025224428188127306
