label,auc,auc_std,f1,precision,recall,n,n_groups,n_features,dataset,feature_set,classifier,row
xBD__RGB__RF-200,0.6591889541265823,0.06869463398360558,0.4324914817801129,0.5232880161127895,0.36854470499578884,70931,19,16,xBD,RGB,RF-200,xBD__RGB
xBD__RGB__ExtraTrees,0.6687834585536423,0.06636936706452456,0.47721954576737785,0.4945556559364747,0.46105767099605477,70931,19,16,xBD,RGB,ExtraTrees,xBD__RGB
xBD__RGB__GBM,0.6528220969725271,0.0764597440630966,0.4015649014950398,0.543248147588084,0.31849816037944945,70931,19,16,xBD,RGB,GBM,xBD__RGB
xBD__RGB__AdaBoost,0.6434600530779407,0.06728530876766482,0.07734178243561622,0.462360369111219,0.04220045214770158,70931,19,16,xBD,RGB,AdaBoost,xBD__RGB
xBD__RGB__LogReg,0.6316143421001974,0.07570248026312529,0.4797965736770793,0.41270196053387825,0.572942063034709,70931,19,16,xBD,RGB,LogReg,xBD__RGB
xBD__RGB__LightGBM,0.6769932669219609,0.07396756442692326,0.5140165173897872,0.45677566068290665,0.5876590274391595,70931,19,16,xBD,RGB,LightGBM,xBD__RGB
xBD__RGB__XGBoost,0.6524126952169857,0.07418740541987787,0.4088476632179807,0.536671469740634,0.3302008067733499,70931,19,16,xBD,RGB,XGBoost,xBD__RGB
xBD__RGB__UISEM_voting,0.6601537285910077,0.07503774493557996,0.4161932208041718,0.5464110694724704,0.3360964581763376,70931,19,16,xBD,RGB,UISEM_voting,xBD__RGB
BRIGHT__all__RF-200,0.5367848602396054,0.057608765529813505,0.2187466676145452,0.21967587634754052,0.217825286705366,92423,14,3,BRIGHT,all,RF-200,BRIGHT__all
BRIGHT__all__ExtraTrees,0.5841807760559342,0.07811893440527404,0.29163468917881813,0.21125194574160552,0.4707631318136769,92423,14,3,BRIGHT,all,ExtraTrees,BRIGHT__all
BRIGHT__all__GBM,0.5265911059521847,0.07561719116311823,0.1122131931166348,0.35977011494252875,0.06647317004105904,92423,14,3,BRIGHT,all,GBM,BRIGHT__all
BRIGHT__all__AdaBoost,0.5258845517468617,0.08044292297682618,0.0,0.0,0.0,92423,14,3,BRIGHT,all,AdaBoost,BRIGHT__all
BRIGHT__all__LogReg,0.625128166589586,0.09487136573376373,0.33616199449874173,0.2320183115659082,0.6099391193543819,92423,14,3,BRIGHT,all,LogReg,BRIGHT__all
BRIGHT__all__LightGBM,0.5920483540175878,0.07264290010162451,0.2868372943327239,0.19335042145216147,0.5553589126433527,92423,14,3,BRIGHT,all,LightGBM,BRIGHT__all
BRIGHT__all__XGBoost,0.52549459571933,0.07136288999063592,0.12307692307692308,0.336283185840708,0.0753221010901883,92423,14,3,BRIGHT,all,XGBoost,BRIGHT__all
BRIGHT__all__UISEM_voting,0.5315966622450062,0.06824066090798546,0.14661119018942298,0.3234299516908213,0.09478974939827269,92423,14,3,BRIGHT,all,UISEM_voting,BRIGHT__all
BDA__RGB__RF-200,0.7375270228738773,0.04161354981057328,0.06063411247396436,0.03213462198891233,0.5360065466448445,598595,21,19,BDA,RGB,RF-200,BDA__RGB
BDA__RGB__ExtraTrees,0.7503258911816039,0.043202714590407434,0.06104718256454219,0.032487015721504774,0.5050463720676487,598595,21,19,BDA,RGB,ExtraTrees,BDA__RGB
BDA__RGB__GBM,0.6586281002167219,0.0410976833535717,0.0027063599458728013,0.1724137931034483,0.001363884342607747,598595,21,19,BDA,RGB,GBM,BDA__RGB
BDA__RGB__AdaBoost,0.7120745482232277,0.04238904518769037,0.0,0.0,0.0,598595,21,19,BDA,RGB,AdaBoost,BDA__RGB
BDA__RGB__LogReg,0.7307332909867456,0.04321970338729879,0.07448455888859393,0.04052915402763734,0.4592198581560284,598595,21,19,BDA,RGB,LogReg,BDA__RGB
BDA__RGB__LightGBM,0.7306397313853406,0.04239903075607205,0.05328360350021518,0.02781188788987858,0.6332515002727769,598595,21,19,BDA,RGB,LightGBM,BDA__RGB
BDA__RGB__XGBoost,0.6614973072304127,0.043045695405866724,0.0,0.0,0.0,598595,21,19,BDA,RGB,XGBoost,BDA__RGB
BDA__RGB__UISEM_voting,0.7194379004271197,0.04233115832870446,0.002170668837335504,0.20512820512820512,0.0010911074740861974,598595,21,19,BDA,RGB,UISEM_voting,BDA__RGB
BDA__CARD__RF-200,0.5473474124140238,0.037238701581139615,0.004952027236149799,0.5161290322580645,0.0024879489970455605,368288,21,12,BDA,CARD,RF-200,BDA__CARD
BDA__CARD__ExtraTrees,0.6440500268718948,0.08482532245225693,0.03265666372462489,0.3024523160762943,0.017260146167003578,368288,21,12,BDA,CARD,ExtraTrees,BDA__CARD
BDA__CARD__GBM,0.6001921624963049,0.08020491314046259,0.0066919473566807944,0.011834319526627219,0.004664904369460426,368288,21,12,BDA,CARD,GBM,BDA__CARD
BDA__CARD__AdaBoost,0.5959095328873428,0.11406133431386728,0.0,0.0,0.0,368288,21,12,BDA,CARD,AdaBoost,BDA__CARD
BDA__CARD__LogReg,0.6932105872848352,0.1087095785928346,0.056707755384574426,0.029621800532636133,0.6624164204633805,368288,21,12,BDA,CARD,LogReg,BDA__CARD
BDA__CARD__LightGBM,0.6749668580436796,0.1088134952334749,0.06250780047426883,0.03349420957009262,0.4672679210076193,368288,21,12,BDA,CARD,LightGBM,BDA__CARD
BDA__CARD__XGBoost,0.6115991486591961,0.07837036534858709,0.00186075360521011,0.3333333333333333,0.0009329808738920852,368288,21,12,BDA,CARD,XGBoost,BDA__CARD
BDA__CARD__UISEM_voting,0.5603568976989485,0.012449329175193832,0.0018630647414997672,0.6,0.0009329808738920852,368288,21,12,BDA,CARD,UISEM_voting,BDA__CARD
BDA__RGB+CARD__RF-200,0.5440535927511141,0.06103056541778303,0.034842406876790834,0.10911701363962671,0.020731042007637753,598595,21,31,BDA,RGB+CARD,RF-200,BDA__RGB+CARD
BDA__RGB+CARD__ExtraTrees,0.732911756113963,0.1262971542596885,0.09828021883663306,0.05991803523886446,0.2731860338243317,598595,21,31,BDA,RGB+CARD,ExtraTrees,BDA__RGB+CARD
BDA__RGB+CARD__GBM,0.6425051805635719,0.05729408857590061,0.0043736332396126214,0.0035371399696816574,0.0057283142389525366,598595,21,31,BDA,RGB+CARD,GBM,BDA__RGB+CARD
BDA__RGB+CARD__AdaBoost,0.7373420349746298,0.03156322580205826,0.0,0.0,0.0,598595,21,31,BDA,RGB+CARD,AdaBoost,BDA__RGB+CARD
BDA__RGB+CARD__LogReg,0.7506362133169763,0.1272543290729336,0.05331929467576025,0.027868294945122895,0.6147026732133115,598595,21,31,BDA,RGB+CARD,LogReg,BDA__RGB+CARD
BDA__RGB+CARD__LightGBM,0.7062172039046868,0.10224470882945874,0.05896617936183722,0.031235057177822625,0.5256410256410257,598595,21,31,BDA,RGB+CARD,LightGBM,BDA__RGB+CARD
