file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_NB08b_BDA_CARD_AdaBoost__20260424_062449_51866a.parquet,NB08b_BDA_CARD_AdaBoost,dataset=BDA;feature_set=CARD;classifier=AdaBoost,368288,0,6431,0,361857
oof_NB08b_BDA_CARD_ExtraTrees__20260424_062449_51866a.parquet,NB08b_BDA_CARD_ExtraTrees,dataset=BDA;feature_set=CARD;classifier=ExtraTrees,368288,111,6320,256,361601
oof_NB08b_BDA_CARD_GBM__20260424_062449_51866a.parquet,NB08b_BDA_CARD_GBM,dataset=BDA;feature_set=CARD;classifier=GBM,368288,30,6401,2505,359352
oof_NB08b_BDA_CARD_LightGBM__20260424_062449_51866a.parquet,NB08b_BDA_CARD_LightGBM,dataset=BDA;feature_set=CARD;classifier=LightGBM,368288,3005,3426,86712,275145
oof_NB08b_BDA_CARD_LogReg__20260424_062449_51866a.parquet,NB08b_BDA_CARD_LogReg,dataset=BDA;feature_set=CARD;classifier=LogReg,368288,4260,2171,139553,222304
oof_NB08b_BDA_CARD_RF-200__20260424_062449_51866a.parquet,NB08b_BDA_CARD_RF-200,dataset=BDA;feature_set=CARD;classifier=RF-200,368288,16,6415,15,361842
oof_NB08b_BDA_CARD_UISEM_voting__20260424_062449_51866a.parquet,NB08b_BDA_CARD_UISEM_voting,dataset=BDA;feature_set=CARD;classifier=UISEM_voting,368288,6,6425,4,361853
oof_NB08b_BDA_CARD_XGBoost__20260424_062449_51866a.parquet,NB08b_BDA_CARD_XGBoost,dataset=BDA;feature_set=CARD;classifier=XGBoost,368288,6,6425,12,361845
oof_NB08b_BDA_COH_DROP+CARD_AdaBoost__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+CARD_AdaBoost,dataset=BDA;feature_set=COH_DROP+CARD;classifier=AdaBoost,130789,0,5427,0,125362
oof_NB08b_BDA_COH_DROP+CARD_ExtraTrees__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+CARD_ExtraTrees,dataset=BDA;feature_set=COH_DROP+CARD;classifier=ExtraTrees,130789,852,4575,5214,120148
oof_NB08b_BDA_COH_DROP+CARD_GBM__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+CARD_GBM,dataset=BDA;feature_set=COH_DROP+CARD;classifier=GBM,130789,67,5360,1345,124017
oof_NB08b_BDA_COH_DROP+CARD_LightGBM__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+CARD_LightGBM,dataset=BDA;feature_set=COH_DROP+CARD;classifier=LightGBM,130789,2059,3368,20987,104375
oof_NB08b_BDA_COH_DROP+CARD_LogReg__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+CARD_LogReg,dataset=BDA;feature_set=COH_DROP+CARD;classifier=LogReg,130789,3101,2326,33701,91661
oof_NB08b_BDA_COH_DROP+CARD_RF-200__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+CARD_RF-200,dataset=BDA;feature_set=COH_DROP+CARD;classifier=RF-200,130789,101,5326,188,125174
oof_NB08b_BDA_COH_DROP+CARD_UISEM_voting__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+CARD_UISEM_voting,dataset=BDA;feature_set=COH_DROP+CARD;classifier=UISEM_voting,130789,17,5410,31,125331
