experiment,auc_groupkfold,f1_groupkfold,precision,recall,auc_mean,auc_std,n_features,n_buildings,n_cities
R5_RF-200_dietrich28,0.34321918428072395,0.000536480686695279,0.016129032258064516,0.00027277686852154935,0.45175808053516053,0.05208860994674169,96,598595,21
R5_ExtraTrees_dietrich28,0.4238479203818233,0.017301363422661024,0.02785346654556464,0.012547735951991271,0.5430250637125915,0.10918115045320499,96,598595,21
R5_GBM_dietrich28,0.6347370024781454,0.005594405594405594,0.019230769230769232,0.0032733224222585926,0.6481938305401919,0.13841179045605637,96,598595,21
R5_LightGBM_dietrich28,0.6150309543982935,0.0521051645112372,0.0277883794049761,0.417075831969449,0.6561985735518223,0.040078257029559194,96,598595,21
R5_XGBoost_dietrich28,0.6107420400507285,0.001084010840108401,0.08333333333333333,0.0005455537370430987,0.6353659950711451,0.13291377532677873,96,598595,21
R5_RF-200_all_multimodal,0.38988989416600006,0.0,0.0,0.0,0.47515829825645134,0.051292143593518066,306,598595,21
R5_ExtraTrees_all_multimodal,0.4453464192091908,0.0005448848930663398,0.2222222222222222,0.00027277686852154935,0.49851623782666,0.06481407292239105,306,598595,21
R5_GBM_all_multimodal,0.6316893864756741,0.018618748646893266,0.019770114942528734,0.017594108019639936,0.6477350121776017,0.1477868429621362,306,598595,21
R5_LightGBM_all_multimodal,0.5518665128715986,0.05597906474001593,0.030537004394349414,0.3355155482815057,0.6065660672752127,0.13789344982792548,306,598595,21
R5_XGBoost_all_multimodal,0.6305958263704792,0.0037889039242219214,0.2413793103448276,0.0019094380796508457,0.6512856220123625,0.1417998371580758,306,598595,21
