experiment,auc,f1,precision,recall,n_features,n_buildings,n_cities
R5_GBM_dietrich28,0.6347370024781454,0.005594405594405594,0.019230769230769232,0.0032733224222585926,96,598595,21
R5_GBM_all_multimodal,0.6316893864756741,0.018618748646893266,0.019770114942528734,0.017594108019639936,306,598595,21
R5_XGBoost_all_multimodal,0.6305958263704792,0.0037889039242219214,0.2413793103448276,0.0019094380796508457,306,598595,21
R5_LightGBM_dietrich28,0.6150309543982935,0.0521051645112372,0.0277883794049761,0.417075831969449,96,598595,21
R5_XGBoost_dietrich28,0.6107420400507285,0.001084010840108401,0.08333333333333333,0.0005455537370430987,96,598595,21
R5_LightGBM_all_multimodal,0.5518665128715986,0.05597906474001593,0.030537004394349414,0.3355155482815057,306,598595,21
R4_tier0_card,0.464491951817455,0.016562384983437616,0.13119533527696792,0.00883912787271656,54,93247,4
R4_tier0_all,0.462935476590226,0.0015698587127158557,0.8,0.000785700255352583,264,93247,4
R1_random_cv,0.4504348836860117,0.0,0.0,0.0,0,0,0
R5_ExtraTrees_all_multimodal,0.4453464192091908,0.0005448848930663398,0.2222222222222222,0.00027277686852154935,306,598595,21
R0a_eq3_t0.5,0.434172918014495,0.021505376344086023,0.14834205933682373,0.01159301691216585,0,0,0
R0a_eq3_t0.655,0.434172918014495,0.006183626831563382,0.21495327102803738,0.003136933987997818,0,0,0
R4_tier1_card,0.4272785936471256,0.001110494169905608,0.5,0.0005558643690939411,54,179447,11
R4_tier1_all,0.4261069019099897,0.0,0.0,0.0,264,179447,11
R5_ExtraTrees_dietrich28,0.4238479203818233,0.017301363422661024,0.02785346654556464,0.012547735951991271,96,598595,21
R1_geographic,0.41643742969302333,0.0,0.0,0.0,0,0,0
R4_tier2_card,0.4104464632261302,0.0,0.0,0.0,96,325901,6
R2_roll13,0.395580015292866,0.013675213675213675,0.19047619047619047,0.0070921985815602835,66,598595,21
R0b_roll13_baseline+assessment,0.3955800131014721,0.013675213675213675,0.19047619047619047,0.0070921985815602835,66,598595,21
R0b_roll7_baseline+assessment,0.3951096630432573,0.012932172077065188,0.1991869918699187,0.00668303327877796,72,598595,21
R2_roll7,0.39510966177455564,0.012932172077065188,0.1991869918699187,0.00668303327877796,72,598595,21
R3_coh+ms,0.3927444690120152,0.0,0.0,0.0,210,598595,21
R0b_roll3_baseline+assessment,0.3921045130249482,0.013144058885383806,0.18115942028985507,0.006819421713038734,102,598595,21
R2_roll3,0.39210451244826555,0.013144058885383806,0.18115942028985507,0.006819421713038734,102,598595,21
R3_card+coh,0.39096720093338727,0.0144489688690398,0.19572953736654805,0.007501363884342607,114,598595,21
R3_all_multimodal,0.38988990454628686,0.0,0.0,0.0,306,598595,21
R5_RF-200_all_multimodal,0.38988989416600006,0.0,0.0,0.0,306,598595,21
R3_ms_only,0.3863702838678774,0.0016304347826086956,0.21428571428571427,0.0008183306055646482,192,598595,21
R3_card+ms,0.38102307124953505,0.0,0.0,0.0,288,598595,21
R1_groupkfold,0.3432191856647622,0.000536480686695279,0.016129032258064516,0.00027277686852154935,96,598595,21
R5_RF-200_dietrich28,0.34321918428072395,0.000536480686695279,0.016129032258064516,0.00027277686852154935,96,598595,21
R0_dietrich28_groupkfold,0.34321917943659014,0.000536480686695279,0.016129032258064516,0.00027277686852154935,96,598595,21
R3_card_only,0.343219178744571,0.000536480686695279,0.016129032258064516,0.00027277686852154935,96,598595,21
R0b_roll7_assessment_only,0.32953406380583694,0.0,0.0,0.0,6,598595,21
R0b_roll3_assessment_only,0.2940463430434439,0.02286818519862326,0.011604652440252518,0.7779596290234588,36,598595,21
R4_tier2_all,0.25889674935804896,0.0,0.0,0.0,306,325901,6
R3_coh_only,0.2485933226941944,0.01567807682257643,0.18633540372670807,0.008183306055646482,18,598595,21
