method,auc,f1,type,n_features
Dietrich 2025 (paper),0.813,0.749,paper,28
Ballinger 2024 PWTT (paper),0.87,,paper,1
B0_single_s1_vh_max,0.6386515402482936,,unsupervised,1
B0_single_s1_vh_mean,0.6443217759831361,,unsupervised,1
B0_single_s1_vh_std,0.5540985559059423,,unsupervised,1
B0_single_s1_vv_max,0.6427048589306857,,unsupervised,1
B0_single_s1_vv_mean,0.6443941238963125,,unsupervised,1
B0_single_s1_vv_std,0.575453527094453,,unsupervised,1
B1_PWTT_VH,0.6245768250726893,,unsupervised,1
B1_PWTT_VV,0.6177327750532944,,unsupervised,1
B1_PWTT_VV+VH,0.5016537920955155,,unsupervised,2
B2_CCD_approx_coh0,0.7136218022551573,,unsupervised,1
B2_CCD_approx_coh1,0.5945288676465966,,unsupervised,1
B2_CCD_approx_coh2,0.516517612087331,,unsupervised,1
B2_CCD_approx_coh3,0.4736588059798776,,unsupervised,1
B2_CCD_approx_coh4,0.5083708097255064,,unsupervised,1
B2_CCD_approx_coh5,0.5316174411124064,,unsupervised,1
B2_CCD_approx_coh6,0.42746425061848226,,unsupervised,1
B2_CCD_approx_coh7,0.57917497118234,,unsupervised,1
B2_CCD_exact_vh,0.4861976655263809,,unsupervised,1
B2_CCD_exact_vv,0.47994367076825006,,unsupervised,1
B3_logratio_VH,0.6443217759831361,,unsupervised,1
B3_logratio_VV,0.6443941238963125,,unsupervised,1
B4_step1_card,0.6417375604860962,,unsupervised_combined,6
B4_step4_all+methods,0.6041148095219714,,unsupervised_combined,10
B5_UISEM_all_features,0.5646797683722309,0.004314412835378185,supervised,311
B5_sub_GBM,0.6716929711024375,0.015111777194954415,supervised,311
B5_sub_RF,0.4433172858112397,0.0013500742540839747,supervised,311
B5_sub_XGB,0.5842378830627912,0.046148983247286904,supervised,311
B6_AdaBoost_alone,0.6106899822201741,0.0024426652191613515,supervised,311
B6_UISEM_no_AdaBoost,0.5304659987619188,0.004799360085321957,supervised,311
B7_UISEM_all_multimodal,0.5304659987619187,0.004799360085321957,supervised,311
B7_UISEM_card+coh,0.5427878948996832,0.016314199395770394,supervised,114
B7_UISEM_card+coh+delta,0.4972562580011333,0.01668187149745862,supervised,136
B7_UISEM_card+ms,0.5379801841781204,0.008424853317285994,supervised,288
B7_UISEM_card_only,0.5016419262659794,0.0040644505733778485,supervised,96
B7_UISEM_coh+ms,0.6172101761614107,0.0037284449277613795,supervised,210
B7_UISEM_coh_only,0.5320568946673511,0.020942408376963352,supervised,18
B7_UISEM_delta_only,0.4120715904458534,0.002710435175425388,supervised,22
B7_UISEM_ms_only,0.6005674507727474,0.004688965301656768,supervised,192
