method,auc,f1,type,n_features
Dietrich 2025 (paper),0.813,0.749,paper,28
Ballinger 2024 PWTT (paper),0.87,,paper,1
B0_single_s1_coh_drop_count,0.5037192503570151,,unsupervised,1
B0_single_s1_coh_max_drop,0.5148740847231272,,unsupervised,1
B0_single_s1_coh_running_min,0.5244524569462614,,unsupervised,1
B0_single_s1_vh_mean,0.5229742735657845,,unsupervised,1
B0_single_s1_vv_mean,0.5184193351125514,,unsupervised,1
B1_PWTT_VH_exact,0.5311892540593681,,unsupervised,1
B1_PWTT_VV+VH,0.5385061396568638,,unsupervised,2
B1_PWTT_VV_exact,0.525974041167181,,unsupervised,1
B3_logratio_BAEI,0.4387022688366258,,unsupervised,1
B3_logratio_BSI,0.5887256127179351,,unsupervised,1
B3_logratio_IBI,0.5216390705834084,,unsupervised,1
B3_logratio_MNDWI,0.5176155915119447,,unsupervised,1
B3_logratio_NDBI,0.6218959318767381,,unsupervised,1
B3_logratio_NDSI,0.5176155915119447,,unsupervised,1
B3_logratio_NDVI,0.7368448975934581,,unsupervised,1
B3_logratio_SAVI,0.7406502646425871,,unsupervised,1
B3_logratio_UI,0.5441733829449761,,unsupervised,1
B3_logratio_VH,0.5154963803798538,,unsupervised,1
B3_logratio_VV,0.5205224731755793,,unsupervised,1
B4_step1_card,0.5259161180834978,,unsupervised_combined,2
B4_step2_card+coh,0.5368024991420628,,unsupervised_combined,5
B4_step3_card+coh+optical,0.5876693327037158,,unsupervised_combined,8
B4_step4_all+methods,0.5737783942783501,,unsupervised_combined,18
B5_UISEM_all_features,0.6546288614879685,0.03416990691646047,supervised,179
B5_sub_GBM,0.6394475046433539,0.03629935179728933,supervised,179
B5_sub_RF,0.6591263692229165,0.021110711287033707,supervised,179
B5_sub_XGB,0.602301184823558,0.14886950630874757,supervised,179
B6_AdaBoost_alone,0.6574508388402541,0.0014761963341124369,supervised,179
B6_UISEM_no_AdaBoost,0.6458528331568587,0.04535462223764897,supervised,179
B7_UISEM_all_multimodal,0.6458528331568587,0.04535462223764897,supervised,179
B7_UISEM_card+coh,0.5140889003888436,0.009179852639207634,supervised,96
B7_UISEM_card+coh+delta,0.5140889003888436,0.009179852639207634,supervised,96
B7_UISEM_card+ms,0.6540957106106623,0.041652123327516,supervised,163
B7_UISEM_card_only,0.5064697130211882,0.009195402298850575,supervised,84
B7_UISEM_coh+ms,0.6361960789782071,0.05166135639508421,supervised,91
B7_UISEM_coh_only,0.4806697069022174,0.008461259518916959,supervised,12
B7_UISEM_ms_only,0.6465070515863178,0.07566484922666074,supervised,79
