file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_B0_single_s1_vh_mean__20260429_082725_6835ef.parquet,B0_single_s1_vh_mean,unsupervised_change;source=bda_block_stats_v3;direction=|change|,63243,4310,3937,27312,27684
oof_B0_single_s1_vh_mean__20260429_084422_6835ef.parquet,B0_single_s1_vh_mean,unsupervised_change;source=bda_block_stats_v3;direction=|change|,63243,4310,3937,27312,27684
oof_B0_single_s1_vv_mean__20260429_082725_6835ef.parquet,B0_single_s1_vv_mean,unsupervised_change;source=bda_block_stats_v3;direction=|change|,63243,4309,3938,27313,27683
oof_B0_single_s1_vv_mean__20260429_084422_6835ef.parquet,B0_single_s1_vv_mean,unsupervised_change;source=bda_block_stats_v3;direction=|change|,63243,4309,3938,27313,27683
oof_B4_step1_card__20260429_082725_6835ef.parquet,B4_step1_card,unsupervised_combined;step=step1_card;n_scores=2,63243,4398,3849,27224,27772
oof_B4_step1_card__20260429_084422_6835ef.parquet,B4_step1_card,unsupervised_combined;step=step1_card;n_scores=2,63243,4398,3849,27224,27772
oof_B5_UISEM_all_features__20260429_082725_6835ef.parquet,B5_UISEM_all_features,uisem_ensemble;sub=RF+GB+XGB+AB;features=all_multimodal,62043,145,7935,262,53701
oof_B5_UISEM_all_features__20260429_084422_6835ef.parquet,B5_UISEM_all_features,uisem_ensemble;sub=RF+GB+XGB+AB;features=all_multimodal,62043,145,7935,262,53701
oof_B5_sub_GBM__20260429_084422_6835ef.parquet,B5_sub_GBM,uisem_sub_classifier;classifier=GBM;features=all_multimodal,62043,154,7926,251,53712
oof_B5_sub_RF__20260429_082725_6835ef.parquet,B5_sub_RF,uisem_sub_classifier;classifier=RF;features=all_multimodal,62043,88,7992,169,53794
oof_B5_sub_RF__20260429_084422_6835ef.parquet,B5_sub_RF,uisem_sub_classifier;classifier=RF;features=all_multimodal,62043,88,7992,169,53794
oof_B5_sub_XGB__20260429_084422_6835ef.parquet,B5_sub_XGB,uisem_sub_classifier;classifier=XGBoost;features=all_multimodal,62043,879,7201,2850,51113
oof_B6_AdaBoost_alone__20260429_084422_6835ef.parquet,B6_AdaBoost_alone,uisem_sub_classifier;classifier=AdaBoost;features=all_multimodal,62043,6,8074,43,53920
oof_B6_UISEM_no_AdaBoost__20260429_084422_6835ef.parquet,B6_UISEM_no_AdaBoost,uisem_ensemble;sub=RF+GB+XGB;features=all_multimodal;ablation=no_adaboost,62043,196,7884,367,53596
oof_B7_UISEM_all_multimodal__20260429_084422_6835ef.parquet,B7_UISEM_all_multimodal,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=all_multimodal,62043,196,7884,367,53596
oof_B7_UISEM_card+coh+delta__20260429_084422_6835ef.parquet,B7_UISEM_card+coh+delta,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+coh+delta,62043,38,8042,161,53802
oof_B7_UISEM_card+coh__20260429_084422_6835ef.parquet,B7_UISEM_card+coh,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+coh,62043,38,8042,161,53802
oof_B7_UISEM_card+ms__20260429_084422_6835ef.parquet,B7_UISEM_card+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+ms,62043,179,7901,336,53627
oof_B7_UISEM_card_only__20260429_084422_6835ef.parquet,B7_UISEM_card_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card_only,62043,38,8042,147,53816
oof_B7_UISEM_coh+ms__20260429_084422_6835ef.parquet,B7_UISEM_coh+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=coh+ms,62043,227,7853,481,53482
oof_B7_UISEM_coh_only__20260429_084422_6835ef.parquet,B7_UISEM_coh_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=coh_only,62043,35,8045,158,53805
oof_B7_UISEM_ms_only__20260429_084422_6835ef.parquet,B7_UISEM_ms_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=ms_only,62043,340,7740,567,53396
