experiment,auc,f1,n_features
E5_HistGBM_native_NaN,0.7837103497595185,0.27240610902766454,269
E7c_HistGBM_imputed,0.7792634664381188,0.28090285984400853,269
E7b_RidgeClassifier,0.7375975127804411,0.2412439459597247,269
E7_LogReg,0.736084177939272,0.26482440990213013,269
E1_base_GBM,0.734711583273982,0.04046858359957402,269
E7b_QDA,0.7147182196497095,0.23661071143085532,269
E7b_NearestCentroid,0.708973641029154,0.25782707335518024,269
E7b_GaussianNB,0.7059137941472997,0.23999156073632574,269
E2_LightGBM_ms,0.6984599508396232,0.24856321839080459,192
E8_IsolationForest_c=0.055,0.6927357659364037,0.17619328226281675,269
E8_IsolationForest_c=0.050,0.6927357659364037,0.1691613696944843,269
E8_IsolationForest_c=0.100,0.6927357659364037,0.19325749167591566,269
E7b_LDA,0.6836627432634041,0.18346714243235207,269
E5_LightGBM_native_NaN,0.6813999847273474,0.21875,269
E6_B_nativeNaN_all_multimodal,0.6813999847273474,0.21875,269
E1_base_LGBM,0.6808943154101679,0.2334112569681712,269
E2_LightGBM_all,0.6808943154101679,0.2334112569681712,269
E1_soft_voting,0.664532567260433,0.03445664521014767,4
E7_KNN_15,0.6515377311121713,0.009620935154897056,269
E6_B_nativeNaN_card+coh,0.6353775658378014,0.214667041303737,72
E2_LightGBM_card,0.6341420607227815,0.22094778146694838,54
E6_B_nativeNaN_card_only,0.6341420607227815,0.22094778146694838,54
E2_LightGBM_card+coh,0.6308522089789043,0.2181753258346724,72
E7_KNN_5,0.6146106769495397,0.04582305252026789,269
E6_A_impute+obs_card+coh,0.6119585883071048,0.0389043271139341,90
E6_A_impute+obs_all_multimodal,0.6112244435185429,0.002616333395626986,536
E6_C_SAR_only_no_NaN,0.6110931725283636,0.0389043271139341,72
E1_stacking_LogReg,0.5858274376625376,0.022839741149600305,4
E6_A_impute+obs_card_only,0.5794178445114195,0.018777383684539954,54
E2_LightGBM_coh,0.5749486389098446,0.20510462175212693,18
E1_base_XGB,0.5749035717730757,0.061228101221022825,269
E7c_ExtraTrees,0.5694600857077803,0.007429130009775171,269
E6_B_nativeNaN_coh_only,0.5646927756562814,0.194769442532691,18
E6_A_impute+obs_coh_only,0.5600380338199381,0.059096459096459095,18
E1_base_RF,0.5440318077231512,0.0011551790527531767,269
E7d_MLP_128_64,0.5432241345360975,0.03209969788519638,269
E7d_MLP_256_128_64,0.4828834861583431,0.0058184639255236615,269
E7_SVM_linear,0.3193658392883621,0.0,269
E7_SVM_rbf,0.26809696247564707,0.0,269
