experiment,auc,f1,n_features
E7c_HistGBM_imputed,0.7826012775509006,0.03487518883533559,915
E7d_MLP_256_128_64,0.7724281894115831,0.0018231540565177757,915
E5_HistGBM_native_NaN,0.7595608215202697,0.03286432305543154,915
E1_base_GBM,0.7535045534130647,0.015096530701117723,915
E7b_RidgeClassifier,0.740155972074616,0.025286947588850035,915
E2_LightGBM_card,0.7207604318259747,0.05154095395976189,750
E2_LightGBM_card+coh,0.7196988932290961,0.04795050270688322,780
E1_base_LGBM,0.719329422383606,0.06549039958484691,915
E2_LightGBM_all,0.719329422383606,0.06549039958484691,915
E5_LightGBM_native_NaN,0.715776332010106,0.06878277670438863,915
E6_B_nativeNaN_all_multimodal,0.715776332010106,0.06878277670438863,915
E7d_MLP_128_64,0.7153629115379109,0.0,915
E6_B_nativeNaN_card+coh,0.7133251483983398,0.048092755214050494,780
E6_B_nativeNaN_card_only,0.7107733515605791,0.05287181437809053,750
E7b_LDA,0.6858962212130549,0.07084407577625827,915
E1_soft_voting,0.6852765260209384,0.02642369020501139,4
E7b_NearestCentroid,0.6782506463974484,0.025292116550806095,915
E1_base_XGB,0.6572826497317478,0.03585835948005379,915
E7_LogReg,0.6551310950496604,0.017758904890143062,915
E1_stacking_LogReg,0.6361581549002894,0.0,4
E8_IsolationForest_c=0.005,0.6285220814667695,0.007159904534606206,915
E8_IsolationForest_c=0.050,0.6285220814667695,0.014639377127138795,915
E8_IsolationForest_c=0.100,0.6285220814667695,0.01671486691828832,915
E2_LightGBM_ms,0.6199677068320102,0.03187866647589069,135
E2_LightGBM_coh,0.6153545235893508,0.01885124697446573,30
E6_B_nativeNaN_coh_only,0.6153545235893508,0.01885124697446573,30
E7c_ExtraTrees,0.594492860445385,0.005711565920990005,915
E7b_QDA,0.5924004380108624,0.014510565753478968,915
E7_KNN_5,0.5895365735294607,0.015070921985815602,915
E6_A_impute+obs_card+coh,0.575851167390106,0.004755111745126011,1404
E6_C_SAR_only_no_NaN,0.5736984341795477,0.007600950118764846,780
E6_A_impute+obs_card_only,0.5715948817494227,0.008518693800283956,1374
E7b_GaussianNB,0.5637564969481723,0.021592651682956675,915
E6_A_impute+obs_all_multimodal,0.5506665595224546,0.0019065776930409914,1539
E1_base_RF,0.5451230151551756,0.0019056693663649356,915
E6_A_impute+obs_coh_only,0.543675869605998,0.0164979696771063,30
E7_KNN_15,0.5223960290992753,0.0009528346831824678,915
E7_SVM_rbf,0.3251192506835388,0.0,915
E7_SVM_linear,0.3236666229001324,0.0,915
