file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_E1_base_GBM__20260425_003102_dac44a.parquet,E1_base_GBM,stacking_base;classifier=GBM;features=all_multimodal,480313,138,7048,4645,468482
oof_E1_base_GBM__20260614_180054_dac44a.parquet,E1_base_GBM,stacking_base;classifier=GBM;features=all_multimodal,387066,52,2043,4742,380229
oof_E1_base_LGBM__20260425_003102_dac44a.parquet,E1_base_LGBM,stacking_base;classifier=LGBM;features=all_multimodal,480313,3512,3674,57377,415750
oof_E1_base_LGBM__20260614_180054_dac44a.parquet,E1_base_LGBM,stacking_base;classifier=LGBM;features=all_multimodal,387066,631,1464,16544,368427
oof_E1_base_RF__20260425_003102_dac44a.parquet,E1_base_RF,stacking_base;classifier=RF;features=all_multimodal,480313,188,6998,18880,454247
oof_E1_base_RF__20260614_180054_dac44a.parquet,E1_base_RF,stacking_base;classifier=RF;features=all_multimodal,387066,2,2093,2,384969
oof_E1_base_XGB__20260425_003102_dac44a.parquet,E1_base_XGB,stacking_base;classifier=XGB;features=all_multimodal,480313,233,6953,1041,472086
oof_E1_base_XGB__20260614_180054_dac44a.parquet,E1_base_XGB,stacking_base;classifier=XGB;features=all_multimodal,387066,40,2055,96,384875
oof_E1_soft_voting__20260425_003102_dac44a.parquet,E1_soft_voting,stacking_soft_voting;base=RF+GBM+XGB+LGBM,480313,188,6998,710,472417
oof_E1_soft_voting__20260614_180054_dac44a.parquet,E1_soft_voting,stacking_soft_voting;base=RF+GBM+XGB+LGBM,387066,29,2066,71,384900
oof_E1_stacking_LogReg__20260425_003102_dac44a.parquet,E1_stacking_LogReg,stacking_meta;meta=LogReg;base=RF+GBM+XGB+LGBM,480313,0,7186,0,473127
oof_E1_stacking_LogReg__20260614_180054_dac44a.parquet,E1_stacking_LogReg,stacking_meta;meta=LogReg;base=RF+GBM+XGB+LGBM,387066,0,2095,70,384901
oof_E2_LightGBM_all__20260425_003102_dac44a.parquet,E2_LightGBM_all,lightgbm;features=all_multimodal,480313,3512,3674,57377,415750
oof_E2_LightGBM_all__20260614_180054_dac44a.parquet,E2_LightGBM_all,lightgbm;features=all_multimodal,387066,631,1464,16544,368427
oof_E2_LightGBM_card+coh__20260425_003102_dac44a.parquet,E2_LightGBM_card+coh,lightgbm_sensor_ablation;sensor=card+coh,480313,3445,3741,66305,406822
oof_E2_LightGBM_card+coh__20260614_180054_dac44a.parquet,E2_LightGBM_card+coh,lightgbm_sensor_ablation;sensor=card+coh,387066,713,1382,26931,358040
