method,auc,f1,n_features,auc_std
E7c_ExtraTrees,0.661729654146965,0.042367894551018005,179,0.022887459518833687
E1_base_RF,0.6591263692229163,0.021110711287033707,179,
E6_A_impute+obs_all_multimodal,0.6557673088436283,0.02857823291259824,219,0.0297659935951278
E5_HistGBM_native_NaN,0.6545634540938667,0.2914016900426866,179,0.03332165296254188
E7c_HistGBM_imputed,0.6520193417730484,0.28897924245666595,179,0.03364871968955201
E1_stacking_LogReg,0.6487429895584855,0.03317256793318433,4,0.022442620876498086
E1_soft_voting,0.6479789507405422,0.08395381461098522,4,
E2_LightGBM_ms,0.6455003994761354,0.2787565722719306,79,0.040007718336680854
E2_LightGBM_all,0.6397770070912174,0.26428650381341884,179,0.024081640993988546
E1_base_LGBM,0.6397770070912174,0.26428650381341884,179,
E7b_RidgeClassifier,0.6339788545525233,0.28066186686876343,179,0.047727055358083574
E1_base_GBM,0.6321186060195628,0.05060159676149781,179,
E7d_MLP_256_128_64,0.6316471803745984,0.029955534753100865,179,0.045172518148342146
E7b_LDA,0.6305296884297142,0.06077231483435324,179,0.04528799373149895
E6_B_nativeNaN_all_multimodal,0.6299615908443317,0.24385514684915882,179,0.03271137265445908
E5_LightGBM_native_NaN,0.6299615908443317,0.24385514684915882,179,0.03271137265445908
E7_LogReg,0.627063072460907,0.27796245290784183,179,0.0493679131171295
E7b_NearestCentroid,0.6063622422899592,0.25821506201253036,179,0.0484177942245499
E1_base_XGB,0.602301184823558,0.14886950630874757,179,
E7d_MLP_128_64,0.6018208582319788,0.052052950415077404,179,0.037623330512378414
E7_KNN_15,0.5800644872550187,0.028958210712183637,179,0.0300594994658305
E7b_QDA,0.5764989414272301,0.21314627175889841,179,0.03006766315086774
E7_KNN_5,0.5644825178619821,0.08282727725236436,179,0.021839315366965664
E6_A_impute+obs_card+coh,0.5448797126854246,0.005870123517182341,132,0.03769839233702946
E6_C_SAR_only_no_NaN,0.5413691825513742,0.005384897809325664,96,0.03631699211284515
E6_A_impute+obs_card_only,0.5360741330280759,0.03754664179104478,120,0.044856872826112136
E8_IsolationForest_c=0.100,0.520073056566261,0.13314665733286665,179,
E8_IsolationForest_c=0.130,0.520073056566261,0.15148514851485148,179,
E8_IsolationForest_c=0.050,0.520073056566261,0.0824465706876509,179,
E7_SVM_rbf,0.514140471294688,0.0,179,0.01954352505912137
E2_LightGBM_card+coh,0.5068523172643229,0.14093189097721642,96,0.03079578469857025
E6_B_nativeNaN_card+coh,0.5011482611022624,0.14283217801596085,96,0.036053703986708235
E6_B_nativeNaN_card_only,0.5004967053883455,0.1386822212963514,84,0.034111627754704756
E7b_GaussianNB,0.4982916214318466,0.19145143236184237,179,0.03970878513704153
E2_LightGBM_card,0.49403447365750974,0.13571934798015592,84,0.032541778568723055
E6_A_impute+obs_coh_only,0.48521864334803655,0.035328961286228054,12,0.030899022147725483
E2_LightGBM_coh,0.48381799534261005,0.13637332196888985,12,0.02989716924573195
E6_B_nativeNaN_coh_only,0.48381799534261005,0.13637332196888985,12,0.02989716924573195
E7_SVM_linear,0.47927447491983416,0.0,179,0.024335080179124956
