city,auc,n,damage_rate
Avdiivka,0.7145,12523,0.0071
Borodyanka,0.6287,5240,0.0118
Bucha,0.6316,17215,0.0092
Chernihiv,0.6018,51375,0.0065
Chornobaivka,0.5803,9909,0.0006
Dmytrivka,0.6565,13649,0.0106
Hostomel,0.6005,19145,0.0267
Irpin,0.6484,17365,0.0143
Kharkiv,0.6679,170104,0.0014
Kherson,0.4467,9909,0.0006
Kramatorsk,0.5765,10414,0.0018
Lysychansk,0.5706,41600,0.0257
Makariv,0.6452,5554,0.0095
Mariupol,0.5948,28973,0.1054
Moschun,0.5686,1248,0.0585
Mykolaiv,0.6569,113042,0.0007
Okhtyrka,0.5515,26456,0.0013
Rubizhne,0.6174,13609,0.0317
Sievierodonetsk,0.5714,9065,0.0589
Trostianets,0.592,8737,0.0021
Volnovakha,0.503,13463,0.0121
