notebook,experiment_name,auc,f1,classifier_name,feature_set_name,cv_method
NB08b,BDA__RGB+CARD__LogReg,0.7689532422582992,0.1245176152954468,LogReg,RGB+CARD,GroupKFold
NB08b,BDA__COH_DROP+RGB+CARD__LogReg,0.7652416843135247,0.1571520920175653,LogReg,COH_DROP+RGB+CARD,GroupKFold
NB08b,BDA__COH_DROP+RGB__LogReg,0.764149535797182,0.1885442998951846,LogReg,COH_DROP+RGB,GroupKFold
NB08b,BDA__RGB+CARD__ExtraTrees,0.7590036125356092,0.1776273372018053,ExtraTrees,RGB+CARD,GroupKFold
NB08b,BDA__RGB__LightGBM,0.7581806994138375,0.1086342545894694,LightGBM,RGB,GroupKFold
NB08b,BDA__RGB__RF-200,0.757819319992192,0.1530640668523676,RF-200,RGB,GroupKFold
NB08b,BDA__RGB__ExtraTrees,0.7559014508633544,0.1347164537527311,ExtraTrees,RGB,GroupKFold
NB08b,BDA__RGB__LogReg,0.7550620125845864,0.1530455791478883,LogReg,RGB,GroupKFold
NB08b,BDA__RGB__UISEM_voting,0.7442243069246283,0.0104682416183335,UISEM_voting,RGB,GroupKFold
NB08b,BDA__RGB+CARD__AdaBoost,0.7370764513913687,0.0,AdaBoost,RGB+CARD,GroupKFold
NB08b,BDA__COH_DROP+RGB+CARD__AdaBoost,0.7311202888503935,0.0,AdaBoost,COH_DROP+RGB+CARD,GroupKFold
NB08b,BDA__COH_DROP+RGB__AdaBoost,0.7226322163964178,0.0,AdaBoost,COH_DROP+RGB,GroupKFold
NB08b,BDA__COH_DROP+CARD__LogReg,0.7204337688010107,0.1713631560408594,LogReg,COH_DROP+CARD,GroupKFold
NB08b,BDA__COH_DROP__LogReg,0.7194650069852832,0.2212789517394112,LogReg,COH_DROP,GroupKFold
NB08b,BDA__RGB__AdaBoost,0.7178300088158196,0.0,AdaBoost,RGB,GroupKFold
NB08b,BDA__RGB+CARD__LightGBM,0.6953532963789528,0.1209654302585564,LightGBM,RGB+CARD,GroupKFold
NB08b,BDA__CARD__LogReg,0.6910342096098975,0.1218226745693006,LogReg,CARD,GroupKFold
NB08b,BDA__CARD__AdaBoost,0.6804755137599561,0.0,AdaBoost,CARD,GroupKFold
NB08b,BDA__RGB+CARD__XGBoost,0.6770994421853098,0.0051828390440541,XGBoost,RGB+CARD,GroupKFold
NB08b,xBD__RGB__LightGBM,0.6769932669219609,0.5140165173897872,LightGBM,RGB,GroupKFold
NB08b,BDA__CARD__LightGBM,0.6736628944242198,0.1372844136297466,LightGBM,CARD,GroupKFold
NB08b,xBD__RGB__ExtraTrees,0.6687834585536423,0.4772195457673778,ExtraTrees,RGB,GroupKFold
NB08b,BDA__RGB__XGBoost,0.6664670923427128,0.0023111367904087,XGBoost,RGB,GroupKFold
NB08b,BDA__RGB+CARD__GBM,0.6653500959675667,0.0104206379463718,GBM,RGB+CARD,GroupKFold
NB08b,BDA__COH_DROP__AdaBoost,0.6635754779416843,0.0,AdaBoost,COH_DROP,GroupKFold
NB08b,BDA__RGB__GBM,0.6635279522397189,0.0040160642570281,GBM,RGB,GroupKFold
NB08b,xBD__RGB__UISEM_voting,0.6601537285910077,0.4161932208041718,UISEM_voting,RGB,GroupKFold
NB08b,xBD__RGB__RF-200,0.6591889541265823,0.4324914817801129,RF-200,RGB,GroupKFold
NB08b,xBD__RGB__GBM,0.6528220969725271,0.4015649014950398,GBM,RGB,GroupKFold
NB08b,xBD__RGB__XGBoost,0.6524126952169857,0.4088476632179807,XGBoost,RGB,GroupKFold
