city,n_damaged,n_undamaged,dmg_consistent,und_consistent,consistency_pct
Avdiivka,89,12434,53,8919,71.6
Borodyanka,62,5178,0,5178,98.8
Bucha,158,17057,0,17041,99.0
Chernihiv,333,51042,30,46335,90.2
Chornobaivka,6,9903,0,8233,83.1
Dmytrivka,144,13505,0,13505,98.9
Hostomel,511,18634,38,17626,92.3
Irpin,249,17116,0,17116,98.6
Kharkiv,238,169866,4,166619,98.0
Kherson,6,9903,0,6871,69.3
Kramatorsk,19,10395,0,10390,99.8
Lysychansk,1071,40529,63,38798,93.4
Makariv,53,5501,0,5501,99.0
Mariupol,3055,25918,660,21961,78.1
Moschun,73,1175,1,1161,93.1
Mykolaiv,84,112958,0,112958,99.9
Okhtyrka,35,26421,0,26195,99.0
Rubizhne,431,13178,10,12903,94.9
Sievierodonetsk,534,8531,94,6787,75.9
Trostianets,18,8719,0,8719,99.8
Volnovakha,163,13300,19,11646,86.6
