city,auc,n,damage_rate
Avdiivka,0.5014,1186,0.0784
Borodyanka,0.5524,507,0.1341
Bucha,0.4956,1662,0.1167
Chernihiv,0.4994,2810,0.1274
Chornobaivka,0.5,142,0.0915
Dmytrivka,0.4984,3136,0.1151
Hostomel,0.4951,4497,0.1374
Irpin,0.4989,2749,0.112
Kharkiv,0.4997,1883,0.1397
Kherson,0.5,142,0.0915
Kramatorsk,0.5,180,0.1389
Lysychansk,0.498,7962,0.1403
Makariv,0.5,448,0.1362
Mariupol,0.5048,22615,0.1464
Moschun,0.5487,962,0.0884
Mykolaiv,0.5,693,0.1429
Okhtyrka,0.4495,258,0.1473
Rubizhne,0.4994,5002,0.0926
Sievierodonetsk,0.5078,4418,0.1286
Trostianets,0.5,143,0.1189
Volnovakha,0.5218,1848,0.0942
