notebook,experiment_name,auc,f1,classifier_name,feature_set_name,cv_method
NB09d,xbd_on_xbd,0.9643322752531084,,U-Net,patches_64x64,GroupKFold
NB08c_v2,C_F3_fusion_card_cohdrop,0.8578148880844668,0.077278404472552,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_F2_fusion_ms_card_cohdrop,0.855060424184895,0.0808003755427766,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_A15_block_stats,0.8433392418710352,0.0760679797042937,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_F8_fusion_composite_blockstats,0.8420418288486143,0.0859228187919463,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_F4_fusion_ms_cohdrop,0.8347271194949636,0.0950289645941819,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_F6_fusion_indices_card_cohdrop,0.8329440225205388,0.075202634424179,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_A17_rolling_stats_roll7,0.8301684146686797,0.0686328125,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_A16_rolling_stats_roll3,0.8286702881891216,0.0681430785123966,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_F7_fusion_composite_cohdrop,0.8228293683677851,0.083901220145379,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08c_v2,C_A18_rolling_stats_roll13,0.8221332592963295,0.0676267191587453,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB09a_v2,R5_XGBoost_all_multimodal,0.7988816349768182,0.0433382862803368,XGBoost,all_multimodal,GroupKFold
NB09a_v2,R5_LightGBM_all_multimodal,0.7797464370470447,0.0962141649348805,LightGBM,all_multimodal,GroupKFold
NB08c_v2,C_A14_coh_drop,0.7727551771821357,0.0599330904396293,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB09a_v2,R5_GBM_all_multimodal,0.7684949886637072,0.0071738331495773,GBM,all_multimodal,GroupKFold
NB08c_v2,C_A11_composite_vs_scenes_bands,0.7631774430611865,0.0796796181453289,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB09a_v2,R5_ExtraTrees_all_multimodal,0.761611355649601,0.0349274710712511,ExtraTrees,all_multimodal,GroupKFold
NB08b,BDA__RGB+CARD__LogReg,0.7506362133169763,0.0533192946757602,LogReg,RGB+CARD,GroupKFold
NB08c_v2,C_A13_prepost_single_card,0.7504272830554443,0.0489159278988854,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08b,BDA__RGB__ExtraTrees,0.7503258907202577,0.0610471825645421,ExtraTrees,RGB,GroupKFold
NB08b,BDA__COH_DROP+RGB+CARD__LogReg,0.7483272546189619,0.1404248419004378,LogReg,COH_DROP+RGB+CARD,GroupKFold
NB08b,BDA__COH_DROP+RGB__LogReg,0.7391496767529475,0.1639100443623868,LogReg,COH_DROP+RGB,GroupKFold
NB08b,BDA__COH_DROP+RGB+CARD__AdaBoost,0.738145489916821,0.0,AdaBoost,COH_DROP+RGB+CARD,GroupKFold
NB08b,BDA__RGB__RF-200,0.7375270228738773,0.0606341124739643,RF-200,RGB,GroupKFold
NB08b,BDA__RGB+CARD__AdaBoost,0.7373420349746298,0.0,AdaBoost,RGB+CARD,GroupKFold
NB08c_v2,C_F1_fusion_ms_card,0.7347327923260697,0.0782846003898635,LightGBM-300-MIA,manifest_default_minus_leakage,GroupKFold
NB08b,BDA__RGB+CARD__ExtraTrees,0.732911756113963,0.098280218836633,ExtraTrees,RGB+CARD,GroupKFold
NB08b,BDA__COH_DROP+RGB__AdaBoost,0.7308881099141904,0.0,AdaBoost,COH_DROP+RGB,GroupKFold
NB08b,BDA__RGB__LogReg,0.7307332909867456,0.0744845588885939,LogReg,RGB,GroupKFold
NB08b,BDA__RGB__LightGBM,0.7306397313853406,0.0532836035002151,LightGBM,RGB,GroupKFold
