city,n_damaged,n_undamaged,dmg_consistent,und_consistent,consistency_pct
Avdiivka,93,1093,93,3,8.1
Borodyanka,68,439,46,188,46.2
Bucha,194,1468,2,1440,86.8
Chernihiv,358,2452,0,2449,87.2
Chornobaivka,13,129,0,129,90.8
Dmytrivka,361,2775,3,2743,87.6
Hostomel,618,3879,28,3665,82.1
Irpin,308,2441,30,2198,81.0
Kharkiv,263,1620,0,1619,86.0
Kherson,13,129,0,129,90.8
Kramatorsk,25,155,0,155,86.1
Lysychansk,1117,6845,4,6793,85.4
Makariv,61,387,0,387,86.4
Mariupol,3311,19304,243,18074,81.0
Moschun,85,877,11,849,89.4
Mykolaiv,99,594,0,594,85.7
Okhtyrka,38,220,1,192,74.8
Rubizhne,463,4539,0,4534,90.6
Sievierodonetsk,568,3850,66,3463,79.9
Trostianets,17,126,0,126,88.1
Volnovakha,174,1674,36,1401,77.8
