experiment,auc,f1,n_features,method,direction
B5_UISEM_RF_Optuna_bldg,0.7052193651974241,,1,unsupervised_aggregated,max
B5_UISEM_ExtraTrees_Optuna_bldg,0.7046430403352568,,1,unsupervised_aggregated,max
B5_UISEM_LightGBM_Optuna_bldg,0.694945727109639,,1,unsupervised_aggregated,max
B5_UISEM_Tuned_Voting_bldg,0.6938868274215679,,1,unsupervised_aggregated,max
B5_sub_RF_full_F8_bldg,0.6863352796143602,,1,unsupervised_aggregated,max
B5_UISEM_XGBoost_Optuna_bldg,0.6854187900472127,,1,unsupervised_aggregated,max
B5_UISEM_ExtraTrees_Optuna_BEST,0.6826109515265594,0.3097435095401939,403,,
B5_UISEM_RF_Optuna_BEST,0.681137651063811,0.31230245063831535,403,,
B6_UISEM_Model1_full_F8_bldg,0.676224911467213,,1,unsupervised_aggregated,max
B5_UISEM_LightGBM_Optuna_BEST,0.672284539296544,0.29055325555137373,403,,
B5_UISEM_Tuned_Voting,0.6716374764850798,0.11467324290998766,403,,
B5_UISEM_Model2_full_F8_bldg,0.6678047704177094,,1,unsupervised_aggregated,max
B5_UISEM_XGBoost_Optuna_BEST,0.6643252215535287,0.0311793407116506,403,,
B5_sub_RF_full_F8,0.6635639715918297,0.02348711803475135,403,,
B5_sub_GB_full_F8_bldg,0.6605018501104444,,1,unsupervised_aggregated,max
B6_UISEM_Model1_full_F8,0.6574166008135756,0.03414174711561102,403,,
B5_UISEM_Model2_full_F8,0.6495181310516576,0.04270627828710688,403,,
B5_sub_GB_full_F8,0.642307405624279,0.02284752284752285,403,,
B5_sub_XGB_full_F8_bldg,0.6254105889838554,,1,unsupervised_aggregated,max
B5_sub_XGB_full_F8,0.6112239159376345,0.16568524643058805,403,,
B1_PWTT_VV+VH_faithful_bldg,0.554904593770006,,1,unsupervised_aggregated,max
B1_PWTT_VH_faithful_bldg,0.5461197928613963,,1,unsupervised_aggregated,max
B1_PWTT_VV_faithful_bldg,0.539051050609066,,1,unsupervised_aggregated,max
B1_PWTT_VV+VH_faithful,0.5385061396568638,,2,unsupervised,|t_vv|+|t_vh|
B1_PWTT_VH_faithful,0.5311892540593681,,1,unsupervised,|t|
B2_CCD_VV+VH_faithful_bldg,0.5274403074209935,,1,unsupervised_aggregated,max
B1_PWTT_VV_faithful,0.525974041167181,,1,unsupervised,|t|
B2_CCD_vv_Optuna,0.5240068793527611,,1,unsupervised_ccd_optuna,
B2_CCD_vv_faithful_bldg,0.5205014688188752,,1,unsupervised_aggregated,max
B2_CCD_vh_Optuna,0.5189189560078488,,1,unsupervised_ccd_optuna,
B2_CCD_VV+VH_faithful,0.5172162004584573,0.004654493376297888,2,unsupervised_ccd_combined,
B2_CCD_vh_faithful_bldg,0.5155990951159078,,1,unsupervised_aggregated,max
B3a_LogRatio_VV_faithful_bldg,0.5134288965641391,,1,unsupervised_aggregated,max
B2_CCD_vv_faithful,0.5118808573609246,0.002877180363244021,1,unsupervised_ccd,
B2_CCD_vv_persistence_faithful,0.5116638593603329,0.002877180363244021,1,unsupervised_ccd_binary,
B3a_LogRatio_VV+VH_faithful_bldg,0.5098349209239892,,1,unsupervised_aggregated,max
B3a_LogRatio_VH_faithful_bldg,0.5097099189736083,,1,unsupervised_aggregated,max
B2_CCD_vh_faithful,0.5096827523739258,0.001808972503617945,1,unsupervised_ccd,
B2_CCD_vh_persistence_faithful,0.5091347414425407,0.001808972503617945,1,unsupervised_ccd_binary,
B3a_LogRatio_VV_faithful,0.5040546101852655,,1,unsupervised,|I_ratio|
B3a_LogRatio_VV+VH_faithful,0.5018370036477491,,2,unsupervised,|I_vv|+|I_vh|
B2_CCD_vv_persistence_faithful_bldg,0.5007156423768601,,1,unsupervised_aggregated,max
B2_CCD_vh_persistence_faithful_bldg,0.5005160296346624,,1,unsupervised_aggregated,max
B3a_LogRatio_VH_faithful,0.5002654366786227,,1,unsupervised,+I_ratio
