modality,n_models,auc_mean,auc_median,auc_max,auc_min,best_model
MS_unsupervised,4,0.672,0.679,0.741,0.589,B3_logratio_SAVI
other,136,0.566,0.532,0.705,0.431,B5_UISEM_RF_Optuna_bldg
multimodal_all,25,0.636,0.64,0.666,0.564,R3b_all_multimodal
multimodal_SAR+MS,1,0.655,0.655,0.655,0.655,D2_sar_+_ms
MS_only,6,0.648,0.646,0.651,0.646,R3b_ms_only
SAR_card+coh,7,0.534,0.537,0.588,0.501,B4_step3_card+coh+optical
SAR_unsupervised,13,0.509,0.513,0.544,0.439,B3_logratio_UI
SAR_card_only,7,0.513,0.507,0.536,0.494,E6_A_impute+obs_card_only
SAR_coh_unsupervised,4,0.507,0.509,0.524,0.485,B0_single_s1_coh_running_min
SAR_coh_only,6,0.49,0.485,0.524,0.481,R3_coh_only_A14
SAR_all,1,0.52,0.52,0.52,0.52,D6_sar_only
