model_id,variant_id,n,n_damaged,damage_rate,auc,TP,FN,FP,TN,recall,precision,n_cities,is_leaky,is_degenerate
B0_single_s1_coh_drop_countM,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,598595,7332,0.012,0.829,6913,419,266630,324633,0.943,0.025,21,False,False
B0_single_s1_coh_running_minX,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw,598595,7332,0.012,0.8237,6918,414,267022,324241,0.944,0.025,21,False,False
CLF_F7_LightGBM,classifier=LightGBM;parquet=F7,480313,7186,0.015,0.8221,3759,3427,58156,414971,0.523,0.061,19,False,False
B0_single_s1_coh_running_minM,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw,598595,7332,0.012,0.8177,6915,417,267024,324239,0.943,0.025,21,False,False
B0_single_s1_coh_max_dropM,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,598595,7332,0.012,0.8092,6907,425,266855,324408,0.942,0.025,21,False,False
CLF_A17_GBM,classifier=GBM;parquet=A17,598595,7332,0.012,0.7989,32,7300,180,591083,0.004,0.151,21,False,False
CLF_F7_GBM,classifier=GBM;parquet=F7,480313,7186,0.015,0.7985,27,7159,469,472658,0.004,0.054,19,False,False
CLF_A17_LightGBM,classifier=LightGBM;parquet=A17,598595,7332,0.012,0.7944,4273,3059,106730,484533,0.583,0.038,21,False,False
B0_single_s1_coh_max_dropX,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,598595,7332,0.012,0.7854,6773,559,266270,324993,0.924,0.025,21,False,False
CLF_F7_XGBoost,classifier=XGBoost;parquet=F7,480313,7186,0.015,0.7552,419,6767,1302,471825,0.058,0.243,19,False,False
NB08b_BDA_RGB+CARD_LogReg,dataset=BDA;feature_set=RGB+CARD;classifier=LogReg,598595,7332,0.012,0.7506,4507,2825,157218,434045,0.615,0.028,21,False,False
NB08b_BDA_RGB_ExtraTrees,dataset=BDA;feature_set=RGB;classifier=ExtraTrees,598595,7332,0.012,0.7503,3703,3629,110281,480982,0.505,0.032,21,False,False
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=LogReg,205942,6144,0.03,0.7483,3464,2680,39728,160070,0.564,0.08,12,False,False
CLF_A17_XGBoost,classifier=XGBoost;parquet=A17,598595,7332,0.012,0.7444,329,7003,1764,589499,0.045,0.157,21,False,False
NB08b_BDA_COH_DROP+RGB_LogReg,dataset=BDA;feature_set=COH_DROP+RGB;classifier=LogReg,205942,6144,0.03,0.7391,3196,2948,29657,170141,0.52,0.097,12,False,False
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=AdaBoost,205942,6144,0.03,0.7381,0,6144,0,199798,0.0,,12,False,False
NB08b_BDA_RGB_RF-200,dataset=BDA;feature_set=RGB;classifier=RF-200,598595,7332,0.012,0.7375,3930,3402,118368,472895,0.536,0.032,21,False,False
NB08b_BDA_RGB+CARD_AdaBoost,dataset=BDA;feature_set=RGB+CARD;classifier=AdaBoost,598595,7332,0.012,0.7373,0,7332,0,591263,0.0,,21,False,False
NB08b_BDA_RGB+CARD_ExtraTrees,dataset=BDA;feature_set=RGB+CARD;classifier=ExtraTrees,598595,7332,0.012,0.7329,2003,5329,31426,559837,0.273,0.06,21,False,False
NB08b_BDA_COH_DROP+RGB_AdaBoost,dataset=BDA;feature_set=COH_DROP+RGB;classifier=AdaBoost,205942,6144,0.03,0.7309,0,6144,0,199798,0.0,,12,False,False
NB08b_BDA_RGB_LogReg,dataset=BDA;feature_set=RGB;classifier=LogReg,598595,7332,0.012,0.7307,3367,3965,79709,511554,0.459,0.041,21,False,False
NB08b_BDA_RGB_LightGBM,dataset=BDA;feature_set=RGB;classifier=LightGBM,598595,7332,0.012,0.7306,4643,2689,162300,428963,0.633,0.028,21,False,False
CLF_F7_ExtraTrees,classifier=ExtraTrees;parquet=F7,480313,7186,0.015,0.7201,333,6853,19016,454111,0.046,0.017,19,False,False
NB08b_BDA_RGB_UISEM_voting,dataset=BDA;feature_set=RGB;classifier=UISEM_voting,598595,7332,0.012,0.7194,8,7324,31,591232,0.001,0.205,21,False,False
NB08b_BDA_RGB_AdaBoost,dataset=BDA;feature_set=RGB;classifier=AdaBoost,598595,7332,0.012,0.7121,0,7332,0,591263,0.0,,21,False,False
CLF_A9_LightGBM,classifier=LightGBM;parquet=A9,480313,7186,0.015,0.7105,2815,4371,81345,391782,0.392,0.033,19,False,False
NB08b_BDA_RGB+CARD_LightGBM,dataset=BDA;feature_set=RGB+CARD;classifier=LightGBM,598595,7332,0.012,0.7062,3854,3478,119533,471730,0.526,0.031,21,False,False
ABL_FUSION_MS_COH_SAR_ALL,scenario=FUSION_MS_COH;sensor=SAR_ALL;parquet=F7,480313,7186,0.015,0.7017,4157,3029,106620,366507,0.578,0.038,19,False,False
ABL_FUSION_MS_COH_COH,scenario=FUSION_MS_COH;sensor=COH;parquet=F7,480313,7186,0.015,0.7017,4157,3029,106620,366507,0.578,0.038,19,False,False
CLF_A17_ExtraTrees,classifier=ExtraTrees;parquet=A17,598595,7332,0.012,0.6996,738,6594,33964,557299,0.101,0.021,21,False,False
NB08b_BDA_CARD_LogReg,dataset=BDA;feature_set=CARD;classifier=LogReg,368288,6431,0.017,0.6932,4260,2171,139553,222304,0.662,0.03,21,False,False
NB08b_BDA_COH_DROP+CARD_LogReg,dataset=BDA;feature_set=COH_DROP+CARD;classifier=LogReg,130789,5427,0.041,0.6924,3101,2326,33701,91661,0.571,0.084,12,False,False
NB08b_BDA_COH_DROP+CARD_AdaBoost,dataset=BDA;feature_set=COH_DROP+CARD;classifier=AdaBoost,130789,5427,0.041,0.6868,0,5427,0,125362,0.0,,12,False,False
B3_logratio_VV,unsupervised_logratio;sensor=sar;label=VV;direction=-logratio,598595,7332,0.012,0.6811,5802,1530,293496,297767,0.791,0.019,21,False,False
