model_id,variant_id,group,auc,n_samples,n_cities,TP,FN,FP,TN,is_leaky,is_degenerate,modality,modality_family,is_accumulator
B3_logratio_SAVI,unsupervised_logratio;sensor=optical;label=SAVI;direction=-logratio,points_v3plus,0.7406502646425871,3533,5,323,84,1444,1682,False,False,MS_unsupervised,MS,False
B3_logratio_NDVI,unsupervised_logratio;sensor=optical;label=NDVI;direction=-logratio,points_v3plus,0.7368448975934581,3533,5,329,78,1438,1688,False,False,MS_unsupervised,MS,False
B5_UISEM_RF_Optuna_bldg,unsupervised;aggregation=building_max_vote;derived_from=B5_UISEM_RF_Optuna,points_v3plus,0.7052193651974241,56090,19,5103,1759,22943,26285,False,False,other,other,False
B5_UISEM_ExtraTrees_Optuna_bldg,unsupervised;aggregation=building_max_vote;derived_from=B5_UISEM_ExtraTrees_Optuna,points_v3plus,0.7046430403352568,56090,19,5144,1718,22902,26326,False,False,other,other,False
B5_UISEM_LightGBM_Optuna_bldg,unsupervised;aggregation=building_max_vote;derived_from=B5_UISEM_LightGBM_Optuna,points_v3plus,0.694945727109639,56090,19,5052,1810,22994,26234,False,False,other,other,False
B5_UISEM_Tuned_Voting_bldg,unsupervised;aggregation=building_max_vote;derived_from=B5_UISEM_Tuned_Voting,points_v3plus,0.6938868274215679,56090,19,5073,1789,22973,26255,False,False,other,other,False
B5_sub_RF_full_F8_bldg,unsupervised;aggregation=building_max_vote;derived_from=B5_sub_RF_full_F8,points_v3plus,0.6863352796143602,56090,19,5024,1838,23022,26206,False,False,other,other,False
B5_UISEM_XGBoost_Optuna_bldg,unsupervised;aggregation=building_max_vote;derived_from=B5_UISEM_XGBoost_Optuna,points_v3plus,0.6854187900472127,56090,19,5013,1849,23033,26195,False,False,other,other,False
B5_UISEM_ExtraTrees_Optuna,,points_v3plus,0.6826109515265594,62043,19,3961,4119,13535,40428,False,False,other,other,False
B5_UISEM_RF_Optuna,,points_v3plus,0.681137651063811,62043,19,3804,4276,12477,41486,False,False,other,other,False
B6_UISEM_Model1_full_F8_bldg,unsupervised;aggregation=building_max_vote;derived_from=B6_UISEM_Model1_full_F8,points_v3plus,0.676224911467213,56090,19,4941,1921,23105,26123,False,False,other,other,False
B5_UISEM_LightGBM_Optuna,,points_v3plus,0.672284539296544,62043,19,2702,5378,7817,46146,False,False,other,other,False
B5_UISEM_Tuned_Voting,,points_v3plus,0.6716374764850798,62043,19,558,7522,1094,52869,False,False,other,other,False
B5_UISEM_Model2_full_F8_bldg,unsupervised;aggregation=building_max_vote;derived_from=B5_UISEM_Model2_full_F8,points_v3plus,0.6678047704177094,56090,19,4837,2025,23209,26019,False,False,other,other,False
R3b_card_ms,nb09a;cell=R3b,points_v3plus,0.6674139303002442,62043,19,104,7976,177,53786,False,False,other,other,False
R4b_tier0_all,nb09a;cell=R4b,points_v3plus,0.6657057838845009,39997,4,132,5327,220,34318,False,False,other,other,False
