model_id,auc,n,n_damaged,TP,FN,FP,TN,variant_id
B0_single_s1_coh_drop_countM,0.829,598595,7332,6913,419,266630,324633,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw
B0_single_s1_coh_running_minX,0.8237,598595,7332,6918,414,267022,324241,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw
CLF_F7_LightGBM,0.8221,480313,7186,3759,3427,58156,414971,classifier=LightGBM;parquet=F7
B0_single_s1_coh_running_minM,0.8177,598595,7332,6915,417,267024,324239,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw
B0_single_s1_coh_max_dropM,0.8092,598595,7332,6907,425,266855,324408,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw
CLF_A17_GBM,0.7989,598595,7332,32,7300,180,591083,classifier=GBM;parquet=A17
CLF_F7_GBM,0.7985,480313,7186,27,7159,469,472658,classifier=GBM;parquet=F7
CLF_A17_LightGBM,0.7944,598595,7332,4273,3059,106730,484533,classifier=LightGBM;parquet=A17
B0_single_s1_coh_max_dropX,0.7854,598595,7332,6773,559,266270,324993,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw
CLF_F7_XGBoost,0.7552,480313,7186,419,6767,1302,471825,classifier=XGBoost;parquet=F7
NB08b_BDA_RGB+CARD_LogReg,0.7506,598595,7332,4507,2825,157218,434045,dataset=BDA;feature_set=RGB+CARD;classifier=LogReg
NB08b_BDA_RGB_ExtraTrees,0.7503,598595,7332,3703,3629,110281,480982,dataset=BDA;feature_set=RGB;classifier=ExtraTrees
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,0.7483,205942,6144,3464,2680,39728,160070,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=LogReg
CLF_A17_XGBoost,0.7444,598595,7332,329,7003,1764,589499,classifier=XGBoost;parquet=A17
NB08b_BDA_COH_DROP+RGB_LogReg,0.7391,205942,6144,3196,2948,29657,170141,dataset=BDA;feature_set=COH_DROP+RGB;classifier=LogReg
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,0.7381,205942,6144,0,6144,0,199798,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=AdaBoost
NB08b_BDA_RGB_RF-200,0.7375,598595,7332,3930,3402,118368,472895,dataset=BDA;feature_set=RGB;classifier=RF-200
NB08b_BDA_RGB+CARD_AdaBoost,0.7373,598595,7332,0,7332,0,591263,dataset=BDA;feature_set=RGB+CARD;classifier=AdaBoost
NB08b_BDA_RGB+CARD_ExtraTrees,0.7329,598595,7332,2003,5329,31426,559837,dataset=BDA;feature_set=RGB+CARD;classifier=ExtraTrees
NB08b_BDA_COH_DROP+RGB_AdaBoost,0.7309,205942,6144,0,6144,0,199798,dataset=BDA;feature_set=COH_DROP+RGB;classifier=AdaBoost
NB08b_BDA_RGB_LogReg,0.7307,598595,7332,3367,3965,79709,511554,dataset=BDA;feature_set=RGB;classifier=LogReg
NB08b_BDA_RGB_LightGBM,0.7306,598595,7332,4643,2689,162300,428963,dataset=BDA;feature_set=RGB;classifier=LightGBM
CLF_F7_ExtraTrees,0.7201,480313,7186,333,6853,19016,454111,classifier=ExtraTrees;parquet=F7
NB08b_BDA_RGB_UISEM_voting,0.7194,598595,7332,8,7324,31,591232,dataset=BDA;feature_set=RGB;classifier=UISEM_voting
NB08b_BDA_RGB_AdaBoost,0.7121,598595,7332,0,7332,0,591263,dataset=BDA;feature_set=RGB;classifier=AdaBoost
CLF_A9_LightGBM,0.7105,480313,7186,2815,4371,81345,391782,classifier=LightGBM;parquet=A9
NB08b_BDA_RGB+CARD_LightGBM,0.7062,598595,7332,3854,3478,119533,471730,dataset=BDA;feature_set=RGB+CARD;classifier=LightGBM
ABL_FUSION_MS_COH_COH,0.7017,480313,7186,4157,3029,106620,366507,scenario=FUSION_MS_COH;sensor=COH;parquet=F7
