model_id,variant_id,group,auc,n_samples,n_cities,TP,FN,FP,TN,is_leaky,is_degenerate
E5_HistGBM_native_NaN,histgbm_native_nan;imputation=none,buildings_v2,0.8369950999558949,480313,19,4815,2371,95190,377937,False,False
B0_single_s1_coh_drop_countM,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,buildings_v2,0.8289973355040072,598595,21,6913,419,266630,324633,False,False
E6_B_nativeNaN_card_only,nan_ablation;strategy=B_native_nan;modality=card_only,buildings_v2,0.8287738579785406,480313,19,4090,3096,65869,407258,False,False
B0_single_s1_coh_running_minX,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw,buildings_v2,0.823684370220048,598595,21,6918,414,267022,324241,False,False
CLF_F7_LightGBM,classifier=LightGBM;parquet=F7,buildings_v2,0.8220932086502869,480313,19,3759,3427,58156,414971,False,False
E2_LightGBM_card,lightgbm_sensor_ablation;sensor=card,buildings_v2,0.8181635247323552,480313,19,3908,3278,66200,406927,False,False
B0_single_s1_coh_running_minM,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw,buildings_v2,0.817747463540232,598595,21,6915,417,267024,324239,False,False
E1_base_LGBM,stacking_base;classifier=LGBM;features=all_multimodal,buildings_v2,0.8115500035930273,480313,19,3512,3674,57377,415750,False,False
E2_LightGBM_all,lightgbm;features=all_multimodal,buildings_v2,0.8115500035930273,480313,19,3512,3674,57377,415750,False,False
B0_single_s1_coh_max_dropM,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,buildings_v2,0.8091917870692514,598595,21,6907,425,266855,324408,False,False
B5_sub_GBM,uisem_sub_classifier;classifier=GBM;features=all_multimodal,buildings_v2,0.8076423199416678,480313,19,50,7136,363,472764,False,False
E6_B_nativeNaN_all_multimodal,nan_ablation;strategy=B_native_nan;modality=all_multimodal,buildings_v2,0.805119134947277,480313,19,3459,3727,55196,417931,False,False
E5_LightGBM_native_NaN,lightgbm_native_nan;imputation=none,buildings_v2,0.805119134947277,480313,19,3459,3727,55196,417931,False,False
CLF_A17_GBM,classifier=GBM;parquet=A17,buildings_v2,0.7989497237763689,598595,21,32,7300,180,591083,False,False
CLF_F7_GBM,classifier=GBM;parquet=F7,buildings_v2,0.798507187093856,480313,19,27,7159,469,472658,False,False
CLF_A17_LightGBM,classifier=LightGBM;parquet=A17,buildings_v2,0.7943860402372268,598595,21,4273,3059,106730,484533,False,False
E6_B_nativeNaN_card+coh,nan_ablation;strategy=B_native_nan;modality=card+coh,buildings_v2,0.7938499516823574,480313,19,3499,3687,66728,406399,False,False
E2_LightGBM_card+coh,lightgbm_sensor_ablation;sensor=card+coh,buildings_v2,0.7891042275418235,480313,19,3445,3741,66305,406822,False,False
B0_single_s1_coh_max_dropX,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,buildings_v2,0.7854384958274554,598595,21,6773,559,266270,324993,False,False
E1_soft_voting,stacking_soft_voting;base=RF+GBM+XGB+LGBM,buildings_v2,0.7801853801813274,480313,19,188,6998,710,472417,False,False
