model_id,city,n_overture,n_labeled,n_no_unosat,pct_labeled,TP,FN,FP,TN
B0_single_s1_coh_drop_countM,Avdiivka,13360,12523,837,93.7,23,66,826,11608
B0_single_s1_coh_drop_countM,Borodyanka,49969,5240,44729,10.5,62,0,5178,0
B0_single_s1_coh_drop_countM,Bucha,17367,17215,152,99.1,158,0,17057,0
B0_single_s1_coh_drop_countM,Chernihiv,58626,51375,7251,87.6,333,0,51042,0
B0_single_s1_coh_drop_countM,Chornobaivka,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_drop_countM,Dmytrivka,13650,13649,1,100.0,144,0,13505,0
B0_single_s1_coh_drop_countM,Hostomel,19798,19145,653,96.7,511,0,18634,0
B0_single_s1_coh_drop_countM,Irpin,17686,17365,321,98.2,249,0,17116,0
B0_single_s1_coh_drop_countM,Kharkiv,213845,170104,43741,79.5,0,238,0,169866
B0_single_s1_coh_drop_countM,Kherson,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_drop_countM,Kramatorsk,58518,10414,48104,17.8,0,19,0,10395
B0_single_s1_coh_drop_countM,Lysychansk,47169,41600,5569,88.2,1071,0,40529,0
B0_single_s1_coh_drop_countM,Makariv,7742,5554,2188,71.7,53,0,5501,0
B0_single_s1_coh_drop_countM,Mariupol,119107,28973,90134,24.3,3055,0,25918,0
B0_single_s1_coh_drop_countM,Moschun,20565,1248,19317,6.1,73,0,1175,0
B0_single_s1_coh_drop_countM,Mykolaiv,137326,113042,24284,82.3,0,84,0,112958
B0_single_s1_coh_drop_countM,Okhtyrka,27603,26456,1147,95.8,35,0,26421,0
B0_single_s1_coh_drop_countM,Rubizhne,16687,13609,3078,81.6,431,0,13178,0
B0_single_s1_coh_drop_countM,Sievierodonetsk,14151,9065,5086,64.1,534,0,8531,0
B0_single_s1_coh_drop_countM,Trostianets,18656,8737,9919,46.8,18,0,8719,0
B0_single_s1_coh_drop_countM,Volnovakha,13888,13463,425,96.9,163,0,13300,0
B0_single_s1_coh_running_minX,Avdiivka,13360,12523,837,93.7,28,61,1222,11212
B0_single_s1_coh_running_minX,Borodyanka,49969,5240,44729,10.5,62,0,5178,0
B0_single_s1_coh_running_minX,Bucha,17367,17215,152,99.1,158,0,17057,0
B0_single_s1_coh_running_minX,Chernihiv,58626,51375,7251,87.6,333,0,51042,0
B0_single_s1_coh_running_minX,Chornobaivka,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_running_minX,Dmytrivka,13650,13649,1,100.0,144,0,13505,0
B0_single_s1_coh_running_minX,Hostomel,19798,19145,653,96.7,511,0,18632,2
B0_single_s1_coh_running_minX,Irpin,17686,17365,321,98.2,249,0,17116,0
B0_single_s1_coh_running_minX,Kharkiv,213845,170104,43741,79.5,0,238,0,169866
B0_single_s1_coh_running_minX,Kherson,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_running_minX,Kramatorsk,58518,10414,48104,17.8,0,19,0,10395
B0_single_s1_coh_running_minX,Lysychansk,47169,41600,5569,88.2,1071,0,40529,0
B0_single_s1_coh_running_minX,Makariv,7742,5554,2188,71.7,53,0,5501,0
B0_single_s1_coh_running_minX,Mariupol,119107,28973,90134,24.3,3055,0,25918,0
B0_single_s1_coh_running_minX,Moschun,20565,1248,19317,6.1,73,0,1175,0
B0_single_s1_coh_running_minX,Mykolaiv,137326,113042,24284,82.3,0,84,0,112958
B0_single_s1_coh_running_minX,Okhtyrka,27603,26456,1147,95.8,35,0,26419,2
B0_single_s1_coh_running_minX,Rubizhne,16687,13609,3078,81.6,431,0,13178,0
B0_single_s1_coh_running_minX,Sievierodonetsk,14151,9065,5086,64.1,534,0,8531,0
B0_single_s1_coh_running_minX,Trostianets,18656,8737,9919,46.8,18,0,8719,0
B0_single_s1_coh_running_minX,Volnovakha,13888,13463,425,96.9,163,0,13300,0
CLF_F7_LightGBM,Avdiivka,13360,12523,837,93.7,8,81,143,12291
CLF_F7_LightGBM,Borodyanka,49969,0,49969,0.0,0,0,0,0
CLF_F7_LightGBM,Bucha,17367,17215,152,99.1,70,88,1150,15907
CLF_F7_LightGBM,Chernihiv,58626,51375,7251,87.6,103,230,5843,45199
CLF_F7_LightGBM,Chornobaivka,10829,9909,920,91.5,1,5,7,9896
CLF_F7_LightGBM,Dmytrivka,13650,13649,1,100.0,77,67,1339,12166
