model_id,group,city,n_labeled,n_no_unosat,TP,FN,FP,TN
E5_HistGBM_native_NaN,buildings_v2,Avdiivka,12523,0,2,87,5,12429
E5_HistGBM_native_NaN,buildings_v2,Bucha,17215,0,111,47,3509,13548
E5_HistGBM_native_NaN,buildings_v2,Chernihiv,51375,0,202,131,16440,34602
E5_HistGBM_native_NaN,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
E5_HistGBM_native_NaN,buildings_v2,Dmytrivka,13649,0,77,67,1217,12288
E5_HistGBM_native_NaN,buildings_v2,Hostomel,19145,0,299,212,5414,13220
E5_HistGBM_native_NaN,buildings_v2,Irpin,17365,0,127,122,2912,14204
E5_HistGBM_native_NaN,buildings_v2,Kharkiv,170104,0,0,238,0,169866
E5_HistGBM_native_NaN,buildings_v2,Kherson,9909,0,2,4,660,9243
E5_HistGBM_native_NaN,buildings_v2,Kramatorsk,10414,0,11,8,936,9459
E5_HistGBM_native_NaN,buildings_v2,Lysychansk,41600,0,981,90,33948,6581
E5_HistGBM_native_NaN,buildings_v2,Makariv,5554,0,18,35,322,5179
E5_HistGBM_native_NaN,buildings_v2,Mariupol,28973,0,2164,891,8661,17257
E5_HistGBM_native_NaN,buildings_v2,Moschun,1248,0,23,50,248,927
E5_HistGBM_native_NaN,buildings_v2,Okhtyrka,26456,0,25,10,6334,20087
E5_HistGBM_native_NaN,buildings_v2,Rubizhne,13609,0,178,253,2841,10337
E5_HistGBM_native_NaN,buildings_v2,Sievierodonetsk,9065,0,525,9,7824,707
E5_HistGBM_native_NaN,buildings_v2,Trostianets,8737,0,0,18,180,8539
E5_HistGBM_native_NaN,buildings_v2,Volnovakha,13463,0,70,93,3739,9561
B0_single_s1_coh_drop_countM,buildings_v2,Avdiivka,12523,0,23,66,826,11608
B0_single_s1_coh_drop_countM,buildings_v2,Borodyanka,5240,0,62,0,5178,0
B0_single_s1_coh_drop_countM,buildings_v2,Bucha,17215,0,158,0,17057,0
B0_single_s1_coh_drop_countM,buildings_v2,Chernihiv,51375,0,333,0,51042,0
B0_single_s1_coh_drop_countM,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
B0_single_s1_coh_drop_countM,buildings_v2,Dmytrivka,13649,0,144,0,13505,0
B0_single_s1_coh_drop_countM,buildings_v2,Hostomel,19145,0,511,0,18634,0
B0_single_s1_coh_drop_countM,buildings_v2,Irpin,17365,0,249,0,17116,0
B0_single_s1_coh_drop_countM,buildings_v2,Kharkiv,170104,0,0,238,0,169866
B0_single_s1_coh_drop_countM,buildings_v2,Kherson,9909,0,0,6,0,9903
B0_single_s1_coh_drop_countM,buildings_v2,Kramatorsk,10414,0,0,19,0,10395
B0_single_s1_coh_drop_countM,buildings_v2,Lysychansk,41600,0,1071,0,40529,0
B0_single_s1_coh_drop_countM,buildings_v2,Makariv,5554,0,53,0,5501,0
B0_single_s1_coh_drop_countM,buildings_v2,Mariupol,28973,0,3055,0,25918,0
B0_single_s1_coh_drop_countM,buildings_v2,Moschun,1248,0,73,0,1175,0
B0_single_s1_coh_drop_countM,buildings_v2,Mykolaiv,113042,0,0,84,0,112958
B0_single_s1_coh_drop_countM,buildings_v2,Okhtyrka,26456,0,35,0,26421,0
B0_single_s1_coh_drop_countM,buildings_v2,Rubizhne,13609,0,431,0,13178,0
B0_single_s1_coh_drop_countM,buildings_v2,Sievierodonetsk,9065,0,534,0,8531,0
B0_single_s1_coh_drop_countM,buildings_v2,Trostianets,8737,0,18,0,8719,0
B0_single_s1_coh_drop_countM,buildings_v2,Volnovakha,13463,0,163,0,13300,0
E6_B_nativeNaN_card_only,buildings_v2,Avdiivka,12523,0,1,88,0,12434
E6_B_nativeNaN_card_only,buildings_v2,Bucha,17215,0,93,65,1594,15463
E6_B_nativeNaN_card_only,buildings_v2,Chernihiv,51375,0,66,267,3660,47382
E6_B_nativeNaN_card_only,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
E6_B_nativeNaN_card_only,buildings_v2,Dmytrivka,13649,0,87,57,1486,12019
E6_B_nativeNaN_card_only,buildings_v2,Hostomel,19145,0,233,278,3156,15478
E6_B_nativeNaN_card_only,buildings_v2,Irpin,17365,0,131,118,2499,14617
E6_B_nativeNaN_card_only,buildings_v2,Kharkiv,170104,0,0,238,0,169866
