city,group,n_models
Avdiivka,buildings_v2,6
Borodyanka,buildings_v2,6
Bucha,buildings_v2,6
Chernihiv,buildings_v2,6
Chornobaivka,buildings_v2,6
Dmytrivka,buildings_v2,6
Hostomel,buildings_v2,6
Irpin,buildings_v2,6
Kharkiv,buildings_v2,6
Kherson,buildings_v2,6
Kramatorsk,buildings_v2,6
Lysychansk,buildings_v2,6
Makariv,buildings_v2,6
Mariupol,buildings_v2,6
Moschun,buildings_v2,6
Mykolaiv,buildings_v2,6
Okhtyrka,buildings_v2,6
Rubizhne,buildings_v2,6
Sievierodonetsk,buildings_v2,6
Trostianets,buildings_v2,6
Volnovakha,buildings_v2,6
bata-explosion,buildings_v2,6
beirut-explosion,buildings_v2,6
congo-volcano,buildings_v2,6
guatemala-volcano,buildings_v2,6
haiti-earthquake,buildings_v2,6
hawaii-wildfire,buildings_v2,6
hurricane-florence,buildings_v2,6
hurricane-harvey,buildings_v2,6
hurricane-matthew,buildings_v2,6
hurricane-michael,buildings_v2,6
joplin-tornado,buildings_v2,6
la_palma-volcano,buildings_v2,6
libya-flood,buildings_v2,6
lower-puna-volcano,buildings_v2,6
marshall-wildfire,buildings_v2,6
mexico-earthquake,buildings_v2,6
mexico-hurricane,buildings_v2,6
midwest-flooding,buildings_v2,6
moore-tornado,buildings_v2,6
morocco-earthquake,buildings_v2,6
myanmar-hurricane,buildings_v2,6
nepal-flooding,buildings_v2,6
noto-earthquake,buildings_v2,6
palu-tsunami,buildings_v2,6
pinery-bushfire,buildings_v2,6
portugal-wildfire,buildings_v2,6
santa-rosa-wildfire,buildings_v2,6
socal-fire,buildings_v2,6
sunda-tsunami,buildings_v2,6
turkey-earthquake,buildings_v2,6
tuscaloosa-tornado,buildings_v2,6
ukraine-conflict,buildings_v2,6
woolsey-fire,buildings_v2,6
Avdiivka,points_v3plus,6
Borodyanka,points_v3plus,6
Bucha,points_v3plus,6
Chernihiv,points_v3plus,6
Chornobaivka,points_v3plus,6
Dmytrivka,points_v3plus,6
Hostomel,points_v3plus,6
Irpin,points_v3plus,6
Kharkiv,points_v3plus,6
Kherson,points_v3plus,6
Kramatorsk,points_v3plus,6
Lysychansk,points_v3plus,6
Makariv,points_v3plus,6
Mariupol,points_v3plus,6
Moschun,points_v3plus,6
Mykolaiv,points_v3plus,6
Okhtyrka,points_v3plus,6
Rubizhne,points_v3plus,6
Sievierodonetsk,points_v3plus,6
Trostianets,points_v3plus,6
Volnovakha,points_v3plus,6
