city,model_type,model_id,TP,FN,FP,TN,recall,precision
Avdiivka,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,5,84,50,12384,0.056,0.091
Avdiivka,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,13,76,531,11903,0.146,0.024
Borodyanka,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,62,0,5178,0.0,
Borodyanka,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,23,39,1106,4072,0.371,0.02
Bucha,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,148,10,16976,81,0.937,0.009
Bucha,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,130,28,7484,9573,0.823,0.017
Chernihiv,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,93,240,4394,46648,0.279,0.021
Chernihiv,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,122,211,11715,39327,0.366,0.01
Chornobaivka,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,3,3,21,9882,0.5,0.125
Chornobaivka,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,6,0,9903,0.0,
Dmytrivka,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,65,79,1554,11951,0.451,0.04
Dmytrivka,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,97,47,3052,10453,0.674,0.031
Hostomel,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,53,458,1369,17265,0.104,0.037
Hostomel,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,168,343,2075,16559,0.329,0.075
Irpin,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,103,146,3764,13352,0.414,0.027
Irpin,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,147,102,4624,12492,0.59,0.031
Kharkiv,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,11,227,958,168908,0.046,0.011
Kharkiv,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,23,215,3503,166363,0.097,0.007
Kherson,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,2,4,194,9709,0.333,0.01
Kherson,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,1,5,1012,8891,0.167,0.001
Kramatorsk,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,16,3,2937,7458,0.842,0.005
Kramatorsk,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,9,10,1508,8887,0.474,0.006
Lysychansk,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,1071,0,40529,0,1.0,0.026
Lysychansk,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,1026,45,35711,4818,0.958,0.028
Makariv,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,18,35,811,4690,0.34,0.022
Makariv,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,53,1,5500,0.0,0.0
Mariupol,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,3055,0,25918,0,1.0,0.105
Mariupol,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,2991,64,23703,2215,0.979,0.112
Moschun,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,73,0,1175,0.0,
Moschun,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,8,65,75,1100,0.11,0.096
Mykolaiv,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,84,0,112958,0.0,
Mykolaiv,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,84,0,112958,0.0,
Okhtyrka,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,32,3,26015,406,0.914,0.001
Okhtyrka,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,24,11,10948,15473,0.686,0.002
Rubizhne,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,431,0,13178,0,1.0,0.032
Rubizhne,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,399,32,11148,2030,0.926,0.035
Sievierodonetsk,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,534,0,8531,0,1.0,0.059
Sievierodonetsk,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,522,12,7191,1340,0.978,0.068
Trostianets,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,15,3,8469,250,0.833,0.002
Trostianets,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,1,17,913,7806,0.056,0.001
Volnovakha,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,148,15,12214,1086,0.908,0.012
Volnovakha,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,88,75,4996,8304,0.54,0.017
bata-explosion,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
bata-explosion,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
beirut-explosion,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
beirut-explosion,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
congo-volcano,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
congo-volcano,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
guatemala-volcano,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
guatemala-volcano,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
haiti-earthquake,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
haiti-earthquake,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
hawaii-wildfire,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
hawaii-wildfire,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
hurricane-florence,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
hurricane-florence,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
hurricane-harvey,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
hurricane-harvey,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
hurricane-matthew,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
hurricane-matthew,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
hurricane-michael,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
hurricane-michael,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
joplin-tornado,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
joplin-tornado,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
la_palma-volcano,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
la_palma-volcano,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
libya-flood,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
libya-flood,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
lower-puna-volcano,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
lower-puna-volcano,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
marshall-wildfire,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
marshall-wildfire,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
mexico-earthquake,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
mexico-earthquake,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
mexico-hurricane,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
mexico-hurricane,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
midwest-flooding,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
midwest-flooding,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
moore-tornado,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
moore-tornado,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
morocco-earthquake,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
morocco-earthquake,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
myanmar-hurricane,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
myanmar-hurricane,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
nepal-flooding,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
nepal-flooding,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
noto-earthquake,accumulator,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,0,0,0,,
noto-earthquake,non_accumulator,NB11e_dietrich28__block_stats__LightGBM-Optuna,0,0,0,0,,
