city,model_type,model_id,TP,FN,FP,TN,recall,precision
Avdiivka,accumulator,B0_single_s1_coh_running_min,0,93,0,1093,0.0,
Avdiivka,non_accumulator,B3_logratio_SAVI,68,25,333,760,0.731,0.17
Borodyanka,accumulator,B0_single_s1_coh_running_min,17,51,98,341,0.25,0.148
Borodyanka,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Bucha,accumulator,B0_single_s1_coh_running_min,3,191,14,1454,0.015,0.176
Bucha,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Chernihiv,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Chernihiv,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Chornobaivka,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Chornobaivka,non_accumulator,B3_logratio_SAVI,11,2,108,21,0.846,0.092
Dmytrivka,accumulator,B0_single_s1_coh_running_min,2,359,5,2770,0.006,0.286
Dmytrivka,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Hostomel,accumulator,B0_single_s1_coh_running_min,9,609,144,3735,0.015,0.059
Hostomel,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Irpin,accumulator,B0_single_s1_coh_running_min,17,291,178,2263,0.055,0.087
Irpin,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Kharkiv,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Kharkiv,non_accumulator,B3_logratio_SAVI,219,44,870,750,0.833,0.201
Kherson,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Kherson,non_accumulator,B3_logratio_SAVI,11,2,108,21,0.846,0.092
Kramatorsk,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Kramatorsk,non_accumulator,B3_logratio_SAVI,14,11,25,130,0.56,0.359
Lysychansk,accumulator,B0_single_s1_coh_running_min,1112,5,6762,83,0.996,0.141
Lysychansk,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Makariv,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Makariv,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Mariupol,accumulator,B0_single_s1_coh_running_min,2971,340,17304,2000,0.897,0.147
Mariupol,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Moschun,accumulator,B0_single_s1_coh_running_min,2,83,4,873,0.024,0.333
Moschun,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Mykolaiv,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Mykolaiv,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Okhtyrka,accumulator,B0_single_s1_coh_running_min,1,37,5,215,0.026,0.167
Okhtyrka,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Rubizhne,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Rubizhne,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Sievierodonetsk,accumulator,B0_single_s1_coh_running_min,491,77,3416,434,0.864,0.126
Sievierodonetsk,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Trostianets,accumulator,B0_single_s1_coh_running_min,0,0,0,0,,
Trostianets,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
Volnovakha,accumulator,B0_single_s1_coh_running_min,14,160,122,1552,0.08,0.103
Volnovakha,non_accumulator,B3_logratio_SAVI,0,0,0,0,,
