model_id,variant_id,n,n_damaged,auc,n_cities,n_folds,TP,FN,FP,TN,is_leaky,is_degenerate
B0_single_s1_coh_drop_countM,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,598595,7332,0.829,21,1,6913,419,266630,324633,False,False
B0_single_s1_coh_running_minX,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw,598595,7332,0.8237,21,1,6918,414,267022,324241,False,False
CLF_F7_LightGBM,classifier=LightGBM;parquet=F7,480313,7186,0.8221,19,5,3759,3427,58156,414971,False,False
B0_single_s1_coh_running_minM,unsupervised_single_score;source=bda_coh_drop_v2;direction=+raw,598595,7332,0.8177,21,1,6915,417,267024,324239,False,False
B0_single_s1_coh_max_dropM,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,598595,7332,0.8092,21,1,6907,425,266855,324408,False,False
CLF_A17_GBM,classifier=GBM;parquet=A17,598595,7332,0.7989,21,5,32,7300,180,591083,False,False
CLF_F7_GBM,classifier=GBM;parquet=F7,480313,7186,0.7985,19,5,27,7159,469,472658,False,False
CLF_A17_LightGBM,classifier=LightGBM;parquet=A17,598595,7332,0.7944,21,5,4273,3059,106730,484533,False,False
B0_single_s1_coh_max_dropX,unsupervised_single_score;source=bda_coh_drop_v2;direction=-raw,598595,7332,0.7854,21,1,6773,559,266270,324993,False,False
CLF_F7_XGBoost,classifier=XGBoost;parquet=F7,480313,7186,0.7552,19,5,419,6767,1302,471825,False,False
NB08b_BDA_RGB+CARD_LogReg,dataset=BDA;feature_set=RGB+CARD;classifier=LogReg,598595,7332,0.7506,21,5,4507,2825,157218,434045,False,False
NB08b_BDA_RGB_ExtraTrees,dataset=BDA;feature_set=RGB;classifier=ExtraTrees,598595,7332,0.7503,21,5,3703,3629,110281,480982,False,False
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=LogReg,205942,6144,0.7483,12,5,3464,2680,39728,160070,False,False
CLF_A17_XGBoost,classifier=XGBoost;parquet=A17,598595,7332,0.7444,21,5,329,7003,1764,589499,False,False
B3_logratio_SAVI,unsupervised_logratio;sensor=optical;label=SAVI;direction=-logratio,3533,407,0.7407,5,1,323,84,1444,1682,False,False
NB08b_BDA_COH_DROP+RGB_LogReg,dataset=BDA;feature_set=COH_DROP+RGB;classifier=LogReg,205942,6144,0.7391,12,5,3196,2948,29657,170141,False,False
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=AdaBoost,205942,6144,0.7381,12,5,0,6144,0,199798,False,False
NB08b_BDA_RGB_RF-200,dataset=BDA;feature_set=RGB;classifier=RF-200,598595,7332,0.7375,21,5,3930,3402,118368,472895,False,False
NB08b_BDA_RGB+CARD_AdaBoost,dataset=BDA;feature_set=RGB+CARD;classifier=AdaBoost,598595,7332,0.7373,21,5,0,7332,0,591263,False,False
B3_logratio_NDVI,unsupervised_logratio;sensor=optical;label=NDVI;direction=-logratio,3533,407,0.7368,5,1,329,78,1438,1688,False,False
NB08b_BDA_RGB+CARD_ExtraTrees,dataset=BDA;feature_set=RGB+CARD;classifier=ExtraTrees,598595,7332,0.7329,21,5,2003,5329,31426,559837,False,False
NB08b_BDA_COH_DROP+RGB_AdaBoost,dataset=BDA;feature_set=COH_DROP+RGB;classifier=AdaBoost,205942,6144,0.7309,12,5,0,6144,0,199798,False,False
NB08b_BDA_RGB_LogReg,dataset=BDA;feature_set=RGB;classifier=LogReg,598595,7332,0.7307,21,5,3367,3965,79709,511554,False,False
NB08b_BDA_RGB_LightGBM,dataset=BDA;feature_set=RGB;classifier=LightGBM,598595,7332,0.7306,21,5,4643,2689,162300,428963,False,False
CLF_F7_ExtraTrees,classifier=ExtraTrees;parquet=F7,480313,7186,0.7201,19,5,333,6853,19016,454111,False,False
NB08b_BDA_RGB_UISEM_voting,dataset=BDA;feature_set=RGB;classifier=UISEM_voting,598595,7332,0.7194,21,5,8,7324,31,591232,False,False
NB08b_BDA_RGB_AdaBoost,dataset=BDA;feature_set=RGB;classifier=AdaBoost,598595,7332,0.7121,21,5,0,7332,0,591263,False,False
CLF_A9_LightGBM,classifier=LightGBM;parquet=A9,480313,7186,0.7105,19,5,2815,4371,81345,391782,False,False
NB08b_BDA_RGB+CARD_LightGBM,dataset=BDA;feature_set=RGB+CARD;classifier=LightGBM,598595,7332,0.7062,21,5,3854,3478,119533,471730,False,False
ABL_FUSION_MS_COH_SAR_ALL,scenario=FUSION_MS_COH;sensor=SAR_ALL;parquet=F7,480313,7186,0.7017,19,5,4157,3029,106620,366507,False,False
ABL_FUSION_MS_COH_COH,scenario=FUSION_MS_COH;sensor=COH;parquet=F7,480313,7186,0.7017,19,5,4157,3029,106620,366507,False,False
CLF_A17_ExtraTrees,classifier=ExtraTrees;parquet=A17,598595,7332,0.6996,21,5,738,6594,33964,557299,False,False
NB08b_BDA_CARD_LogReg,dataset=BDA;feature_set=CARD;classifier=LogReg,368288,6431,0.6932,21,5,4260,2171,139553,222304,False,False
NB08b_BDA_COH_DROP+CARD_LogReg,dataset=BDA;feature_set=COH_DROP+CARD;classifier=LogReg,130789,5427,0.6924,12,5,3101,2326,33701,91661,False,False
NB08b_BDA_COH_DROP+CARD_AdaBoost,dataset=BDA;feature_set=COH_DROP+CARD;classifier=AdaBoost,130789,5427,0.6868,12,5,0,5427,0,125362,False,False
NB08b_xBD_RGB_LightGBM,dataset=xBD;feature_set=RGB;classifier=LightGBM,70931,22559,0.677,19,5,13257,9302,15766,32606,False,False
NB08b_BDA_CARD_LightGBM,dataset=BDA;feature_set=CARD;classifier=LightGBM,368288,6431,0.675,21,5,3005,3426,86712,275145,False,False
ABL_ROLLING_SAR_SAR_ALL,scenario=ROLLING_SAR;sensor=SAR_ALL;parquet=A17,598595,7332,0.6706,21,5,641,6691,33784,557479,False,False
NB08b_xBD_RGB_ExtraTrees,dataset=xBD;feature_set=RGB;classifier=ExtraTrees,70931,22559,0.6688,19,5,10401,12158,10630,37742,False,False
NB08b_BDA_COH_DROP+RGB+CARD_GBM,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=GBM,205942,6144,0.6678,12,5,78,6066,1613,198185,False,False
R3b_card_ms,nb09a;cell=R3b,62043,8080,0.6674,19,5,104,7976,177,53786,False,False
R4b_tier0_all,nb09a;cell=R4b,39997,5459,0.6657,4,4,132,5327,220,34318,False,False
R3b_all_multimodal,nb09a;cell=R3b,62043,8080,0.6657,19,5,97,7983,165,53798,False,False
E7c_ExtraTrees,tree_ensemble;classifier=ExtraTrees,62043,8080,0.6617,19,5,180,7900,237,53726,False,False
R5_ExtraTrees_all_multimodal,nb09a;cell=R5,62043,8080,0.6617,19,5,180,7900,237,53726,False,False
NB08b_BDA_RGB_XGBoost,dataset=BDA;feature_set=RGB;classifier=XGBoost,598595,7332,0.6615,21,5,0,7332,0,591263,False,False
NB08b_xBD_RGB_UISEM_voting,dataset=xBD;feature_set=RGB;classifier=UISEM_voting,70931,22559,0.6602,19,5,7582,14977,6294,42078,False,False
NB08b_xBD_RGB_RF-200,dataset=xBD;feature_set=RGB;classifier=RF-200,70931,22559,0.6592,19,5,8314,14245,7574,40798,False,False
R3_ms_plus_blocks_F8,nb09a;cell=R3,62043,8080,0.6591,19,5,88,7992,169,53794,False,False
B5_sub_RF,uisem_sub_classifier;classifier=RF;features=all_multimodal,62043,8080,0.6591,19,5,88,7992,169,53794,False,False
E1_base_RF,stacking_base;classifier=RF;features=all_multimodal,62043,8080,0.6591,19,5,88,7992,169,53794,False,False
R5_RF-200_all_multimodal,nb09a;cell=R5,62043,8080,0.6591,19,5,88,7992,169,53794,False,False
NB08b_BDA_RGB_GBM,dataset=BDA;feature_set=RGB;classifier=GBM,598595,7332,0.6586,21,5,10,7322,48,591215,False,False
B6_AdaBoost_alone,uisem_sub_classifier;classifier=AdaBoost;features=all_multimodal,62043,8080,0.6575,19,5,6,8074,43,53920,False,False
ABL_FUSION_MS_COH_ALL,scenario=FUSION_MS_COH;sensor=ALL;parquet=F7,480313,7186,0.6567,19,5,211,6975,18873,454254,False,False
CLF_F7_RF_200,classifier=RF_200;parquet=F7,480313,7186,0.6567,19,5,211,6975,18873,454254,False,False
NB08b_BDA_RGB+CARD_XGBoost,dataset=BDA;feature_set=RGB+CARD;classifier=XGBoost,598595,7332,0.6562,21,5,9,7323,63,591200,False,False
NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=LightGBM,205942,6144,0.6558,12,5,2467,3677,28282,171516,False,False
E6_A_impute+obs_all_multimodal,nan_ablation;strategy=A_impute+obs;modality=all_multimodal,62043,8080,0.6558,19,5,120,7960,198,53765,False,False
D2_sar_+_ms,ablation=SAR + MS (multimodal),62043,8080,0.6554,19,5,33,8047,51,53912,False,False
B5_UISEM_all_features,uisem_ensemble;sub=RF+GB+XGB+AB;features=all_multimodal,62043,8080,0.6546,19,5,145,7935,262,53701,False,False
E5_HistGBM_native_NaN,histgbm_native_nan;imputation=none,62043,8080,0.6546,19,5,3345,4735,11533,42430,False,False
B7_UISEM_card+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+ms,62043,8080,0.6541,19,5,179,7901,336,53627,False,False
R4_tier0_ms,nb09a;cell=R4,39997,5459,0.6539,4,4,181,5278,249,34289,False,False
NB08b_xBD_RGB_GBM,dataset=xBD;feature_set=RGB;classifier=GBM,70931,22559,0.6528,19,5,7185,15374,6041,42331,False,False
NB08b_BDA_COH_DROP+RGB+CARD_XGBoost,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=XGBoost,205942,6144,0.6525,12,5,27,6117,46,199752,False,False
NB08b_xBD_RGB_XGBoost,dataset=xBD;feature_set=RGB;classifier=XGBoost,70931,22559,0.6524,19,5,7449,15110,6431,41941,False,False
E7c_HistGBM_imputed,tree_ensemble;classifier=HistGBM;imputation=median,62043,8080,0.652,19,5,3376,4704,11909,42054,False,False
R3b_ms_only,nb09a;cell=R3b,62043,8080,0.6515,19,5,224,7856,343,53620,False,False
R3b_coh_ms,nb09a;cell=R3b,62043,8080,0.6514,19,5,191,7889,242,53721,False,False
R3_ms_only_A9,nb09a;cell=R3,62043,8080,0.6504,19,5,237,7843,357,53606,False,False
E1_stacking_LogReg,stacking_meta;meta=LogReg;base=RF+GBM+XGB+LGBM,62043,8080,0.6487,19,5,141,7939,280,53683,False,False
NB08b_BDA_COH_DROP+RGB_GBM,dataset=BDA;feature_set=COH_DROP+RGB;classifier=GBM,205942,6144,0.6485,12,5,74,6070,1822,197976,False,False
E1_soft_voting,stacking_soft_voting;base=RF+GBM+XGB+LGBM,62043,8080,0.648,19,5,389,7691,798,53165,False,False
NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=ExtraTrees,205942,6144,0.6476,12,5,1551,4593,10745,189053,False,False
