model_id,fold_id,n,n_damaged,auc,cities,n_cities
CLF_F7_LightGBM,0,170104,238,0.5940526205183779,Kharkiv,1
CLF_F7_LightGBM,1,75995,575,0.6456701947355677,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
CLF_F7_LightGBM,2,76892,1371,0.7572046828097365,Avdiivka|Bucha|Lysychansk|Makariv,4
CLF_F7_LightGBM,3,78593,3759,0.7309151589027733,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
CLF_F7_LightGBM,4,78729,1243,0.8091807475500881,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
CLF_A17_GBM,0,170104,238,0.7256588905916646,Kharkiv,1
CLF_A17_GBM,1,113042,84,0.5,Mykolaiv,1
CLF_A17_GBM,2,107068,1628,0.7823179041703795,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
CLF_A17_GBM,3,103628,1947,0.6876142324868725,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
CLF_A17_GBM,4,104753,3435,0.7629097490705685,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
CLF_F7_GBM,0,170104,238,0.7851637281665518,Kharkiv,1
CLF_F7_GBM,1,75995,575,0.6743115192602587,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
CLF_F7_GBM,2,76892,1371,0.7545317603150286,Avdiivka|Bucha|Lysychansk|Makariv,4
CLF_F7_GBM,3,78593,3759,0.7958701612321998,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
CLF_F7_GBM,4,78729,1243,0.7966748577673668,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
CLF_A17_LightGBM,0,170104,238,0.7022750483401301,Kharkiv,1
CLF_A17_LightGBM,1,113042,84,0.37946394319338245,Mykolaiv,1
CLF_A17_LightGBM,2,107068,1628,0.7235739557972581,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
CLF_A17_LightGBM,3,103628,1947,0.6839329383590858,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
CLF_A17_LightGBM,4,104753,3435,0.6664161877746785,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
CLF_F7_XGBoost,0,170104,238,0.4689477553587222,Kharkiv,1
CLF_F7_XGBoost,1,75995,575,0.6109377399605685,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
CLF_F7_XGBoost,2,76892,1371,0.7122518928587216,Avdiivka|Bucha|Lysychansk|Makariv,4
CLF_F7_XGBoost,3,78593,3759,0.6643602831623006,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
CLF_F7_XGBoost,4,78729,1243,0.7737843707535864,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB08b_BDA_RGB+CARD_LogReg,0,170104,238,0.8047570145998424,Kharkiv,1
NB08b_BDA_RGB+CARD_LogReg,1,113042,84,0.4345808260803214,Mykolaiv,1
NB08b_BDA_RGB+CARD_LogReg,2,107068,1628,0.7463986004127316,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB+CARD_LogReg,3,103628,1947,0.7005229634780278,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB+CARD_LogReg,4,104753,3435,0.6995844536117322,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_BDA_RGB_ExtraTrees,0,170104,238,0.8220269422452319,Kharkiv,1
NB08b_BDA_RGB_ExtraTrees,1,113042,84,0.6950078474173713,Mykolaiv,1
NB08b_BDA_RGB_ExtraTrees,2,107068,1628,0.7429767135867762,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB_ExtraTrees,3,103628,1947,0.716962192710541,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB_ExtraTrees,4,104753,3435,0.7324067810996335,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,0,41600,1071,0.7551406689482113,Lysychansk,1
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,1,41496,3144,0.713919469749082,Avdiivka|Mariupol,2
