model_id,fold_id,n,n_damaged,auc,cities,n_cities
NB11e_dietrich28__block_stats__LightGBM-Optuna,0,170104,238,0.7360415802787506,Kharkiv,1
NB11e_dietrich28__block_stats__LightGBM-Optuna,1,113042,84,0.6359404865187989,Mykolaiv,1
NB11e_dietrich28__block_stats__LightGBM-Optuna,2,107068,1628,0.7793527875932561,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11e_dietrich28__block_stats__LightGBM-Optuna,3,103628,1947,0.7159527944902078,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11e_dietrich28__block_stats__LightGBM-Optuna,4,104753,3435,0.858107123368731,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11e_dietrich28__block_stats__XGBoost-Optuna,0,170104,238,0.7482984857960703,Kharkiv,1
NB11e_dietrich28__block_stats__XGBoost-Optuna,1,113042,84,0.6245812813696453,Mykolaiv,1
NB11e_dietrich28__block_stats__XGBoost-Optuna,2,107068,1628,0.7817708139146873,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11e_dietrich28__block_stats__XGBoost-Optuna,3,103628,1947,0.7170917710472373,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11e_dietrich28__block_stats__XGBoost-Optuna,4,104753,3435,0.8497323615360897,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,0,170104,238,0.5972827246825401,Kharkiv,1
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,1,113042,84,0.39352916886933953,Mykolaiv,1
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,2,107068,1628,0.7412053340069273,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,3,103628,1947,0.6570116359406695,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,4,104753,3435,0.8281881914273802,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,0,170104,238,0.6895477028012293,Kharkiv,1
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,1,72963,956,0.7822685169555516,Avdiivka|Chernihiv|Sievierodonetsk,3
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,2,74783,1301,0.6617635014162435,Bucha|Kramatorsk|Lysychansk|Makariv,4
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,3,70958,3546,0.7530856839485482,Irpin|Kherson|Mariupol|Moschun|Volnovakha,5
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,4,77896,714,0.7788510107471249,Chornobaivka|Dmytrivka|Hostomel|Okhtyrka|Trostianets,5
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,0,170104,238,0.6990843969250304,Kharkiv,1
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,1,113042,84,0.37946394319338245,Mykolaiv,1
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,2,107068,1628,0.7309886871628146,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,3,103628,1947,0.6521668669541737,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,4,104753,3435,0.8231666734333766,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,0,170104,238,0.7751129857474409,Kharkiv,1
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,1,72963,956,0.785672968626423,Avdiivka|Chernihiv|Sievierodonetsk,3
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,2,74783,1301,0.6627170623138168,Bucha|Kramatorsk|Lysychansk|Makariv,4
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,3,70958,3546,0.7491160981813847,Irpin|Kherson|Mariupol|Moschun|Volnovakha,5
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,4,77896,714,0.7680033014475516,Chornobaivka|Dmytrivka|Hostomel|Okhtyrka|Trostianets,5
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,0,170104,238,0.8330322680447969,Kharkiv,1
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,1,113042,84,0.654688236419942,Mykolaiv,1
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,2,100849,769,0.7076848144371369,Chernihiv|Irpin|Kherson|Trostianets|Volnovakha,5
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,3,99957,1813,0.6545472862146031,Borodyanka|Chornobaivka|Dmytrivka|Hostomel|Kramatorsk|Lysychansk,6
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,4,101034,3997,0.7710323471913373,Avdiivka|Bucha|Makariv|Mariupol|Moschun|Okhtyrka|Sievierodonetsk,7
NB11e_dietrich28__block_stats__RF-200-Optuna,0,170104,238,0.6957769703197587,Kharkiv,1
NB11e_dietrich28__block_stats__RF-200-Optuna,1,113042,84,0.6262115754781171,Mykolaiv,1
NB11e_dietrich28__block_stats__RF-200-Optuna,2,107068,1628,0.7762194715580527,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11e_dietrich28__block_stats__RF-200-Optuna,3,103628,1947,0.6801992986848447,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11e_dietrich28__block_stats__RF-200-Optuna,4,104753,3435,0.8843834405188812,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,0,170104,238,0.4785752897464308,Kharkiv,1
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,1,72963,956,0.756267209435066,Avdiivka|Chernihiv|Sievierodonetsk,3
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,2,74783,1301,0.6644552616597128,Bucha|Kramatorsk|Lysychansk|Makariv,4
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,3,70958,3546,0.7489949421307347,Irpin|Kherson|Mariupol|Moschun|Volnovakha,5
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,4,77896,714,0.7429726107747651,Chornobaivka|Dmytrivka|Hostomel|Okhtyrka|Trostianets,5
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,0,170104,238,0.6814949020122337,Kharkiv,1
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,1,113042,84,0.5,Mykolaiv,1
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,2,107068,1628,0.7227651099592489,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,3,103628,1947,0.6189259851601814,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,4,104753,3435,0.8231940376636515,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,0,170104,238,0.7116708132866371,Kharkiv,1
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,1,113042,84,0.6252077784494702,Mykolaiv,1
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,2,107068,1628,0.769364739964133,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,3,103628,1947,0.6932225756527381,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,4,104753,3435,0.8874930396989226,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,0,170104,238,0.6182038867611612,Kharkiv,1
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,1,75995,575,0.619748342614691,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,2,76892,1371,0.6627314890537545,Avdiivka|Bucha|Lysychansk|Makariv,4
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,3,78593,3759,0.7106688466659803,Irpin|Kherson|Mariupol|Rubizhne|Trostianets,5
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,4,78729,1243,0.8005878787560389,Dmytrivka|Hostomel|Kramatorsk|Okhtyrka|Sievierodonetsk,5
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,0,170104,238,0.7244444261403477,Kharkiv,1
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,1,72963,956,0.775757919688538,Avdiivka|Chernihiv|Sievierodonetsk,3
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,2,74783,1301,0.6614582035609551,Bucha|Kramatorsk|Lysychansk|Makariv,4
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,3,70958,3546,0.708570280290046,Irpin|Kherson|Mariupol|Moschun|Volnovakha,5
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,4,77896,714,0.7701957801077984,Chornobaivka|Dmytrivka|Hostomel|Okhtyrka|Trostianets,5
NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,0,170104,238,0.796257705158995,Kharkiv,1
