model_id,fold_id,n,n_damaged,auc,cities,n_cities
B5_UISEM_ExtraTrees_Optuna,0,22615,3311,0.7361745602916248,Mariupol,1
B5_UISEM_ExtraTrees_Optuna,1,10110,1295,0.6799800708252213,Avdiivka|Lysychansk|Moschun,3
B5_UISEM_ExtraTrees_Optuna,2,9736,1007,0.6309237787088503,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B5_UISEM_ExtraTrees_Optuna,3,9780,1313,0.6870068833159084,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B5_UISEM_ExtraTrees_Optuna,4,9802,1154,0.6669037791569202,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B5_UISEM_RF_Optuna,0,22615,3311,0.7361397956653549,Mariupol,1
B5_UISEM_RF_Optuna,1,10110,1295,0.6689810935641906,Avdiivka|Lysychansk|Moschun,3
B5_UISEM_RF_Optuna,2,9736,1007,0.6435178290857342,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B5_UISEM_RF_Optuna,3,9780,1313,0.6721812590631197,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B5_UISEM_RF_Optuna,4,9802,1154,0.6618794259439476,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B5_UISEM_LightGBM_Optuna,0,22615,3311,0.7193221651997518,Mariupol,1
B5_UISEM_LightGBM_Optuna,1,10110,1295,0.664858163406093,Avdiivka|Lysychansk|Moschun,3
B5_UISEM_LightGBM_Optuna,2,9736,1007,0.6353746935616112,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B5_UISEM_LightGBM_Optuna,3,9780,1313,0.6707239638573519,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B5_UISEM_LightGBM_Optuna,4,9802,1154,0.6773211305405964,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B5_UISEM_Tuned_Voting,0,22615,3311,0.7191401281040494,Mariupol,1
B5_UISEM_Tuned_Voting,1,10110,1295,0.6664864864864865,Avdiivka|Lysychansk|Moschun,3
B5_UISEM_Tuned_Voting,2,9736,1007,0.6274536259700257,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B5_UISEM_Tuned_Voting,3,9780,1313,0.6711703004298485,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B5_UISEM_Tuned_Voting,4,9802,1154,0.6876673381569476,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
R3b_card_ms,0,22615,3311,0.7069013525098058,Mariupol,1
R3b_card_ms,1,10110,1295,0.656208375947457,Avdiivka|Lysychansk|Moschun,3
R3b_card_ms,2,9736,1007,0.6471469105652118,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
R3b_card_ms,3,9780,1313,0.6496855180153297,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
R3b_card_ms,4,9802,1154,0.6782253578030484,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
R4b_tier0_all,0,22615,3311,0.681959078686712,Mariupol,1
R4b_tier0_all,1,7962,1117,0.692459061204978,Lysychansk,1
R4b_tier0_all,2,5002,463,0.6546334455834413,Rubizhne,1
R4b_tier0_all,3,4418,568,0.7553084415584416,Sievierodonetsk,1
R3b_all_multimodal,0,22615,3311,0.7071334087370045,Mariupol,1
R3b_all_multimodal,1,10110,1295,0.6608949294485313,Avdiivka|Lysychansk|Moschun,3
R3b_all_multimodal,2,9736,1007,0.626956134643701,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
R3b_all_multimodal,3,9780,1313,0.650597530612779,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
R3b_all_multimodal,4,9802,1154,0.6790774797711215,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B5_UISEM_XGBoost_Optuna,0,22615,3311,0.709429751548387,Mariupol,1
B5_UISEM_XGBoost_Optuna,1,10110,1295,0.664152889620842,Avdiivka|Lysychansk|Moschun,3
B5_UISEM_XGBoost_Optuna,2,9736,1007,0.6094806852661453,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B5_UISEM_XGBoost_Optuna,3,9780,1313,0.6580124116108316,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B5_UISEM_XGBoost_Optuna,4,9802,1154,0.6962006322376257,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B5_sub_RF_full_F8,0,22615,3311,0.7028395080232752,Mariupol,1
B5_sub_RF_full_F8,1,10110,1295,0.6598256744711651,Avdiivka|Lysychansk|Moschun,3
B5_sub_RF_full_F8,2,9736,1007,0.6284385973634211,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B5_sub_RF_full_F8,3,9780,1313,0.6517386482586263,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B5_sub_RF_full_F8,4,9802,1154,0.6799506442619246,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
E7c_ExtraTrees,0,22615,3311,0.7156974444276029,Mariupol,1
E7c_ExtraTrees,1,10110,1295,0.6622642170571835,Avdiivka|Lysychansk|Moschun,3
E7c_ExtraTrees,2,9736,1007,0.6563355400954914,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
E7c_ExtraTrees,3,9780,1313,0.6537504910197028,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
E7c_ExtraTrees,4,9802,1154,0.6787672528645888,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
R5_ExtraTrees_all_multimodal,0,22615,3311,0.7156974444276029,Mariupol,1
R5_ExtraTrees_all_multimodal,1,10110,1295,0.6622642170571835,Avdiivka|Lysychansk|Moschun,3
R5_ExtraTrees_all_multimodal,2,9736,1007,0.6563355400954914,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
R5_ExtraTrees_all_multimodal,3,9780,1313,0.6537504910197028,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
R5_ExtraTrees_all_multimodal,4,9802,1154,0.6787672528645888,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
R3_ms_plus_blocks_F8,0,22615,3311,0.6996988009677271,Mariupol,1
R3_ms_plus_blocks_F8,1,10110,1295,0.6539616790439253,Avdiivka|Lysychansk|Moschun,3
R3_ms_plus_blocks_F8,2,9736,1007,0.6360271318777493,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
R3_ms_plus_blocks_F8,3,9780,1313,0.6460648127117952,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
R3_ms_plus_blocks_F8,4,9802,1154,0.6790008248668911,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B5_sub_RF,0,22615,3311,0.6996988009677271,Mariupol,1
B5_sub_RF,1,10110,1295,0.6539616790439253,Avdiivka|Lysychansk|Moschun,3
B5_sub_RF,2,9736,1007,0.6360271318777493,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B5_sub_RF,3,9780,1313,0.6460648127117952,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B5_sub_RF,4,9802,1154,0.6790008248668911,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
R5_RF-200_all_multimodal,0,22615,3311,0.6996988009677271,Mariupol,1
R5_RF-200_all_multimodal,1,10110,1295,0.6539616790439253,Avdiivka|Lysychansk|Moschun,3
R5_RF-200_all_multimodal,2,9736,1007,0.6360271318777493,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
R5_RF-200_all_multimodal,3,9780,1313,0.6460648127117952,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
R5_RF-200_all_multimodal,4,9802,1154,0.6790008248668911,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
E1_base_RF,0,22615,3311,0.6996988009677271,Mariupol,1
E1_base_RF,1,10110,1295,0.6539616790439253,Avdiivka|Lysychansk|Moschun,3
E1_base_RF,2,9736,1007,0.6360271318777493,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
E1_base_RF,3,9780,1313,0.6460648127117952,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
E1_base_RF,4,9802,1154,0.6790008248668911,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B6_AdaBoost_alone,0,22615,3311,0.7179739016224285,Mariupol,1
B6_AdaBoost_alone,1,10110,1295,0.6388002636783124,Avdiivka|Lysychansk|Moschun,3
B6_AdaBoost_alone,2,9736,1007,0.5983797345719385,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B6_AdaBoost_alone,3,9780,1313,0.654976297477119,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B6_AdaBoost_alone,4,9802,1154,0.6332320853981726,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B6_UISEM_Model1_full_F8,0,22615,3311,0.6984884694089437,Mariupol,1
B6_UISEM_Model1_full_F8,1,10110,1295,0.6531502331275445,Avdiivka|Lysychansk|Moschun,3
B6_UISEM_Model1_full_F8,2,9736,1007,0.6126720016818916,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B6_UISEM_Model1_full_F8,3,9780,1313,0.6698709590776287,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B6_UISEM_Model1_full_F8,4,9802,1154,0.6952594803579072,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
E6_A_impute+obs_all_multimodal,0,22615,3311,0.6979414976112852,Mariupol,1
E6_A_impute+obs_all_multimodal,1,10110,1295,0.6537381218833289,Avdiivka|Lysychansk|Moschun,3
E6_A_impute+obs_all_multimodal,2,9736,1007,0.6315538054559771,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
E6_A_impute+obs_all_multimodal,3,9780,1313,0.6179683662327403,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
E6_A_impute+obs_all_multimodal,4,9802,1154,0.6809554748235234,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
D2_sar_+_ms,0,22615,3311,0.6843277434985143,Mariupol,1
D2_sar_+_ms,1,10110,1295,0.6377050788735417,Avdiivka|Lysychansk|Moschun,3
D2_sar_+_ms,2,9736,1007,0.6289076476123203,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
D2_sar_+_ms,3,9780,1313,0.6309366384667466,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
D2_sar_+_ms,4,9802,1154,0.6860317329258966,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B5_UISEM_all_features,0,22615,3311,0.6939327544485893,Mariupol,1
B5_UISEM_all_features,1,10110,1295,0.6481792399319342,Avdiivka|Lysychansk|Moschun,3
B5_UISEM_all_features,2,9736,1007,0.6138009986913691,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B5_UISEM_all_features,3,9780,1313,0.6723331862035764,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B5_UISEM_all_features,4,9802,1154,0.6976765648021522,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
E5_HistGBM_native_NaN,0,22615,3311,0.7017960685744926,Mariupol,1
E5_HistGBM_native_NaN,1,10110,1295,0.6501233637819004,Avdiivka|Lysychansk|Moschun,3
E5_HistGBM_native_NaN,2,9736,1007,0.6044139642049701,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
E5_HistGBM_native_NaN,3,9780,1313,0.6351250691385425,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
E5_HistGBM_native_NaN,4,9802,1154,0.6749686767018792,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
B7_UISEM_card+ms,0,22615,3311,0.6921089258037137,Mariupol,1
B7_UISEM_card+ms,1,10110,1295,0.6475381775098167,Avdiivka|Lysychansk|Moschun,3
B7_UISEM_card+ms,2,9736,1007,0.6124254744227685,Bucha|Irpin|Kramatorsk|Rubizhne|Trostianets,5
B7_UISEM_card+ms,3,9780,1313,0.6426527036419607,Chernihiv|Hostomel|Kharkiv|Kherson|Makariv,5
B7_UISEM_card+ms,4,9802,1154,0.6997508565308775,Chornobaivka|Dmytrivka|Okhtyrka|Sievierodonetsk|Volnovakha,5
R4_tier0_ms,0,22615,3311,0.6506418454327793,Mariupol,1
R4_tier0_ms,1,7962,1117,0.7087585250328118,Lysychansk,1
R4_tier0_ms,2,5002,463,0.6376265311861634,Rubizhne,1
R4_tier0_ms,3,4418,568,0.7666537863544906,Sievierodonetsk,1
E7c_HistGBM_imputed,0,22615,3311,0.6978128434610522,Mariupol,1
