model_id,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
D4_f8_strategy_A_drop_nan,5,0.4284,0.1885,0.4401,0.2206,0.7113,0.4906
R4b_tier2_all,5,0.6901,0.233,0.3376,0.5073,0.9702,0.4628
R4_tier2_ms,5,0.698,0.2123,0.3042,0.464,0.9177,0.4537
CLF_F7_RF_200,5,0.5204,0.1189,0.2285,0.3216,0.629,0.3074
ABL_FUSION_MS_COH_ALL,5,0.5204,0.1189,0.2285,0.3216,0.629,0.3074
CLF_A17_LightGBM,5,0.6311,0.1423,0.2254,0.3795,0.7236,0.3441
CLF_F7_ExtraTrees,5,0.5578,0.1211,0.2171,0.3551,0.6785,0.3234
NB08b_BDA_RGB+CARD_ExtraTrees,5,0.6698,0.1412,0.2108,0.4229,0.7726,0.3498
NB08b_BDA_RGB+CARD_LogReg,5,0.6772,0.1423,0.2101,0.4346,0.8048,0.3702
ABL_ROLLING_SAR_CARD,5,0.5469,0.1146,0.2095,0.4484,0.7123,0.264
CLF_A17_XGBoost,5,0.5952,0.1243,0.2089,0.3795,0.6883,0.3088
CLF_A9_ExtraTrees,5,0.5986,0.1249,0.2087,0.4672,0.7841,0.3169
CLF_A9_RF_200,5,0.5795,0.1113,0.1921,0.4618,0.7413,0.2795
ABL_PREPOST_MS_MS,5,0.5795,0.1113,0.1921,0.4618,0.7413,0.2795
ABL_PREPOST_MS_ALL,5,0.5795,0.1113,0.1921,0.4618,0.7413,0.2795
NB08b_BDA_COH_DROP_AdaBoost,5,0.6285,0.1201,0.191,0.4838,0.7709,0.2872
ABL_FUSION_MS_COH_MS,5,0.5839,0.1101,0.1885,0.4667,0.7463,0.2796
NB08b_BDA_CARD_AdaBoost,5,0.6955,0.1275,0.1834,0.5924,0.9104,0.318
NB08b_BRIGHT_all_LogReg,5,0.5836,0.1061,0.1818,0.4545,0.7336,0.2792
CLF_F7_XGBoost,5,0.6461,0.1158,0.1792,0.4689,0.7738,0.3048
NB08b_BDA_CARD_LightGBM,5,0.6885,0.1217,0.1767,0.6154,0.9047,0.2893
NB08b_BDA_RGB+CARD_LightGBM,5,0.6502,0.1143,0.1758,0.451,0.7253,0.2743
NB08b_BDA_CARD_LogReg,5,0.7121,0.1215,0.1707,0.6132,0.9118,0.2986
CLF_A17_GBM,5,0.6917,0.1131,0.1636,0.5,0.7823,0.2823
NB08b_BDA_COH_DROP_GBM,5,0.6183,0.0997,0.1612,0.5019,0.7344,0.2325
CLF_A9_XGBoost,5,0.6639,0.1021,0.1538,0.5465,0.7624,0.216
NB08b_BDA_COH_DROP+RGB+CARD_RF-200,5,0.5695,0.0867,0.1522,0.473,0.6846,0.2116
NB08b_BRIGHT_all_AdaBoost,5,0.5986,0.0899,0.1502,0.4669,0.6928,0.226
NB08b_BDA_RGB+CARD_UISEM_voting,5,0.5685,0.0847,0.149,0.4263,0.6442,0.2179
NB08b_BRIGHT_all_ExtraTrees,5,0.5895,0.0873,0.1482,0.4636,0.6855,0.2219
NB08b_BDA_COH_DROP_UISEM_voting,5,0.6167,0.0907,0.1471,0.5003,0.7115,0.2112
ABL_PREPOST_SAR_ALL,5,0.5474,0.0799,0.1459,0.4718,0.6794,0.2076
D3_leaky,5,0.6187,0.0892,0.1443,0.528,0.7134,0.1854
NB08b_BRIGHT_all_GBM,5,0.5978,0.0845,0.1414,0.4721,0.669,0.1969
NB08b_BRIGHT_all_LightGBM,5,0.5882,0.0812,0.1381,0.4685,0.663,0.1945
ABL_ROLLING_SAR_SAR_ALL,5,0.4764,0.0656,0.1378,0.3795,0.5437,0.1642
NB08b_BDA_COH_DROP_LogReg,5,0.64,0.0876,0.1369,0.5387,0.7268,0.1881
NB08b_BRIGHT_all_XGBoost,5,0.5836,0.0798,0.1367,0.4679,0.6574,0.1895
CLF_A9_LightGBM,5,0.7017,0.0952,0.1357,0.5943,0.7895,0.1952
NB08b_BDA_CARD_ExtraTrees,5,0.705,0.0948,0.1345,0.6519,0.8735,0.2216
CLF_A17_RF_200,5,0.5222,0.0693,0.1326,0.4295,0.6205,0.191
ABL_ROLLING_SAR_ALL,5,0.5222,0.0693,0.1326,0.4295,0.6205,0.191
