model_id,modality,modality_family,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
R1_random_cv,other,other,5,0.7831,0.0062,0.0079,0.7752,0.7905,0.0153
CLF_F7_GBM,multimodal_all,multimodal,5,0.7613,0.0515,0.0677,0.6743,0.7967,0.1224
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal_all,multimodal,5,0.7481,0.0496,0.0663,0.6627,0.7857,0.123
NB11e_dietrich28__block_stats__LightGBM-Optuna,multimodal_all,multimodal,5,0.7451,0.0818,0.1098,0.6359,0.8581,0.2222
NB11e_dietrich28__block_stats__XGBoost-Optuna,multimodal_all,multimodal,5,0.7443,0.0831,0.1116,0.6246,0.8497,0.2252
B5_sub_GBM,multimodal_all,multimodal,5,0.7427,0.0475,0.0639,0.6887,0.8124,0.1237
NB08b_BDA_RGB_LogReg,MS_only,MS,5,0.7421,0.0483,0.0651,0.695,0.8223,0.1273
NB08b_BDA_RGB_ExtraTrees,MS_only,MS,5,0.7419,0.0483,0.0651,0.695,0.822,0.127
NB11f_R3_sensor_ablations__fusion_composite_cohdrop__ms_plus_cohdrop_F7__RF-200-Optuna,multimodal_all,multimodal,5,0.7417,0.0475,0.064,0.6606,0.7837,0.1231
NB08b_BDA_RGB_UISEM_voting,MS_only,MS,5,0.7406,0.0473,0.0639,0.6936,0.8189,0.1252
NB08b_BDA_RGB_GBM,MS_only,MS,5,0.7398,0.0459,0.0621,0.6938,0.8158,0.122
NB08b_BDA_RGB_LightGBM,MS_only,MS,5,0.7396,0.0474,0.0641,0.6934,0.8185,0.1251
NB08b_BDA_RGB_RF-200,MS_only,MS,5,0.7395,0.0465,0.0629,0.6926,0.8161,0.1235
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal_all,multimodal,5,0.7374,0.0984,0.1335,0.6252,0.8875,0.2623
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,multimodal_SAR+MS,multimodal,5,0.7331,0.0545,0.0744,0.6618,0.7823,0.1205
NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal_all,multimodal,5,0.7326,0.1005,0.1371,0.6262,0.8844,0.2582
R5_XGBoost_dietrich28,other,other,5,0.7288,0.0772,0.1059,0.6354,0.8354,0.2
NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal_all,multimodal,5,0.7287,0.0888,0.1218,0.6205,0.8225,0.2019
NB08b_BDA_COH_DROP+RGB_LogReg,SAR_coh_unsupervised,SAR,5,0.7286,0.044,0.0603,0.6629,0.7706,0.1077
R5_GBM_dietrich28,other,other,5,0.7284,0.0818,0.1123,0.6401,0.8485,0.2084
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal_all,multimodal,5,0.7281,0.0471,0.0647,0.6615,0.7758,0.1143
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,SAR_card+coh,SAR,5,0.7242,0.0774,0.1069,0.6545,0.833,0.1785
NB08b_BDA_COH_DROP+RGB+CARD_GBM,SAR_coh_unsupervised,SAR,5,0.7201,0.0328,0.0456,0.69,0.7555,0.0655
D1i_allblocks_random,other,other,5,0.7199,0.0071,0.0098,0.7105,0.7263,0.0158
NB08b_BDA_COH_DROP+RGB_GBM,SAR_coh_unsupervised,SAR,5,0.7198,0.0401,0.0558,0.6803,0.7714,0.0912
NB11f_R3_sensor_ablations__fusion_composite_blockstats__ms_plus_blocks_F8__RF-200-Optuna,multimodal_all,multimodal,5,0.7185,0.0901,0.1253,0.6146,0.8122,0.1975
NB11e_all_multimodal__fusion_composite_blockstats__RF-200-Optuna,multimodal_all,multimodal,5,0.7181,0.0893,0.1244,0.6153,0.8102,0.1949
NB08b_BDA_COH_DROP+RGB+CARD_LogReg,SAR_coh_unsupervised,SAR,5,0.717,0.0442,0.0616,0.6523,0.761,0.1087
NB11e_all_multimodal__fusion_composite_blockstats__XGBoost-Optuna,multimodal_all,multimodal,5,0.7142,0.0807,0.1129,0.6052,0.8149,0.2097
NB11e_all_multimodal__fusion_composite_blockstats__ExtraTrees-Optuna,multimodal_all,multimodal,5,0.7139,0.0801,0.1122,0.6204,0.8028,0.1824
NB08b_BDA_CARD_LogReg,other,other,5,0.7121,0.1215,0.1707,0.6132,0.9118,0.2986
NB11e_all_multimodal__fusion_composite_blockstats__LightGBM-Optuna,multimodal_all,multimodal,5,0.7113,0.0849,0.1194,0.6062,0.7967,0.1905
NB08b_BDA_COH_DROP+RGB_XGBoost,SAR_coh_unsupervised,SAR,5,0.7101,0.0466,0.0656,0.6696,0.7713,0.1017
NB11f_R3_sensor_ablations__block_stats__card_block_stats_A15__RF-200-Optuna,multimodal_all,multimodal,5,0.7077,0.0797,0.1127,0.6418,0.8271,0.1853
CLF_F7_LightGBM,multimodal_all,multimodal,5,0.7074,0.0867,0.1225,0.5941,0.8092,0.2151
NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_bands__LightGBM-MIA-Optuna,MS_only,MS,5,0.7056,0.0371,0.0526,0.6403,0.7275,0.0872
NB08b_BDA_CARD_ExtraTrees,other,other,5,0.705,0.0948,0.1345,0.6519,0.8735,0.2216
NB08b_BDA_RGB+CARD_XGBoost,multimodal_SAR+MS,multimodal,5,0.7046,0.0498,0.0707,0.6263,0.7456,0.1193
NB08b_BDA_COH_DROP+RGB+CARD_XGBoost,SAR_coh_unsupervised,SAR,5,0.7022,0.041,0.0583,0.6446,0.7455,0.1009
CLF_A9_GBM,other,other,5,0.7021,0.0853,0.1215,0.5997,0.8061,0.2064
CLF_A9_LightGBM,other,other,5,0.7017,0.0952,0.1357,0.5943,0.7895,0.1952
NB08b_BDA_RGB+CARD_GBM,multimodal_SAR+MS,multimodal,5,0.7016,0.0641,0.0913,0.5939,0.7523,0.1584
R5_XGBoost_all_multimodal,multimodal_all,multimodal,5,0.6947,0.075,0.108,0.5974,0.8045,0.2072
E7d_MLP_256_128_64,other,other,5,0.6932,0.0854,0.1232,0.5993,0.7683,0.169
E7b_LDA,other,other,5,0.6931,0.0806,0.1162,0.5991,0.7977,0.1986
NB08b_xBD_RGB_UISEM_voting,MS_only,MS,5,0.6925,0.0839,0.1211,0.596,0.8033,0.2073
CLF_A17_GBM,multimodal_all,multimodal,5,0.6917,0.1131,0.1636,0.5,0.7823,0.2823
NB11f_R3_sensor_ablations__composite_prepost_bands__ms_only_A9__RF-200-Optuna,MS_only,MS,5,0.6914,0.0922,0.1333,0.553,0.7862,0.2332
E7c_HistGBM_imputed,other,other,5,0.6909,0.0883,0.1277,0.6033,0.8218,0.2185
R5_LightGBM_dietrich28,other,other,5,0.6896,0.0582,0.0844,0.6076,0.7471,0.1395
NB08b_xBD_RGB_LightGBM,MS_only,MS,5,0.6893,0.0827,0.12,0.5964,0.7971,0.2006
NB11c_A13_A14_A19_card_changes__prepost_single_card__LightGBM-MIA-Optuna,SAR_card_only,SAR,5,0.6887,0.0822,0.1194,0.5885,0.7769,0.1884
NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal_all,multimodal,5,0.6887,0.0722,0.1049,0.6205,0.7931,0.1726
NB08b_BDA_CARD_LightGBM,other,other,5,0.6885,0.1217,0.1767,0.6154,0.9047,0.2893
NB08b_xBD_RGB_ExtraTrees,MS_only,MS,5,0.6883,0.0742,0.1078,0.5901,0.7913,0.2012
NB08b_BDA_CARD_XGBoost,other,other,5,0.688,0.0876,0.1274,0.6276,0.8429,0.2153
NB08b_xBD_RGB_RF-200,MS_only,MS,5,0.6879,0.0768,0.1116,0.5938,0.7919,0.1981
NB08b_BDA_CARD_GBM,other,other,5,0.6866,0.0897,0.1306,0.6298,0.8455,0.2158
NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,SAR_coh_unsupervised,SAR,5,0.6862,0.0515,0.0751,0.615,0.7379,0.1229
NB08b_xBD_RGB_XGBoost,MS_only,MS,5,0.686,0.0829,0.1209,0.5965,0.7938,0.1973
NB08b_xBD_RGB_GBM,MS_only,MS,5,0.686,0.0855,0.1246,0.5901,0.8001,0.21
R4_tier0_dietrich28,other,other,4,0.6855,0.0553,0.0806,0.6163,0.7436,0.1273
R4b_tier0_card,other,other,4,0.6855,0.0553,0.0806,0.6163,0.7436,0.1273
E7b_RidgeClassifier,other,other,5,0.6846,0.0908,0.1327,0.5813,0.7904,0.2091
NB08b_BDA_COH_DROP+RGB_ExtraTrees,SAR_coh_unsupervised,SAR,5,0.6844,0.0696,0.1017,0.5951,0.7694,0.1743
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal_all,multimodal,5,0.6824,0.0762,0.1116,0.6182,0.8006,0.1824
NB11d_A9_A10_composite_prepost__composite_prepost_bands__LightGBM-MIA-Optuna,MS_only,MS,5,0.682,0.0894,0.1311,0.5488,0.7832,0.2344
R5_ExtraTrees_dietrich28,other,other,5,0.6816,0.0455,0.0668,0.608,0.713,0.105
E1_stacking_LogReg,other,other,5,0.6804,0.0983,0.1445,0.5828,0.8221,0.2393
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal_all,multimodal,5,0.6783,0.1176,0.1734,0.4786,0.7563,0.2777
E7d_MLP_128_64,other,other,5,0.6775,0.0702,0.1036,0.6087,0.779,0.1703
NB08b_BDA_RGB+CARD_LogReg,multimodal_SAR+MS,multimodal,5,0.6772,0.1423,0.2101,0.4346,0.8048,0.3702
NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,SAR_coh_unsupervised,SAR,5,0.675,0.0442,0.0654,0.6286,0.7293,0.1007
B5_UISEM_all_features,multimodal_all,multimodal,5,0.6715,0.0765,0.1139,0.606,0.7624,0.1565
E1_base_GBM,multimodal_all,multimodal,5,0.6708,0.0582,0.0868,0.6138,0.7437,0.1299
NB08b_BDA_RGB+CARD_ExtraTrees,multimodal_SAR+MS,multimodal,5,0.6698,0.1412,0.2108,0.4229,0.7726,0.3498
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,other,other,5,0.6693,0.1203,0.1798,0.5,0.8232,0.3232
