model_id,modality,modality_family,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
R4_tier2_ms,other,other,5,0.698,0.2123,0.3042,0.464,0.9177,0.4537
R4b_tier0_all,other,other,4,0.6961,0.0426,0.0612,0.6546,0.7553,0.1007
R4_tier0_ms,other,other,4,0.6909,0.0592,0.0857,0.6376,0.7667,0.129
B5_UISEM_ExtraTrees_Optuna,other,other,5,0.6802,0.038,0.0559,0.6309,0.7362,0.1053
B5_UISEM_RF_Optuna,other,other,5,0.6765,0.0351,0.0519,0.6435,0.7361,0.0926
B5_UISEM_Tuned_Voting,other,other,5,0.6744,0.0334,0.0495,0.6275,0.7191,0.0917
B5_UISEM_LightGBM_Optuna,other,other,5,0.6735,0.0302,0.0449,0.6354,0.7193,0.0839
E7c_ExtraTrees,other,other,5,0.6734,0.0256,0.038,0.6538,0.7157,0.0619
R5_ExtraTrees_all_multimodal,multimodal_all,multimodal,5,0.6734,0.0256,0.038,0.6538,0.7157,0.0619
R3b_card_ms,other,other,5,0.6676,0.0251,0.0376,0.6471,0.7069,0.0598
B5_UISEM_XGBoost_Optuna,other,other,5,0.6675,0.0389,0.0583,0.6095,0.7094,0.0999
B6_UISEM_Model1_full_F8,other,other,5,0.6659,0.0351,0.0528,0.6127,0.6985,0.0858
E1_stacking_LogReg,other,other,5,0.6656,0.0251,0.0377,0.639,0.6971,0.0581
B5_UISEM_all_features,multimodal_all,multimodal,5,0.6652,0.0349,0.0524,0.6138,0.6977,0.0839
R3b_all_multimodal,multimodal_all,multimodal,5,0.6649,0.0302,0.0454,0.627,0.7071,0.0802
B5_sub_RF_full_F8,other,other,5,0.6646,0.0283,0.0425,0.6284,0.7028,0.0744
B5_sub_RF,multimodal_all,multimodal,5,0.663,0.026,0.0392,0.636,0.6997,0.0637
R5_RF-200_all_multimodal,multimodal_all,multimodal,5,0.663,0.026,0.0392,0.636,0.6997,0.0637
E1_base_RF,multimodal_all,multimodal,5,0.663,0.026,0.0392,0.636,0.6997,0.0637
R3_ms_plus_blocks_F8,other,other,5,0.663,0.026,0.0392,0.636,0.6997,0.0637
E1_soft_voting,other,other,5,0.6596,0.0324,0.0492,0.6181,0.7018,0.0837
B5_UISEM_Model2_full_F8,other,other,5,0.6595,0.0358,0.0542,0.6043,0.6979,0.0935
B7_UISEM_card+ms,other,other,5,0.6589,0.0365,0.0554,0.6124,0.6998,0.0873
B6_UISEM_no_AdaBoost,multimodal_all,multimodal,5,0.6579,0.0355,0.0539,0.6055,0.7004,0.095
B7_UISEM_all_multimodal,multimodal_all,multimodal,5,0.6579,0.0355,0.0539,0.6055,0.7004,0.095
R3b_coh_ms,other,other,5,0.6577,0.0314,0.0477,0.6112,0.6857,0.0745
E6_A_impute+obs_all_multimodal,multimodal_all,multimodal,5,0.6564,0.0333,0.0507,0.618,0.6979,0.08
R3b_ms_only,MS_only,MS,5,0.6547,0.0326,0.0498,0.6049,0.681,0.0761
B7_UISEM_ms_only,MS_only,MS,5,0.6539,0.0426,0.0652,0.587,0.6938,0.1067
D2_sar_+_ms,multimodal_SAR+MS,multimodal,5,0.6536,0.029,0.0444,0.6289,0.686,0.0571
E5_HistGBM_native_NaN,other,other,5,0.6533,0.0373,0.057,0.6044,0.7018,0.0974
R3_ms_only_A9,MS_only,MS,5,0.6529,0.0405,0.0621,0.5876,0.6803,0.0927
E7c_HistGBM_imputed,other,other,5,0.6512,0.0376,0.0578,0.5995,0.6978,0.0983
B5_sub_GB_full_F8,other,other,5,0.6511,0.0338,0.0519,0.6027,0.6904,0.0876
E2_LightGBM_ms,MS_only,MS,5,0.6506,0.0447,0.0688,0.5791,0.6902,0.1111
E1_base_LGBM,multimodal_all,multimodal,5,0.6499,0.0269,0.0414,0.6223,0.6909,0.0686
