model_a,model_b,n_common,kappa_point,kappa_mean,kappa_lo,kappa_hi,kappa_ci_width
B0_single_s1_coh_drop_countM,B0_single_s1_coh_running_minX,598595,0.9961,0.9961,0.9959,0.9963,0.0004
B0_single_s1_coh_drop_countM,CLF_F7_LightGBM,480313,0.2079,0.2078,0.2063,0.2092,0.003
B0_single_s1_coh_drop_countM,B0_single_s1_coh_running_minM,598595,0.996,0.996,0.9958,0.9962,0.0004
B0_single_s1_coh_drop_countM,B0_single_s1_coh_max_dropM,598595,0.9956,0.9956,0.9954,0.9959,0.0005
B0_single_s1_coh_drop_countM,CLF_A17_GBM,598595,0.0007,0.0007,0.0006,0.0008,0.0002
B0_single_s1_coh_drop_countM,CLF_F7_GBM,480313,-0.0003,-0.0003,-0.0005,-0.0002,0.0003
B0_single_s1_coh_drop_countM,CLF_A17_LightGBM,598595,0.4007,0.4007,0.3988,0.4027,0.004
B0_single_s1_coh_drop_countM,B0_single_s1_coh_max_dropX,598595,0.9931,0.9931,0.9928,0.9934,0.0006
B0_single_s1_coh_drop_countM,CLF_F7_XGBoost,480313,0.0055,0.0055,0.0052,0.0058,0.0005
B0_single_s1_coh_drop_countM,NB08b_BDA_RGB+CARD_LogReg,598595,0.0431,0.0431,0.0406,0.0455,0.0049
B0_single_s1_coh_drop_countM,NB08b_BDA_RGB_ExtraTrees,598595,-0.0667,-0.0667,-0.0687,-0.0647,0.004
B0_single_s1_coh_drop_countM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,205942,-0.0142,-0.0142,-0.0155,-0.013,0.0025
B0_single_s1_coh_drop_countM,CLF_A17_XGBoost,598595,0.0074,0.0075,0.0071,0.0078,0.0007
B0_single_s1_coh_drop_countM,B3_logratio_SAVI,0,,,,,
B0_single_s1_coh_running_minX,CLF_F7_LightGBM,480313,0.2077,0.2077,0.2061,0.2093,0.0032
B0_single_s1_coh_running_minX,B0_single_s1_coh_running_minM,598595,0.9988,0.9988,0.9987,0.999,0.0002
B0_single_s1_coh_running_minX,B0_single_s1_coh_max_dropM,598595,0.9952,0.9952,0.995,0.9955,0.0005
B0_single_s1_coh_running_minX,CLF_A17_GBM,598595,0.0007,0.0007,0.0006,0.0008,0.0002
B0_single_s1_coh_running_minX,CLF_F7_GBM,480313,0.0006,0.0006,0.0005,0.0008,0.0003
B0_single_s1_coh_running_minX,CLF_A17_LightGBM,598595,0.402,0.402,0.3999,0.4041,0.0042
B0_single_s1_coh_running_minX,B0_single_s1_coh_max_dropX,598595,0.9923,0.9923,0.992,0.9926,0.0006
B0_single_s1_coh_running_minX,CLF_F7_XGBoost,480313,0.0055,0.0055,0.0052,0.0058,0.0005
B0_single_s1_coh_running_minX,NB08b_BDA_RGB+CARD_LogReg,598595,0.0449,0.0449,0.0424,0.0475,0.005
B0_single_s1_coh_running_minX,NB08b_BDA_RGB_ExtraTrees,598595,-0.066,-0.066,-0.068,-0.064,0.004
B0_single_s1_coh_running_minX,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,205942,-0.0107,-0.0107,-0.0118,-0.0095,0.0023
B0_single_s1_coh_running_minX,CLF_A17_XGBoost,598595,0.0077,0.0077,0.0073,0.008,0.0007
B0_single_s1_coh_running_minX,B3_logratio_SAVI,0,,,,,
CLF_F7_LightGBM,B0_single_s1_coh_running_minM,480313,0.2076,0.2076,0.2062,0.2091,0.0029
CLF_F7_LightGBM,B0_single_s1_coh_max_dropM,480313,0.2073,0.2073,0.2057,0.2089,0.0032
CLF_F7_LightGBM,CLF_A17_GBM,480313,0.0022,0.0022,0.0017,0.0028,0.001
CLF_F7_LightGBM,CLF_F7_GBM,480313,0.0009,0.0009,0.0004,0.0014,0.001
CLF_F7_LightGBM,CLF_A17_LightGBM,480313,0.4591,0.4591,0.4556,0.4624,0.0068
CLF_F7_LightGBM,B0_single_s1_coh_max_dropX,480313,0.2049,0.2049,0.2033,0.2064,0.003
CLF_F7_LightGBM,CLF_F7_XGBoost,480313,0.0461,0.0462,0.0439,0.0482,0.0044
CLF_F7_LightGBM,NB08b_BDA_RGB+CARD_LogReg,480313,0.0994,0.0994,0.097,0.1021,0.0051
CLF_F7_LightGBM,NB08b_BDA_RGB_ExtraTrees,480313,0.1697,0.1698,0.1665,0.1729,0.0064
CLF_F7_LightGBM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,200702,0.1985,0.1984,0.194,0.203,0.009
CLF_F7_LightGBM,CLF_A17_XGBoost,480313,0.0392,0.0391,0.0369,0.0412,0.0042
CLF_F7_LightGBM,B3_logratio_SAVI,0,,,,,
B0_single_s1_coh_running_minM,B0_single_s1_coh_max_dropM,598595,0.9954,0.9954,0.9951,0.9956,0.0005
B0_single_s1_coh_running_minM,CLF_A17_GBM,598595,0.0007,0.0007,0.0006,0.0008,0.0002
B0_single_s1_coh_running_minM,CLF_F7_GBM,480313,0.0006,0.0006,0.0004,0.0008,0.0003
B0_single_s1_coh_running_minM,CLF_A17_LightGBM,598595,0.4017,0.4017,0.3996,0.4037,0.0042
B0_single_s1_coh_running_minM,B0_single_s1_coh_max_dropX,598595,0.9927,0.9926,0.9923,0.9929,0.0006
B0_single_s1_coh_running_minM,CLF_F7_XGBoost,480313,0.0055,0.0055,0.0052,0.0058,0.0006
B0_single_s1_coh_running_minM,NB08b_BDA_RGB+CARD_LogReg,598595,0.0445,0.0445,0.0422,0.0469,0.0048
B0_single_s1_coh_running_minM,NB08b_BDA_RGB_ExtraTrees,598595,-0.0666,-0.0665,-0.069,-0.0645,0.0045
B0_single_s1_coh_running_minM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,205942,-0.0103,-0.0102,-0.0114,-0.0091,0.0023
B0_single_s1_coh_running_minM,CLF_A17_XGBoost,598595,0.0075,0.0075,0.0072,0.008,0.0008
B0_single_s1_coh_running_minM,B3_logratio_SAVI,0,,,,,
B0_single_s1_coh_max_dropM,CLF_A17_GBM,598595,0.0007,0.0007,0.0006,0.0008,0.0002
B0_single_s1_coh_max_dropM,CLF_F7_GBM,480313,-0.0007,-0.0007,-0.0009,-0.0005,0.0003
B0_single_s1_coh_max_dropM,CLF_A17_LightGBM,598595,0.4003,0.4004,0.3986,0.4024,0.0038
B0_single_s1_coh_max_dropM,B0_single_s1_coh_max_dropX,598595,0.9958,0.9958,0.9956,0.996,0.0005
B0_single_s1_coh_max_dropM,CLF_F7_XGBoost,480313,0.0055,0.0055,0.0053,0.0058,0.0005
B0_single_s1_coh_max_dropM,NB08b_BDA_RGB+CARD_LogReg,598595,0.0431,0.0431,0.0408,0.0455,0.0047
B0_single_s1_coh_max_dropM,NB08b_BDA_RGB_ExtraTrees,598595,-0.0669,-0.0669,-0.0688,-0.0646,0.0042
B0_single_s1_coh_max_dropM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,205942,-0.0109,-0.011,-0.0121,-0.0099,0.0022
B0_single_s1_coh_max_dropM,CLF_A17_XGBoost,598595,0.0074,0.0074,0.0071,0.0078,0.0007
B0_single_s1_coh_max_dropM,B3_logratio_SAVI,0,,,,,
CLF_A17_GBM,CLF_F7_GBM,480313,0.0079,0.008,-0.0006,0.0183,0.0189
CLF_A17_GBM,CLF_A17_LightGBM,598595,0.0013,0.0013,0.001,0.0016,0.0006
CLF_A17_GBM,B0_single_s1_coh_max_dropX,598595,0.0006,0.0005,0.0004,0.0007,0.0002
CLF_A17_GBM,CLF_F7_XGBoost,480313,0.0221,0.0218,0.0117,0.0312,0.0194
CLF_A17_GBM,NB08b_BDA_RGB+CARD_LogReg,598595,0.001,0.0011,0.0008,0.0013,0.0005
CLF_A17_GBM,NB08b_BDA_RGB_ExtraTrees,598595,0.0012,0.0012,0.0009,0.0015,0.0006
CLF_A17_GBM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,205942,0.0035,0.0035,0.0027,0.0043,0.0016
CLF_A17_GBM,CLF_A17_XGBoost,598595,0.0445,0.0443,0.0333,0.0559,0.0227
CLF_A17_GBM,B3_logratio_SAVI,0,,,,,
CLF_F7_GBM,CLF_A17_LightGBM,480313,0.0033,0.0033,0.0028,0.0038,0.0009
CLF_F7_GBM,B0_single_s1_coh_max_dropX,480313,-0.0008,-0.0008,-0.0009,-0.0006,0.0003
CLF_F7_GBM,CLF_F7_XGBoost,480313,0.0101,0.01,0.0047,0.0164,0.0117
CLF_F7_GBM,NB08b_BDA_RGB+CARD_LogReg,480313,0.0025,0.0025,0.0022,0.0029,0.0006
CLF_F7_GBM,NB08b_BDA_RGB_ExtraTrees,480313,0.0017,0.0017,0.0013,0.0022,0.0009
CLF_F7_GBM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,200702,0.0113,0.0113,0.0099,0.0125,0.0026
CLF_F7_GBM,CLF_A17_XGBoost,480313,0.0195,0.0192,0.0118,0.0268,0.015
CLF_F7_GBM,B3_logratio_SAVI,0,,,,,
CLF_A17_LightGBM,B0_single_s1_coh_max_dropX,598595,0.3976,0.3976,0.3956,0.3997,0.0041
CLF_A17_LightGBM,CLF_F7_XGBoost,480313,0.0196,0.0196,0.0186,0.0206,0.002
CLF_A17_LightGBM,NB08b_BDA_RGB+CARD_LogReg,598595,0.1656,0.1656,0.163,0.1684,0.0054
CLF_A17_LightGBM,NB08b_BDA_RGB_ExtraTrees,598595,0.1335,0.1334,0.1309,0.1362,0.0053
CLF_A17_LightGBM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,205942,0.1765,0.1765,0.1731,0.1806,0.0075
CLF_A17_LightGBM,CLF_A17_XGBoost,598595,0.0288,0.0288,0.0276,0.0301,0.0026
CLF_A17_LightGBM,B3_logratio_SAVI,0,,,,,
B0_single_s1_coh_max_dropX,CLF_F7_XGBoost,480313,0.0048,0.0048,0.0046,0.0051,0.0005
B0_single_s1_coh_max_dropX,NB08b_BDA_RGB+CARD_LogReg,598595,0.0399,0.0397,0.0375,0.0419,0.0044
B0_single_s1_coh_max_dropX,NB08b_BDA_RGB_ExtraTrees,598595,-0.0706,-0.0706,-0.0727,-0.0687,0.004
B0_single_s1_coh_max_dropX,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,205942,-0.0168,-0.0168,-0.0182,-0.0155,0.0027
B0_single_s1_coh_max_dropX,CLF_A17_XGBoost,598595,0.0068,0.0068,0.0064,0.0071,0.0007
