model_a,model_b,n_common,n_fp_a,n_fp_b,jac_fp_point,jac_fp_mean,jac_fp_lo,jac_fp_hi,n_fn_a,n_fn_b,jac_fn_point,jac_fn_mean,jac_fn_lo,jac_fn_hi
B0_single_s1_coh_drop_countM,B0_single_s1_coh_running_minX,598595,266630.0,267022.0,0.9957,0.9957,0.9955,0.996,419.0,414.0,0.9508,0.9515,0.9316,0.9714
B0_single_s1_coh_drop_countM,CLF_F7_LightGBM,480313,261452.0,58156.0,0.2215,0.2215,0.2198,0.2232,335.0,3427.0,0.0949,0.0945,0.0853,0.1053
B0_single_s1_coh_drop_countM,B0_single_s1_coh_running_minM,598595,266630.0,267024.0,0.9956,0.9956,0.9954,0.9959,419.0,417.0,0.9533,0.9532,0.9352,0.9713
B0_single_s1_coh_drop_countM,B0_single_s1_coh_max_dropM,598595,266630.0,266855.0,0.9952,0.9952,0.995,0.9955,419.0,425.0,0.9358,0.9358,0.9127,0.9586
B0_single_s1_coh_drop_countM,CLF_A17_GBM,598595,266630.0,180.0,0.0006,0.0006,0.0005,0.0007,419.0,7300.0,0.0568,0.0568,0.0513,0.0621
B0_single_s1_coh_drop_countM,CLF_F7_GBM,480313,261452.0,469.0,0.0008,0.0008,0.0007,0.0009,335.0,7159.0,0.0464,0.0463,0.0413,0.0509
B0_single_s1_coh_drop_countM,CLF_A17_LightGBM,598595,266630.0,106730.0,0.3821,0.3821,0.3804,0.384,419.0,3059.0,0.118,0.1177,0.1064,0.1291
B0_single_s1_coh_drop_countM,B0_single_s1_coh_max_dropX,598595,266630.0,266270.0,0.9929,0.9929,0.9926,0.9932,419.0,559.0,0.731,0.7301,0.6892,0.77
B0_single_s1_coh_drop_countM,CLF_F7_XGBoost,480313,261452.0,1302.0,0.0049,0.0049,0.0047,0.0052,335.0,6767.0,0.0492,0.0492,0.0441,0.0542
B0_single_s1_coh_drop_countM,NB08b_BDA_RGB+CARD_LogReg,598595,266630.0,157218.0,0.218,0.218,0.2168,0.2193,419.0,2825.0,0.0461,0.0465,0.0395,0.054
B0_single_s1_coh_drop_countM,NB08b_BDA_RGB_ExtraTrees,598595,266630.0,110281.0,0.1162,0.1162,0.1151,0.1174,419.0,3629.0,0.0313,0.0312,0.0258,0.0366
B0_single_s1_coh_drop_countM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,205942,188190.0,39728.0,0.1889,0.1889,0.1871,0.1906,66.0,2680.0,0.0066,0.0066,0.0037,0.0097
B0_single_s1_coh_drop_countM,CLF_A17_XGBoost,598595,266630.0,1764.0,0.0062,0.0062,0.0059,0.0065,419.0,7003.0,0.0582,0.0582,0.0522,0.064
B0_single_s1_coh_drop_countM,B3_logratio_SAVI,0,,,,,,,,,,,,
B0_single_s1_coh_running_minX,CLF_F7_LightGBM,480313,261844.0,58156.0,0.2215,0.2215,0.22,0.2232,330.0,3427.0,0.0941,0.0939,0.0838,0.103
B0_single_s1_coh_running_minX,B0_single_s1_coh_running_minM,598595,267022.0,267024.0,0.9987,0.9987,0.9986,0.9989,414.0,417.0,0.9833,0.9839,0.9704,0.9951
B0_single_s1_coh_running_minX,B0_single_s1_coh_max_dropM,598595,267022.0,266855.0,0.9948,0.9948,0.9946,0.9951,414.0,425.0,0.9287,0.9285,0.9031,0.9533
B0_single_s1_coh_running_minX,CLF_A17_GBM,598595,267022.0,180.0,0.0006,0.0006,0.0005,0.0007,414.0,7300.0,0.0566,0.0567,0.0519,0.0619
B0_single_s1_coh_running_minX,CLF_F7_GBM,480313,261844.0,469.0,0.0013,0.0013,0.0011,0.0014,330.0,7159.0,0.0457,0.0456,0.0409,0.0501
B0_single_s1_coh_running_minX,CLF_A17_LightGBM,598595,267022.0,106730.0,0.3831,0.3831,0.3814,0.385,414.0,3059.0,0.1192,0.119,0.1084,0.1309
B0_single_s1_coh_running_minX,B0_single_s1_coh_max_dropX,598595,267022.0,266270.0,0.9921,0.9921,0.9917,0.9924,414.0,559.0,0.7191,0.7187,0.6822,0.7564
