model_a,model_b,mod_family_a,mod_family_b,pair_type,n_common,jac_fp_mean,jac_fp_lo,jac_fp_hi,jac_fn_mean,jac_fn_lo,jac_fn_hi
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11e_dietrich28__block_stats__XGBoost-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.0004,0.0003,0.0006,0.2107,0.2008,0.2195
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.6675,0.6653,0.6697,0.6305,0.6098,0.654
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.5313,0.5287,0.5336,0.5045,0.4828,0.5271
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.6226,0.6202,0.6251,0.5952,0.5728,0.6168
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.5244,0.5219,0.5268,0.5054,0.4827,0.5307
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,SAR-multimodal,584986,0.6307,0.6282,0.6329,0.5598,0.5375,0.5835
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.6924,0.6902,0.6945,0.6377,0.6182,0.6579
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.5578,0.5552,0.5603,0.5187,0.4946,0.5427
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,multimodal-other,598595,0.5545,0.5523,0.5567,0.5596,0.5375,0.5834
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.5761,0.5737,0.5786,0.6321,0.6119,0.6517
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,480313,0.6059,0.6035,0.6082,0.5669,0.5431,0.59
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.5372,0.5346,0.5398,0.5134,0.4916,0.5353
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.6274,0.6252,0.6298,0.6022,0.5796,0.6222
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.605,0.6027,0.6072,0.5315,0.5078,0.5525
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.0004,0.0003,0.0006,0.1914,0.1825,0.2008
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.0003,0.0002,0.0004,0.1839,0.1745,0.1927
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.0004,0.0003,0.0005,0.1962,0.1874,0.2046
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.0003,0.0002,0.0004,0.1839,0.1749,0.1932
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,SAR-multimodal,584986,0.0003,0.0002,0.0004,0.1821,0.1729,0.192
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.0005,0.0004,0.0006,0.2774,0.2667,0.2884
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.0003,0.0002,0.0004,0.1856,0.1767,0.1956
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,multimodal-other,598595,0.0003,0.0003,0.0004,0.209,0.1999,0.2183
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.0007,0.0005,0.0009,0.2981,0.2868,0.3085
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,480313,0.0005,0.0004,0.0006,0.1775,0.1696,0.1866
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.0003,0.0002,0.0004,0.1905,0.1816,0.1998
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.0004,0.0003,0.0005,0.1829,0.173,0.1918
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.0004,0.0003,0.0004,0.1646,0.1565,0.1723
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.6126,0.6102,0.6151,0.5921,0.5673,0.6179
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.7463,0.7441,0.7485,0.7306,0.7101,0.7508
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.5996,0.5971,0.6018,0.5612,0.5367,0.5841
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,SAR-multimodal,584986,0.6945,0.6923,0.6967,0.658,0.6359,0.6821
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.655,0.6526,0.6572,0.6076,0.588,0.6277
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.6415,0.6392,0.6441,0.599,0.576,0.6219
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,multimodal-other,598595,0.5888,0.5867,0.591,0.6048,0.5814,0.6272
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.627,0.6244,0.6295,0.6205,0.5999,0.6407
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,480313,0.7272,0.7249,0.7295,0.6893,0.6681,0.7149
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,466704,0.6234,0.6209,0.6259,0.5942,0.57,0.6191
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,multimodal-multimodal,598595,0.7631,0.7609,0.7654,0.7425,0.72,0.7643
