model_a,model_b,mod_family_a,mod_family_b,pair_type,n_common,jac_fp_mean,jac_fp_lo,jac_fp_hi,jac_fn_mean,jac_fn_lo,jac_fn_hi
B3_logratio_SAVI,B3_logratio_NDVI,MS,MS,MS-MS,3533,0.9211,0.9071,0.9351,0.8858,0.8159,0.9474
B3_logratio_SAVI,B5_UISEM_ExtraTrees_Optuna,MS,other,MS-other,3533,0.1616,0.142,0.1827,0.2669,0.2188,0.3179
B3_logratio_SAVI,B5_UISEM_RF_Optuna,MS,other,MS-other,3533,0.3595,0.338,0.3813,0.3531,0.2853,0.4286
B3_logratio_SAVI,B5_UISEM_LightGBM_Optuna,MS,other,MS-other,3533,0.2005,0.1819,0.2211,0.2373,0.1874,0.2906
B3_logratio_SAVI,B5_UISEM_Tuned_Voting,MS,other,MS-other,3533,0.0185,0.0122,0.0265,0.2096,0.1703,0.2507
B3_logratio_SAVI,R3b_card_ms,MS,other,MS-other,3533,0.0007,0.0,0.0022,0.2073,0.1677,0.2443
B3_logratio_NDVI,B5_UISEM_ExtraTrees_Optuna,MS,other,MS-other,3533,0.1596,0.1422,0.1784,0.2405,0.1934,0.2894
B3_logratio_NDVI,B5_UISEM_RF_Optuna,MS,other,MS-other,3533,0.343,0.3232,0.3625,0.3319,0.2614,0.4063
B3_logratio_NDVI,B5_UISEM_LightGBM_Optuna,MS,other,MS-other,3533,0.1887,0.1692,0.2092,0.2207,0.1698,0.2729
B3_logratio_NDVI,B5_UISEM_Tuned_Voting,MS,other,MS-other,3533,0.018,0.0118,0.0253,0.1953,0.1581,0.2366
B3_logratio_NDVI,R3b_card_ms,MS,other,MS-other,3533,0.0007,0.0,0.0021,0.1931,0.1533,0.2304
B5_UISEM_RF_Optuna_bldg,B5_UISEM_ExtraTrees_Optuna_bldg,other,other,other-other,40635,0.803,0.7972,0.8086,0.7145,0.6932,0.7359
B5_UISEM_RF_Optuna_bldg,B5_UISEM_LightGBM_Optuna_bldg,other,other,other-other,40635,0.7608,0.7541,0.7679,0.6833,0.6632,0.7055
B5_UISEM_RF_Optuna_bldg,B5_UISEM_Tuned_Voting_bldg,other,other,other-other,40635,0.7416,0.7349,0.748,0.6687,0.645,0.6914
B5_UISEM_RF_Optuna_bldg,B5_sub_RF_full_F8_bldg,other,other,other-other,40635,0.6573,0.6508,0.6636,0.5717,0.5523,0.5932
B5_UISEM_RF_Optuna_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,other-other,40635,0.6683,0.6618,0.6744,0.5901,0.5692,0.6138
B5_UISEM_RF_Optuna_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,other-other,40635,0.6683,0.6614,0.6748,0.568,0.5466,0.5905
B5_UISEM_RF_Optuna_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,other-other,40635,0.6152,0.6084,0.6217,0.4993,0.4793,0.5236
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_LightGBM_Optuna_bldg,other,other,other-other,40635,0.7335,0.727,0.7393,0.6438,0.622,0.6653
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_Tuned_Voting_bldg,other,other,other-other,40635,0.717,0.7101,0.7233,0.633,0.609,0.6558
B5_UISEM_ExtraTrees_Optuna_bldg,B5_sub_RF_full_F8_bldg,other,other,other-other,40635,0.6173,0.6104,0.6241,0.5207,0.4954,0.5456
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,other-other,40635,0.6466,0.6397,0.6533,0.5601,0.5379,0.5826
B5_UISEM_ExtraTrees_Optuna_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,other-other,40635,0.6455,0.6389,0.6524,0.5345,0.5135,0.5586
B5_UISEM_ExtraTrees_Optuna_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,other-other,40635,0.6001,0.5927,0.6068,0.4705,0.4489,0.4923
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_Tuned_Voting_bldg,other,other,other-other,40635,0.9163,0.9119,0.9207,0.8989,0.8841,0.9135
B5_UISEM_LightGBM_Optuna_bldg,B5_sub_RF_full_F8_bldg,other,other,other-other,40635,0.6536,0.6467,0.6602,0.5585,0.5349,0.5798
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,other-other,40635,0.7652,0.7588,0.771,0.6924,0.6715,0.7129
B5_UISEM_LightGBM_Optuna_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,other-other,40635,0.716,0.7094,0.7219,0.6414,0.6205,0.6624
B5_UISEM_LightGBM_Optuna_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,other-other,40635,0.6677,0.6616,0.6742,0.576,0.5538,0.5977
B5_UISEM_Tuned_Voting_bldg,B5_sub_RF_full_F8_bldg,other,other,other-other,40635,0.672,0.6647,0.6792,0.5792,0.5585,0.602
B5_UISEM_Tuned_Voting_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,other-other,40635,0.8349,0.8288,0.8412,0.7698,0.7505,0.7902
B5_UISEM_Tuned_Voting_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,other-other,40635,0.7325,0.7257,0.7385,0.6523,0.6314,0.672
B5_UISEM_Tuned_Voting_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,other-other,40635,0.6856,0.6798,0.6929,0.5918,0.568,0.6126
B5_sub_RF_full_F8_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,other-other,40635,0.6715,0.665,0.6782,0.58,0.5569,0.6014
B5_sub_RF_full_F8_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,other-other,40635,0.633,0.6261,0.6393,0.5532,0.5307,0.5746
B5_sub_RF_full_F8_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,other-other,40635,0.6106,0.6031,0.617,0.5261,0.5047,0.5481
B5_UISEM_XGBoost_Optuna_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,other-other,40635,0.718,0.7117,0.7242,0.643,0.621,0.6653
B5_UISEM_XGBoost_Optuna_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,other-other,40635,0.6888,0.6821,0.6951,0.6013,0.5822,0.6227
B5_UISEM_ExtraTrees_Optuna,B5_UISEM_RF_Optuna,other,other,other-other,62043,0.6778,0.6703,0.6855,0.8048,0.7938,0.8158
B5_UISEM_ExtraTrees_Optuna,B5_UISEM_LightGBM_Optuna,other,other,other-other,62043,0.4943,0.4858,0.5025,0.7213,0.7104,0.7331
B5_UISEM_ExtraTrees_Optuna,B5_UISEM_Tuned_Voting,other,other,other-other,62043,0.0809,0.0767,0.0857,0.5479,0.537,0.5588
B5_UISEM_ExtraTrees_Optuna,R3b_card_ms,other,other,other-other,62043,0.0132,0.0111,0.015,0.5169,0.5067,0.5282
B5_UISEM_RF_Optuna,B5_UISEM_LightGBM_Optuna,other,other,other-other,62043,0.5603,0.551,0.5685,0.7619,0.7505,0.7729
B5_UISEM_RF_Optuna,B5_UISEM_Tuned_Voting,other,other,other-other,62043,0.0877,0.0828,0.0922,0.5685,0.5575,0.5798
B5_UISEM_RF_Optuna,R3b_card_ms,other,other,other-other,62043,0.0142,0.0123,0.0161,0.5363,0.5255,0.5477
B6_UISEM_Model1_full_F8_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,other-other,40635,0.8867,0.8821,0.8914,0.8209,0.804,0.8378
B5_UISEM_LightGBM_Optuna,B5_UISEM_Tuned_Voting,other,other,other-other,62043,0.1399,0.1322,0.1469,0.7148,0.7047,0.7254
B5_UISEM_LightGBM_Optuna,R3b_card_ms,other,other,other-other,62043,0.0225,0.0193,0.0259,0.6737,0.6635,0.6844
B5_UISEM_Tuned_Voting,R3b_card_ms,other,other,other-other,62043,0.147,0.1255,0.1658,0.9409,0.9358,0.946
